LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_1059494_2751447	"WILLIE ATWOOD RD"	57	0	322934	838643
F_1059673_2751977	"BEACH PLUM LN"	27	0	322989	838804
F_1059988_2752596	"WILLIE ATWOOD RD"	51	0	323085	838993
F_1060004_2752984	"WILLIE ATWOOD RD"	64	0	323090	839111
F_1060103_2751970	"BEACH PLUM LN"	29	0	323120	838802
F_1060129_2752141	"BEACH PLUM LN"	31	0	323128	838854
F_1060170_2753264	"WILLIE ATWOOD RD"	70	0	323140	839197
F_1060272_2752371	"WILLIE ATWOOD RD"	41	0	323172	838924
F_1060316_2752792	"WILLIE ATWOOD RD"	52	0	323185	839053
F_1060318_2752155	"BEACH PLUM LN"	30	0	323186	838859
F_1060381_2751624	"BEACH PLUM LN"	23	0	323205	838697
F_1060393_2752485	"WILLIE ATWOOD RD"	47	0	323208	838959
F_1060396_2752740	"WILLIE ATWOOD RD"	50	0	323209	839037
F_1060408_2753156	"WILDFLOWER LN"	10	0	323213	839164
F_1060424_2750810	"BLUEBERRY ISLAND RD"	0	0	323218	838449
F_1060428_2751920	"BEACH PLUM LN"	24	0	323219	838787
F_1060461_2751469	"MARSHWIND LN"	6	0	323229	838649
F_1060471_2751934	"BEACH PLUM LN"	20	0	323232	838791
F_1060471_2753538	"SKAKET BEACH RD"	193	0	323232	839280
F_1060479_2752244	"BEACH PLUM LN"	28	0	323235	838886
F_1060481_2752682	"WILLIE ATWOOD RD"	48	0	323235	839019
F_1060512_2751380	"MARSHWIND LN"	4	0	323245	838622
F_1060566_2751277	"MARSHWIND LN"	2	0	323261	838591
F_1060573_2752610	"WILLIE ATWOOD RD"	42	0	323263	838997
F_1060587_2751987	"BEACH PLUM LN"	16	0	323268	838807
F_1060683_2752769	"WILDFLOWER LN"	17	0	323297	839046
F_1060691_2753555	"SKAKET BEACH RD"	189	0	323299	839285
F_1060721_2752952	"WILDFLOWER LN"	15	0	323308	839101
F_1060729_2752277	"WILLIE ATWOOD RD"	31	0	323311	838896
F_1060732_2751417	"MARSHWIND LN"	3	0	323312	838634
F_1060746_2752058	"BEACH PLUM LN"	12	0	323316	838829
F_1060750_2751869	"BEACH PLUM LN"	17	0	323317	838771
F_1060778_2753080	"HONEYSUCKLE LN"	16	0	323326	839140
F_1060801_2751057	"CAPT LINNELL RD"	44	0	323333	838524
F_1060804_2751233	"BLUEBERRY ISLAND RD"	25	0	323334	838577
F_1060804_2751668	"MARSHWIND LN"	7	0	323334	838710
F_1060813_2753512	"SKAKET BEACH RD"	185	0	323336	839272
F_1060838_2754034	"END OF SKAKET BEACH"	192	0	323344	839431
F_1060841_2750690	"CAPT LINNELL RD"	0	0	323345	838412
F_1060847_2751463	"BLUEBERRY ISLAND RD"	24	0	323347	838648
F_1060854_2752840	"HONEYSUCKLE LN"	17	0	323349	839067
F_1060858_2752591	"WILLIE ATWOOD RD"	36	0	323350	838991
F_1060859_2753184	"HONEYSUCKLE LN"	12	0	323350	839172
F_1060866_2750894	"CAPT LINNELL RD"	46	0	323353	838474
F_1060897_2752125	"BEACH PLUM LN"	6	0	323362	838849
F_1060926_2753748	"SKAKET BEACH RD"	186	0	323371	839344
F_1060943_2751499	"BLUEBERRY ISLAND RD"	22	0	323376	838659
F_1060955_2753268	"WILDFLOWER LN"	7	0	323380	839198
F_1060956_2753438	"SKAKET BEACH RD"	179	0	323380	839250
F_1060966_2752893	"HONEYSUCKLE LN"	15	0	323383	839083
F_1060980_2751922	"BEACH PLUM LN"	7	0	323387	838788
F_1060981_2751143	"CAPT LINNELL RD"	42	0	323388	838550
F_1061001_2750866	"CAPT LINNELL RD"	50	0	323394	838466
F_1061001_2751316	"BLUEBERRY ISLAND RD"	23	0	323394	838603
F_1061016_2753008	"HONEYSUCKLE LN"	11	0	323398	839119
F_1061024_2753656	"FRANZ RD"	2	0	323401	839316
F_1061024_2753837	"FRANZ RD"	30	0	323401	839371
F_1061026_2752193	"BEACH PLUM LN"	2	0	323401	838870
F_1061034_2752497	"WILLIE ATWOOD RD"	30	0	323404	838963
F_1061044_2750125	"BLUEBERRY ISLAND RD"	29	0	323407	838240
F_1061052_2750699	"CAPT LINNELL RD"	52	0	323409	838415
F_1061059_2751563	"BLUEBERRY ISLAND RD"	14	0	323411	838678
F_1061069_2751186	"CAPT LINNELL RD"	40	0	323414	838563
F_1061092_2750585	"CAPT LINNELL RD"	56	0	323421	838380
F_1061092_2752375	"WILLIE ATWOOD RD"	26	0	323421	838926
F_1061096_2751360	"BLUEBERRY ISLAND RD"	19	0	323423	838616
F_1061097_2753358	"SKAKET BEACH RD"	175	0	323423	839225
F_1061108_2753136	"HONEYSUCKLE LN"	9	0	323426	839158
F_1061117_2751732	"BLUEBERRY ISLAND RD"	10	0	323429	838730
F_1061124_2752024	"BEACH PLUM LN"	3	0	323431	838819
F_1061134_2751020	"CAPT LINNELL RD"	43	0	323434	838513
F_1061139_2750458	"CAPT LINNELL RD"	60	0	323436	838341
F_1061160_2751230	"CAPT LINNELL RD"	38	0	323442	838577
F_1061178_2750914	"CAPT LINNELL RD"	49	0	323448	838480
F_1061182_2753752	"FRANZ RD"	4	0	323449	839345
F_1061186_2753975	"FRANZ RD"	24	0	323450	839413
