town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M227	227	palmer	2012	126136	881438	M_126136_881438	"SPRINGFIELD ST"	556	0
M227	227	palmer	2012	126209	881364	M_126209_881364	"SPRINGFIELD ST"	501	0
M227	227	palmer	2012	126258	880701	M_126258_880701	"THREE RIVERS RD"	153	0
M227	227	palmer	2012	126275	880572	M_126275_880572	"THREE RIVERS RD"	156	0
M227	227	palmer	2012	126287	880434	M_126287_880434	"BURLINGAME ST"	318	0
M227	227	palmer	2012	126298	881387	M_126298_881387	"SPRINGFIELD ST"	497	0
M227	227	palmer	2012	126304	880537	M_126304_880537	"BURLINGAME ST"	324	0
M227	227	palmer	2012	126306	880368	M_126306_880368	"BURLINGAME ST"	316	0
M227	227	palmer	2012	126312	880494	M_126312_880494	"BURLINGAME ST"	322	0
M227	227	palmer	2012	126325	881744	M_126325_881744	"SPRINGFIELD ST"	518	0
M227	227	palmer	2012	126326	880633	M_126326_880633	"THREE RIVERS RD"	154	0
M227	227	palmer	2012	126327	880183	M_126327_880183	"BURLINGAME ST"	308	0
M227	227	palmer	2012	126334	881532	M_126334_881532	"SPRINGFIELD ST"	526	0
M227	227	palmer	2012	126349	880318	M_126349_880318	"BURLINGAME ST"	310	0
M227	227	palmer	2012	126356	880454	M_126356_880454	"BURLINGAME ST"	314	0
M227	227	palmer	2012	126363	880672	M_126363_880672	"THREE RIVERS RD"	152	0
M227	227	palmer	2012	126380	880393	M_126380_880393	"BURLINGAME ST"	312	0
M227	227	palmer	2012	126384	881428	M_126384_881428	"SPRINGFIELD ST"	495	0
M227	227	palmer	2012	126386	879439	M_126386_879439	"CIRCLE DR"	2019	0
M227	227	palmer	2012	126386	880617	M_126386_880617	"BURLINGAME ST"	331	0
M227	227	palmer	2012	126390	880704	M_126390_880704	"THREE RIVERS RD"	150	0
M227	227	palmer	2012	126403	879486	M_126403_879486	"CIRCLE DR"	2020	0
M227	227	palmer	2012	126403	881526	M_126403_881526	"SPRINGFIELD ST"	516	0
M227	227	palmer	2012	126406	880955	M_126406_880955	"THREE RIVERS RD"	127	0
M227	227	palmer	2012	126408	879420	M_126408_879420	"CIRCLE DR"	2021	0
M227	227	palmer	2012	126411	880198	M_126411_880198	"BURLINGAME ST"	306	0
M227	227	palmer	2012	126412	880565	M_126412_880565	"BURLINGAME ST"	323	0
M227	227	palmer	2012	126413	881261	M_126413_881261	"SPRINGFIELD ST"	455	0
M227	227	palmer	2012	126426	880737	M_126426_880737	"THREE RIVERS RD"	146	0
M227	227	palmer	2012	126433	879517	M_126433_879517	"LAUREL RD"	12	0
M227	227	palmer	2012	126434	880513	M_126434_880513	"BURLINGAME ST"	317	0
M227	227	palmer	2012	126442	881559	M_126442_881559	"SPRINGFIELD ST"	458	0
M227	227	palmer	2012	126444	881729	M_126444_881729	"SPRINGFIELD ST"	450	0
M227	227	palmer	2012	126454	880471	M_126454_880471	"BURLINGAME ST"	311	0
M227	227	palmer	2012	126456	880766	M_126456_880766	"THREE RIVERS RD"	142	0
M227	227	palmer	2012	126470	880436	M_126470_880436	"BURLINGAME ST"	305	0
M227	227	palmer	2012	126473	879446	M_126473_879446	"LAUREL RD"	4	0
M227	227	palmer	2012	126475	879406	M_126475_879406	"LAUREL RD"	1	0
M227	227	palmer	2012	126481	879564	M_126481_879564	"BAPTIST HILL ST"	30	0
M227	227	palmer	2012	126491	879485	M_126491_879485	"LAUREL RD"	15	0
M227	227	palmer	2012	126491	880594	M_126491_880594	"BURLINGAME ST"	301	0
M227	227	palmer	2012	126498	880776	M_126498_880776	"THREE RIVERS RD"	140	0
M227	227	palmer	2012	126518	880420	M_126518_880420	"BURLINGAME ST"	295	0
M227	227	palmer	2012	126526	879569	M_126526_879569	"LAUREL RD"	32	0
M227	227	palmer	2012	126528	881469	M_126528_881469	"SPRINGFIELD ST"	449	0
M227	227	palmer	2012	126534	880242	M_126534_880242	"BAPTIST HILL ST"	2288	0
M227	227	palmer	2012	126536	879496	M_126536_879496	"LAUREL RD"	33	0
M227	227	palmer	2012	126540	880804	M_126540_880804	"THREE RIVERS RD"	138	0
M227	227	palmer	2012	126553	880407	M_126553_880407	"BURLINGAME ST"	289	0
M227	227	palmer	2012	126559	879584	M_126559_879584	"LAUREL RD"	34	0
M227	227	palmer	2012	126560	879469	M_126560_879469	"JUNIPER DR"	20	0
M227	227	palmer	2012	126561	881574	M_126561_881574	"SPRINGFIELD ST"	430	0
M227	227	palmer	2012	126562	879433	M_126562_879433	"JUNIPER DR"	28	0
