town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M228	228	paxton	2013	159936	896904	F_524725_2942594	"ROCKLAND ST"	10	0
M228	228	paxton	2013	160086	896070	F_525217_2939856	"ROCKLAND ST"	59	0
M228	228	paxton	2013	160111	896328	F_525297_2940704	"ROCKLAND ST"	51	0
M228	228	paxton	2013	160145	895802	F_525410_2938978	"ROCKLAND ST"	70	0
M228	228	paxton	2013	160619	896173	F_526963_2940195	"NANIGIAN RD"	43	0
M228	228	paxton	2013	160736	896438	F_527349_2941063	"NANIGIAN RD"	30	0
M228	228	paxton	2013	160746	896170	F_527380_2940186	"NANIGIAN RD"	39	0
M228	228	paxton	2013	160758	896528	F_527421_2941360	"NANIGIAN LN"	17	0
M228	228	paxton	2013	160763	896338	F_527436_2940734	"NANIGIAN RD"	37	0
M228	228	paxton	2013	160791	897203	F_527530_2943572	"NANIGIAN RD"	40	0
M228	228	paxton	2013	160795	896845	F_527542_2942398	"NANIGIAN RD"	38	0
M228	228	paxton	2013	160843	896531	F_527699_2941369	"NANIGIAN LN"	20	0
M228	228	paxton	2013	160847	896331	F_527713_2940714	"NANIGIAN RD"	35	0
M228	228	paxton	2013	160920	896328	F_527952_2940702	"NANIGIAN RD"	33	0
M228	228	paxton	2013	160990	896275	F_528180_2940529	"NANIGIAN RD"	33	0
M228	228	paxton	2013	161011	896365	F_528251_2940823	"NANIGIAN RD"	31	0
M228	228	paxton	2013	161064	896330	F_528423_2940708	"NANIGIAN RD"	29	0
M228	228	paxton	2013	161115	895826	F_528592_2939056	"WEST ST"	500	0
M228	228	paxton	2013	161207	896255	F_528892_2940463	"NANIGIAN RD"	15	0
M228	228	paxton	2013	161223	895741	F_528945_2938777	"WEST ST"	497	0
M228	228	paxton	2013	161254	896320	F_529048_2940675	"NANIGIAN RD"	14	0
M228	228	paxton	2013	161279	896119	F_529130_2940016	"NANIGIAN RD"	11	0
M228	228	paxton	2013	161305	895936	F_529214_2939418	"WEST ST"	496	0
M228	228	paxton	2013	161312	896076	F_529237_2939876	"NANIGIAN RD"	9	0
M228	228	paxton	2013	161336	896030	F_529318_2939725	"NANIGIAN RD"	7	0
M228	228	paxton	2013	161407	895986	F_529550_2939582	"NANIGIAN RD"	5	0
