town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M238	238	plainville	2011	209836	860955	M_209836_860955	"FALES RD"	68	0
M238	238	plainville	2011	209841	862319	M_209841_862319	"RHODES ST"	71	0
M238	238	plainville	2011	209855	860863	M_209855_860863	"FALES RD"	64	0
M238	238	plainville	2011	209877	860779	M_209877_860779	"FALES RD"	60	0
M238	238	plainville	2011	209894	862062	M_209894_862062	"RHODES ST"	38	0
M238	238	plainville	2011	209903	860694	M_209903_860694	"FALES RD"	56	0
M238	238	plainville	2011	209912	861031	M_209912_861031	"HAWKINS ST"	31	0
M238	238	plainville	2011	209912	862321	M_209912_862321	"RHODES ST"	65	0
M238	238	plainville	2011	209917	862202	M_209917_862202	"RHODES ST"	34	0
M238	238	plainville	2011	209939	860619	M_209939_860619	"FALES RD"	52	0
M238	238	plainville	2011	209950	859744	M_209950_859744	"FALES RD"	16	0
M238	238	plainville	2011	209956	860931	M_209956_860931	"FALES RD"	65	0
M238	238	plainville	2011	209958	860540	M_209958_860540	"FALES RD"	50	0
M238	238	plainville	2011	209964	860007	M_209964_860007	"FALES RD"	26	0
M238	238	plainville	2011	209971	860482	M_209971_860482	"FALES RD"	48	0
M238	238	plainville	2011	209972	859938	M_209972_859938	"FALES RD"	24	0
M238	238	plainville	2011	209990	861222	M_209990_861222	"HAWKINS ST"	40	0
M238	238	plainville	2011	209992	860400	M_209992_860400	"FALES RD"	46	0
M238	238	plainville	2011	210005	860328	M_210005_860328	"FALES RD"	44	0
M238	238	plainville	2011	210005	861880	M_210005_861880	"RHODES ST"	32	0
M238	238	plainville	2011	210035	860800	M_210035_860800	"FALES RD"	59	0
M238	238	plainville	2011	210045	859522	M_210045_859522	"ALLEN ST"	3	0
M238	238	plainville	2011	210045	859605	M_210045_859605	"HAWKINS ST"	123	0
M238	238	plainville	2011	210053	859901	M_210053_859901	"FALES RD"	22	0
M238	238	plainville	2011	210092	859712	M_210092_859712	"FALES RD"	14	0
M238	238	plainville	2011	210099	860599	M_210099_860599	"FALES RD"	47	0
M238	238	plainville	2011	210101	859832	M_210101_859832	"FALES RD"	18	0
M238	238	plainville	2011	210116	862157	M_210116_862157	"RHODES ST"	30	0
M238	238	plainville	2011	210128	859594	M_210128_859594	"ALLEN ST"	1	0
M238	238	plainville	2011	210143	861005	M_210143_861005	"HAWKINS ST"	87	0
M238	238	plainville	2011	210159	860027	M_210159_860027	"FALES RD"	25	0
M238	238	plainville	2011	210171	859522	M_210171_859522	"ALLEN ST"	4	0
M238	238	plainville	2011	210181	859958	M_210181_859958	"FALES RD"	23	0
M238	238	plainville	2011	210188	860962	M_210188_860962	"HAWKINS ST"	89	0
M238	238	plainville	2011	210197	861619	M_210197_861619	"RHODES ST"	28	0
M238	238	plainville	2011	210204	859572	M_210204_859572	"FALES RD"	10	0
M238	238	plainville	2011	210206	859677	M_210206_859677	"HAWKINS ST"	123	0
M238	238	plainville	2011	210223	860905	M_210223_860905	"HAWKINS ST"	91	0
M238	238	plainville	2011	210224	859818	M_210224_859818	"HAWKINS ST"	121	0
M238	238	plainville	2011	210248	859514	M_210248_859514	"FALES RD"	8	0
M238	238	plainville	2011	210252	859616	M_210252_859616	"FALES RD"	7	0
M238	238	plainville	2011	210261	860809	M_210261_860809	"HAWKINS ST"	107	0
M238	238	plainville	2011	210295	861138	M_210295_861138	"HAWKINS ST"	74	0
M238	238	plainville	2011	210296	862365	M_210296_862365	"RHODES ST"	29	0
M238	238	plainville	2011	210298	860041	M_210298_860041	"HAWKINS ST"	119A	0
M238	238	plainville	2011	210302	859561	M_210302_859561	"FALES RD"	5	0
M238	238	plainville	2011	210309	859922	M_210309_859922	"HAWKINS ST"	119	0
M238	238	plainville	2011	210310	859721	M_210310_859721	"HAWKINS ST"	120	0
M238	238	plainville	2011	210320	859637	M_210320_859637	"HAWKINS ST"	122	0
M238	238	plainville	2011	210323	859458	M_210323_859458	"FALES RD"	4	0
M238	238	plainville	2011	210343	861087	M_210343_861087	"HAWKINS ST"	80	0
M238	238	plainville	2011	210357	860937	M_210357_860937	"HAWKINS ST"	90	0
M238	238	plainville	2011	210357	862387	M_210357_862387	"RHODES ST"	25	0
M238	238	plainville	2011	210358	860106	M_210358_860106	"HAWKINS ST"	117	0
M238	238	plainville	2011	210363	861026	M_210363_861026	"HAWKINS ST"	88	0
M238	238	plainville	2011	210366	859521	M_210366_859521	"FALES RD"	3	0
