town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M245	245	raynham	2011	233824	854391	F_767137_2803116	"REGAN CIR"	151	0
M245	245	raynham	2011	233864	854488	F_767269_2803433	"REGAN CIR"	135	0
M245	245	raynham	2011	233883	854398	F_767331_2803136	"REGAN CIR"	144	0
M245	245	raynham	2011	233890	854521	F_767353_2803542	"REGAN CIR"	119	0
M245	245	raynham	2011	233921	854584	F_767457_2803749	"LODGE ST"	8	0
M245	245	raynham	2011	233936	854442	F_767505_2803281	"REGAN CIR"	126	0
M245	245	raynham	2011	233963	854626	F_767594_2803885	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	233963	854552	F_767595_2803642	"REGAN CIR"	95	0
M245	245	raynham	2011	233986	854477	F_767669_2803397	"REGAN CIR"	106	0
M245	245	raynham	2011	233996	854672	F_767703_2804035	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234001	854602	F_767719_2803806	"REGAN CIR"	71	0
M245	245	raynham	2011	234028	854656	F_767806_2803984	"REGAN CIR"	51	0
M245	245	raynham	2011	234033	854732	F_767823_2804234	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234035	854512	F_767829_2803511	"REGAN CIR"	88	0
M245	245	raynham	2011	234059	854708	F_767908_2804156	"REGAN CIR"	31	0
M245	245	raynham	2011	234060	854781	F_767912_2804395	"KING PHILIP ST"	0	0
M245	245	raynham	2011	234066	854560	F_767933_2803669	"REGAN CIR"	72	0
M245	245	raynham	2011	234091	854761	F_768013_2804328	"REGAN CIR"	11	0
M245	245	raynham	2011	234092	854840	F_768016_2804586	"KING PHILIP ST"	2	0
M245	245	raynham	2011	234094	854614	F_768022_2803847	"REGAN CIR"	54	0
M245	245	raynham	2011	234130	854659	F_768141_2803994	"REGAN CIR"	38	0
M245	245	raynham	2011	234138	854886	F_768168_2804737	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234144	854840	F_768187_2804589	"KING PHILIP ST"	20	0
M245	245	raynham	2011	234151	854905	F_768212_2804801	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234156	854695	F_768226_2804111	"REGAN CIR"	20	0
M245	245	raynham	2011	234179	854732	F_768301_2804232	"REGAN CIR"	8	0
M245	245	raynham	2011	234183	854923	F_768314_2804861	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234195	854827	F_768356_2804544	"KING PHILIP ST"	34	0
M245	245	raynham	2011	234207	854950	F_768393_2804949	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234238	854691	F_768497_2804098	"KING PHILIP ST"	61	0
M245	245	raynham	2011	234239	854813	F_768499_2804498	"KING PHILIP ST"	46	0
M245	245	raynham	2011	234282	854796	F_768639_2804443	"KING PHILIP ST"	58	0
M245	245	raynham	2011	234293	854680	F_768676_2804062	"KING PHILIP ST"	0	0
M245	245	raynham	2011	234303	855043	F_768708_2805253	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234304	854406	F_768711_2803164	"KING PHILIP ST"	0	0
M245	245	raynham	2011	234314	855203	F_768745_2805779	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234319	853546	F_768761_2800342	BROADWAY	38	0
M245	245	raynham	2011	234320	855135	F_768765_2805556	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234327	855236	F_768789_2805888	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234332	854782	F_768805_2804398	"KING PHILIP ST"	88	0
M245	245	raynham	2011	234342	855272	F_768836_2806006	"PROSPECT HILL ST"	0	0
M245	245	raynham	2011	234350	853666	F_768862_2800737	BROADWAY	0	0
M245	245	raynham	2011	234375	854648	F_768946_2803957	"KING PHILIP ST"	121	0
M245	245	raynham	2011	234385	853879	F_768979_2801436	BROADWAY	160	0
M245	245	raynham	2011	234388	855239	F_768987_2805898	"PROSPECT HILL ST"	129	0
M245	245	raynham	2011	234390	853567	F_768994_2800410	BROADWAY	38A	0
M245	245	raynham	2011	234390	854756	F_768995_2804313	"KING PHILIP ST"	106	0
M245	245	raynham	2011	234406	854626	F_769048_2803887	"KING PHILIP ST"	133	0
M245	245	raynham	2011	234409	855511	F_769057_2806790	"CODY LN"	8	0
M245	245	raynham	2011	234423	855680	F_769104_2807344	"CODY LN"	0	0
M245	245	raynham	2011	234424	854471	F_769105_2803376	"WARD ST"	52	0
M245	245	raynham	2011	234439	854601	F_769154_2803804	"KING PHILIP ST"	148	0
M245	245	raynham	2011	234454	854700	F_769204_2804127	"KING PHILIP ST"	130	0
M245	245	raynham	2011	234459	853364	F_769221_2799745	BROADWAY	13	0
M245	245	raynham	2011	234462	853275	F_769230_2799452	"EAST BRITANNIA ST"	0	0
M245	245	raynham	2011	234465	854440	F_769240_2803274	"WARD ST"	36	0
M245	245	raynham	2011	234473	855757	F_769267_2807595	"PROSPECT HILL ST"	143	0
M245	245	raynham	2011	234477	854568	F_769281_2803696	"KING PHILIP ST"	161	0
M245	245	raynham	2011	234483	853566	F_769300_2800409	BROADWAY	55	0
M245	245	raynham	2011	234485	854668	F_769306_2804022	"BRITTON ST"	8	0
M245	245	raynham	2011	234485	855670	F_769307_2807312	"CODY LN"	34	0
M245	245	raynham	2011	234494	854507	F_769336_2803496	"WARD ST"	49	0
M245	245	raynham	2011	234499	854408	F_769351_2803171	"WARD ST"	22	0
M245	245	raynham	2011	234501	853726	F_769360_2800934	BROADWAY	114	0
M245	245	raynham	2011	234510	853446	F_769387_2800013	BROADWAY	45	0
M245	245	raynham	2011	234521	855439	F_769424_2806554	"CODY LN"	0	0
M245	245	raynham	2011	234523	853216	F_769431_2799258	"EAST BRITANNIA ST"	0	0
M245	245	raynham	2011	234524	857430	F_769433_2813084	"PROSPECT HILL ST"	325	0
M245	245	raynham	2011	234524	854532	F_769434_2803577	"KING PHILIP ST"	181	0
M245	245	raynham	2011	234527	854719	F_769445_2804191	"BRITTON ST"	28	0
M245	245	raynham	2011	234527	855841	F_769445_2807872	"PROSPECT HILL ST"	145	0
M245	245	raynham	2011	234531	854154	F_769456_2802336	BROADWAY	240	0
M245	245	raynham	2011	234536	853596	F_769472_2800506	BROADWAY	77	0
M245	245	raynham	2011	234536	855266	F_769472_2805984	"PROSPECT HILL ST"	131	0
M245	245	raynham	2011	234538	854619	F_769480_2803861	"BRITTON ST"	1	0
M245	245	raynham	2011	234539	854371	F_769482_2803048	"WARD ST"	4	0
M245	245	raynham	2011	234544	853804	F_769500_2801190	BROADWAY	140	0
M245	245	raynham	2011	234550	854485	F_769519_2803423	"KING PHILIP ST"	197	0
M245	245	raynham	2011	234566	854745	F_769572_2804275	"BRITTON ST"	42	0
M245	245	raynham	2011	234569	854274	F_769581_2802730	BROADWAY	240	0
M245	245	raynham	2011	234570	853839	F_769586_2801305	BROADWAY	150	0
M245	245	raynham	2011	234573	857227	F_769594_2812419	"PROSPECT HILL ST"	279	0
M245	245	raynham	2011	234578	853974	F_769610_2801746	BROADWAY	184	0
M245	245	raynham	2011	234579	856110	F_769613_2808755	"PROSPECT HILL ST"	201	0
M245	245	raynham	2011	234579	854577	F_769614_2803725	"KING PHILIP ST"	184	0
M245	245	raynham	2011	234580	856156	F_769619_2808904	"PROSPECT HILL ST"	211	0
M245	245	raynham	2011	234582	857359	F_769624_2812853	"PROSPECT HILL ST"	289	0
M245	245	raynham	2011	234583	857396	F_769627_2812972	"PROSPECT HILL ST"	291	0
M245	245	raynham	2011	234586	859493	F_769636_2819853	BROADWAY	0	0
M245	245	raynham	2011	234587	854454	F_769640_2803322	"KING PHILIP ST"	205	0
M245	245	raynham	2011	234589	854647	F_769649_2803954	"BRITTON ST"	19	0
M245	245	raynham	2011	234590	853739	F_769651_2800974	BROADWAY	109	0
M245	245	raynham	2011	234591	854345	F_769653_2802962	"REID ST"	34	0
M245	245	raynham	2011	234600	856179	F_769685_2808979	"O'BRIEN AVE"	13	0
M245	245	raynham	2011	234601	856213	F_769686_2809093	"PROSPECT HILL ST"	229	0
M245	245	raynham	2011	234602	855041	F_769691_2805247	"BRITTON ST"	0	0
M245	245	raynham	2011	234605	854770	F_769700_2804359	"BRITTON ST"	58	0
M245	245	raynham	2011	234607	856249	F_769707_2809210	"NEW CARVER ST"	5	0
M245	245	raynham	2011	234613	854547	F_769725_2803626	"KING PHILIP ST"	202	0
M245	245	raynham	2011	234619	853700	F_769745_2800846	BROADWAY	107	0
