town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M247	247	rehoboth	2011	216574	849798	F_710542_2788047	"CROSS ST"	OFF	0
M247	247	rehoboth	2011	216590	849674	F_710596_2787638	"CROSS ST"	2	0
M247	247	rehoboth	2011	216603	849614	F_710639_2787441	"CROSS ST"	6	0
M247	247	rehoboth	2011	216614	849149	F_710674_2785916	"CROSS ST"	40	0
M247	247	rehoboth	2011	216615	849073	F_710679_2785666	"CROSS ST"	46	0
M247	247	rehoboth	2011	216616	849780	F_710681_2787988	"CROSS ST"	1	0
M247	247	rehoboth	2011	216618	850285	F_710686_2789645	"CROSS ST"	OFF	0
M247	247	rehoboth	2011	216619	849253	F_710692_2786259	"CROSS ST"	34	0
M247	247	rehoboth	2011	216625	850159	F_710712_2789230	"CROSS ST"	OFF	0
M247	247	rehoboth	2011	216626	849490	F_710713_2787034	"CROSS ST"	12	0
M247	247	rehoboth	2011	216626	849314	F_710714_2786459	"CROSS ST"	30	0
M247	247	rehoboth	2011	216630	850128	F_710726_2789128	"CROSS ST"	OFF	0
M247	247	rehoboth	2011	216633	849344	F_710736_2786557	"CROSS ST"	36	0
M247	247	rehoboth	2011	216638	850067	F_710753_2788927	"CROSS ST"	OFF	0
M247	247	rehoboth	2011	216639	849431	F_710757_2786841	"CROSS ST"	20	0
M247	247	rehoboth	2011	216663	849729	F_710834_2787820	"CROSS ST"	3	0
M247	247	rehoboth	2011	216688	849106	F_710916_2785775	"CROSS ST"	43	0
M247	247	rehoboth	2011	216689	849235	F_710919_2786198	"CROSS ST"	33	0
M247	247	rehoboth	2011	216693	849178	F_710933_2786010	"CROSS ST"	37	0
M247	247	rehoboth	2011	216699	847427	F_710954_2780266	"PINE ST"	OFF	0
M247	247	rehoboth	2011	216699	849660	F_710954_2787592	"CROSS ST"	5	0
M247	247	rehoboth	2011	216708	847343	F_710984_2779992	"PINE ST"	OFF	0
M247	247	rehoboth	2011	216713	848756	F_711000_2784628	"CROSS ST"	57	0
M247	247	rehoboth	2011	216718	849602	F_711016_2787401	"CROSS ST"	7	0
M247	247	rehoboth	2011	216720	849047	F_711022_2785581	"CROSS ST"	49	0
M247	247	rehoboth	2011	216722	847306	F_711029_2779871	"PINE ST"	OFF	0
M247	247	rehoboth	2011	216724	848933	F_711036_2785208	"TREMONT ST"	619	0
M247	247	rehoboth	2011	216725	847220	F_711038_2779588	"PINE ST"	1	0
M247	247	rehoboth	2011	216731	846995	F_711057_2778851	"PINE ST"	12	0
M247	247	rehoboth	2011	216734	848814	F_711067_2784816	"CROSS ST"	53	0
M247	247	rehoboth	2011	216741	849529	F_711092_2787163	"CROSS ST"	11	0
M247	247	rehoboth	2011	216742	846918	F_711094_2778597	"PINE ST"	16	0
M247	247	rehoboth	2011	216749	846821	F_711118_2778277	"PINE ST"	20	0
M247	247	rehoboth	2011	216752	846618	F_711128_2777612	"WALKER ST"	6	0
M247	247	rehoboth	2011	216754	847156	F_711134_2779379	"PINE ST"	5	0
M247	247	rehoboth	2011	216758	849457	F_711147_2786926	"CROSS ST"	21	0
M247	247	rehoboth	2011	216768	847740	F_711181_2781294	"SWEENEY RD"	75	0
M247	247	rehoboth	2011	216771	847579	F_711188_2780766	"SWEENEY RD"	80	0
M247	247	rehoboth	2011	216773	846693	F_711195_2777860	"PINE ST"	30	0
M247	247	rehoboth	2011	216775	847082	F_711203_2779134	"PINE ST"	7	0
M247	247	rehoboth	2011	216776	846764	F_711207_2778092	"PINE ST"	26	0
M247	247	rehoboth	2011	216778	850337	F_711211_2789814	"TREMONT ST"	OFF	0
M247	247	rehoboth	2011	216783	849128	F_711230_2785846	"TREMONT ST"	610	0
M247	247	rehoboth	2011	216791	848207	F_711254_2782827	"ROD WAY"	TWO	0
M247	247	rehoboth	2011	216801	846638	F_711288_2777679	"WALKER ST"	2	0
M247	247	rehoboth	2011	216802	849346	F_711292_2786563	"CROSS ST"	29	0
M247	247	rehoboth	2011	216807	846513	F_711308_2777268	"WALKER ST"	7	0
M247	247	rehoboth	2011	216817	849157	F_711339_2785941	"TREMONT ST"	608	0
M247	247	rehoboth	2011	216824	846988	F_711364_2778828	"PINE ST"	15	0
M247	247	rehoboth	2011	216826	846893	F_711370_2778514	"PINE ST"	19	0
M247	247	rehoboth	2011	216841	847775	F_711418_2781409	"SWEENEY RD"	71	0
M247	247	rehoboth	2011	216846	845608	F_711434_2774300	"PINE ST"	OFF	0
M247	247	rehoboth	2011	216854	847224	F_711463_2779601	"PINE ST"	11	0
M247	247	rehoboth	2011	216857	849178	F_711471_2786012	"TREMONT ST"	604	0
M247	247	rehoboth	2011	216858	846566	F_711474_2777441	"WALKER ST"	1	0
M247	247	rehoboth	2011	216859	848570	F_711479_2784016	"TREMONT ST"	OFF	0
M247	247	rehoboth	2011	216868	848781	F_711508_2784710	"TREMONT ST"	615	0
M247	247	rehoboth	2011	216869	849575	F_711510_2787313	"CROSS ST"	17	0
M247	247	rehoboth	2011	216869	847606	F_711511_2780853	"SWEENEY RD"	72	0
M247	247	rehoboth	2011	216872	846933	F_711522_2778645	"HOMESTEAD AVE"	280	0
M247	247	rehoboth	2011	216875	844997	F_711532_2772295	"PINE ST"	OFF	0
M247	247	rehoboth	2011	216877	846202	F_711537_2776249	"WALKER ST"	OFF	0
M247	247	rehoboth	2011	216886	847850	F_711566_2781656	"SWEENEY RD"	67	0
M247	247	rehoboth	2011	216899	846482	F_711611_2777168	"PINE ST"	44	0
M247	247	rehoboth	2011	216906	843292	F_711631_2766702	"BROAD ST"	150	0
M247	247	rehoboth	2011	216908	846996	F_711639_2778853	"HOMESTEAD AVE"	276	0
M247	247	rehoboth	2011	216914	843167	F_711660_2766291	"BROAD ST"	OFF	0
M247	247	rehoboth	2011	216916	849221	F_711665_2786153	"TREMONT ST"	602	0
M247	247	rehoboth	2011	216919	848114	F_711676_2782521	"SWEENEY RD"	OFF	0
M247	247	rehoboth	2011	216920	843224	F_711677_2766479	"BROAD ST"	149	0
M247	247	rehoboth	2011	216932	847626	F_711717_2780920	"SWEENEY RD"	68	0
M247	247	rehoboth	2011	216942	842951	F_711751_2765583	"BROAD ST"	151R	0
M247	247	rehoboth	2011	216949	847054	F_711774_2779044	"HOMESTEAD AVE"	272	0
M247	247	rehoboth	2011	216950	843167	F_711776_2766291	"BROAD ST"	OFF	0
M247	247	rehoboth	2011	216956	846876	F_711795_2778459	"HOMESTEAD AVE"	275	0
M247	247	rehoboth	2011	216963	846704	F_711821_2777895	"PINE ST"	33	0
M247	247	rehoboth	2011	216964	846435	F_711823_2777011	"PINE ST"	50	0
M247	247	rehoboth	2011	216968	843502	F_711835_2767388	"BROAD ST"	140	0
M247	247	rehoboth	2011	216974	849165	F_711854_2785969	"TREMONT ST"	598	0
M247	247	rehoboth	2011	216985	843208	F_711892_2766426	"BROAD ST"	143	0
M247	247	rehoboth	2011	216988	845902	F_711900_2775264	"PINE ST"	OFF	0
M247	247	rehoboth	2011	216991	847731	F_711912_2781265	"SWEENEY RD"	60	0
M247	247	rehoboth	2011	216998	842729	F_711934_2764854	"WINTHROP ST"	588	0
M247	247	rehoboth	2011	216999	849283	F_711938_2786355	"TREMONT ST"	592	0
M247	247	rehoboth	2011	217002	849213	F_711948_2786125	"TREMONT ST"	596	0
M247	247	rehoboth	2011	217007	847260	F_711963_2779720	"HOMESTEAD AVE"	268	0
M247	247	rehoboth	2011	217012	842051	F_711979_2762628	"SUMMER ST"	341	0
M247	247	rehoboth	2011	217012	843862	F_711980_2768571	"SALISBURY ST"	88	0
M247	247	rehoboth	2011	217015	846927	F_711990_2778626	"HOMESTEAD AVE"	273	0
M247	247	rehoboth	2011	217020	842156	F_712005_2762972	"SUMMER ST"	344	0
M247	247	rehoboth	2011	217025	842654	F_712023_2764606	"WINTHROP ST"	584	0
M247	247	rehoboth	2011	217029	846387	F_712035_2776854	"PINE ST"	56	0
M247	247	rehoboth	2011	217032	849115	F_712046_2785804	"TREMONT ST"	597	0
M247	247	rehoboth	2011	217037	842545	F_712061_2764250	"WINTHROP ST"	583	0
M247	247	rehoboth	2011	217038	849603	F_712065_2787406	"CROSS ST"	OFF	0
M247	247	rehoboth	2011	217043	843078	F_712082_2765998	"BLANDING RD"	16	0
M247	247	rehoboth	2011	217049	843137	F_712103_2766192	"BLANDING RD"	12	0
M247	247	rehoboth	2011	217050	842655	F_712106_2764611	"WINTHROP ST"	582	0
M247	247	rehoboth	2011	217051	842389	F_712109_2763738	"BLANDING RD"	62	0
M247	247	rehoboth	2011	217053	842036	F_712114_2762581	"SUMMER ST"	337	0
M247	247	rehoboth	2011	217060	841759	F_712137_2761671	"SUMMER ST"	329	0
M247	247	rehoboth	2011	217060	843289	F_712138_2766692	"BROAD ST"	141	0
M247	247	rehoboth	2011	217061	842959	F_712142_2765609	"BLANDING RD"	26	0
M247	247	rehoboth	2011	217062	847718	F_712143_2781223	"SWEENEY RD"	58	0
M247	247	rehoboth	2011	217063	850114	F_712148_2789083	"CROSS ST"	OFF	0
M247	247	rehoboth	2011	217065	845414	F_712153_2773661	"PINE ST"	OFF	0
M247	247	rehoboth	2011	217068	843392	F_712164_2767029	"BROAD ST"	138	0
M247	247	rehoboth	2011	217072	844130	F_712177_2769450	"SALISBURY ST"	64	0
M247	247	rehoboth	2011	217076	848595	F_712190_2784098	"ROD WAY"	TWO	0
M247	247	rehoboth	2011	217077	846967	F_712192_2778756	"HOMESTEAD AVE"	267	0
M247	247	rehoboth	2011	217078	846351	F_712197_2776736	"PINE ST"	60	0
M247	247	rehoboth	2011	217078	843218	F_712198_2766457	"BLANDING RD"	8	0
M247	247	rehoboth	2011	217083	845102	F_712214_2772639	"PINE ST"	152	0
M247	247	rehoboth	2011	217084	849359	F_712215_2786604	"TREMONT ST"	586	0
M247	247	rehoboth	2011	217086	848149	F_712222_2782635	"SWEENEY RD"	OFF	0
M247	247	rehoboth	2011	217089	848978	F_712232_2785356	"TREMONT ST"	601	0
M247	247	rehoboth	2011	217090	840699	F_712235_2758193	"PROVIDENCE ST"	OFF	0
M247	247	rehoboth	2011	217090	842569	F_712235_2764330	"WINTHROP ST"	579	0
M247	247	rehoboth	2011	217092	842881	F_712242_2765352	"BLANDING RD"	30	0
M247	247	rehoboth	2011	217097	842156	F_712259_2762973	"SUMMER ST"	338	0
M247	247	rehoboth	2011	217097	843061	F_712260_2765941	"BLANDING RD"	20	0
M247	247	rehoboth	2011	217097	847857	F_712260_2781678	"SWEENEY RD"	55	0
M247	247	rehoboth	2011	217100	840029	F_712269_2755996	"PROVIDENCE ST"	305	0
M247	247	rehoboth	2011	217102	849248	F_712274_2786242	"TREMONT ST"	588	0
M247	247	rehoboth	2011	217105	849124	F_712286_2785834	"TREMONT ST"	593	0
M247	247	rehoboth	2011	217108	842029	F_712295_2762557	"SUMMER ST"	333	0
M247	247	rehoboth	2011	217113	846313	F_712310_2776612	"OLD PINE ST"	8	0
M247	247	rehoboth	2011	217113	843574	F_712311_2767627	"SALISBURY ST"	94	0
M247	247	rehoboth	2011	217114	847728	F_712314_2781254	"SWEENEY RD"	54	0
M247	247	rehoboth	2011	217120	842839	F_712335_2765215	"BLANDING RD"	34	0
M247	247	rehoboth	2011	217122	842792	F_712340_2765059	RD	BLANDING	0
M247	247	rehoboth	2011	217122	845615	F_712340_2774323	"PINE ST"	OFF	0
M247	247	rehoboth	2011	217135	842689	F_712384_2764721	"WINTHROP ST"	576	0
M247	247	rehoboth	2011	217135	843420	F_712385_2767119	"BROAD ST"	132	0
M247	247	rehoboth	2011	217137	843469	F_712389_2767281	"SALISBURY ST"	100	0
M247	247	rehoboth	2011	217149	847130	F_712429_2779292	"HOMESTEAD AVE"	262	0
M247	247	rehoboth	2011	217154	842149	F_712446_2762949	"SUMMER ST"	330	0
M247	247	rehoboth	2011	217154	842606	F_712446_2764450	"BLANDING RD"	52	0
M247	247	rehoboth	2011	217157	849137	F_712455_2785878	"TREMONT ST"	589	0
M247	247	rehoboth	2011	217157	847866	F_712457_2781708	"SWEENEY RD"	51	0
M247	247	rehoboth	2011	217160	838645	F_712466_2751453	"WHEATON AVE"	70	0
M247	247	rehoboth	2011	217161	846956	F_712469_2778722	"HOMESTEAD AVE"	OFF	0
M247	247	rehoboth	2011	217165	846604	F_712483_2777568	"PINE ST"	OFF	0
M247	247	rehoboth	2011	217166	842546	F_712484_2764253	"BLANDING RD"	56	0
M247	247	rehoboth	2011	217166	843841	F_712486_2768502	"SALISBURY ST"	78	0
M247	247	rehoboth	2011	217167	840177	F_712488_2756480	"PROVIDENCE ST"	308	0
M247	247	rehoboth	2011	217167	844998	F_712489_2772297	"PINE ST"	154	0
M247	247	rehoboth	2011	217169	845788	F_712495_2774890	"PINE ST"	110	0
M247	247	rehoboth	2011	217169	847738	F_712495_2781288	"SWEENEY RD"	50	0
M247	247	rehoboth	2011	217169	846324	F_712496_2776648	"OLD PINE ST"	6	0
M247	247	rehoboth	2011	217173	842518	F_712507_2764162	"BLANDING RD"	58	0
M247	247	rehoboth	2011	217173	847630	F_712509_2780934	"SWEENEY RD"	48	0
M247	247	rehoboth	2011	217173	842698	F_712510_2764752	"BLANDING RD"	44	0
M247	247	rehoboth	2011	217173	847382	F_712510_2780120	"HOMESTEAD AVE"	250	0
M247	247	rehoboth	2011	217180	843768	F_712532_2768261	"SALISBURY ST"	80	0
M247	247	rehoboth	2011	217181	839233	F_712536_2753384	"MILLER ST"	39	0
M247	247	rehoboth	2011	217187	839973	F_712555_2755812	"PROVIDENCE ST"	299	0
M247	247	rehoboth	2011	217190	843351	F_712564_2766894	"BLANDING RD"	3	0
M247	247	rehoboth	2011	217194	849278	F_712577_2786341	"TREMONT ST"	584	0
M247	247	rehoboth	2011	217195	842581	F_712579_2764369	"BLANDING RD"	54	0
M247	247	rehoboth	2011	217196	843267	F_712585_2766618	"BLANDING RD"	7	0
M247	247	rehoboth	2011	217198	842415	F_712592_2763823	"BLANDING RD"	68	0
M247	247	rehoboth	2011	217200	838464	F_712596_2750860	"ALMEIDA RD"	82	0
M247	247	rehoboth	2011	217203	842343	F_712607_2763587	"BLANDING RD"	72	0
M247	247	rehoboth	2011	217206	843197	F_712617_2766390	"BLANDING RD"	11	0
M247	247	rehoboth	2011	217206	838515	F_712618_2751028	"WHEATON AVE"	79	0
M247	247	rehoboth	2011	217208	837981	F_712622_2749275	"ALMEIDA RD"	62	0
M247	247	rehoboth	2011	217209	847146	F_712626_2779346	"HOMESTEAD AVE"	258	0
M247	247	rehoboth	2011	217209	850442	F_712627_2790158	"TREMONT ST"	OFF	0
M247	247	rehoboth	2011	217213	846035	F_712639_2775701	"PINE ST"	94	0
M247	247	rehoboth	2011	217213	838128	F_712640_2749758	"ALMEIDA RD"	70	0
M247	247	rehoboth	2011	217213	843136	F_712641_2766188	"BLANDING RD"	15	0
M247	247	rehoboth	2011	217214	849130	F_712643_2785854	"TREMONT ST"	585	0
M247	247	rehoboth	2011	217214	838051	F_712644_2749506	"ALMEIDA RD"	66	0
M247	247	rehoboth	2011	217219	842244	F_712658_2763263	"BLANDING RD"	74&78	0
M247	247	rehoboth	2011	217221	843074	F_712666_2765986	"BLANDING RD"	19	0
M247	247	rehoboth	2011	217222	846241	F_712669_2776375	"PINE ST"	80	0
M247	247	rehoboth	2011	217228	843013	F_712690_2765785	"BLANDING RD"	23	0
M247	247	rehoboth	2011	217229	839433	F_712692_2754039	"MILLER ST"	35	0
M247	247	rehoboth	2011	217231	843484	F_712700_2767331	"SALISBURY ST"	97	0
M247	247	rehoboth	2011	217234	843567	F_712709_2767602	"SALISBURY ST"	93	0
M247	247	rehoboth	2011	217234	842952	F_712710_2765586	"BLANDING RD"	27	0
M247	247	rehoboth	2011	217236	838559	F_712714_2751173	"WHEATON AVE"	75	0
M247	247	rehoboth	2011	217236	843621	F_712714_2767779	"SALISBURY ST"	89	0
M247	247	rehoboth	2011	217236	842136	F_712715_2762907	"SUMMER ST"	324	0
M247	247	rehoboth	2011	217237	848074	F_712717_2782390	"SWEENEY RD"	63	0
M247	247	rehoboth	2011	217237	837477	F_712718_2747623	"ALMEIDA RD"	41	0
M247	247	rehoboth	2011	217239	842593	F_712725_2764407	"BLANDING RD"	55	0
M247	247	rehoboth	2011	217239	842891	F_712725_2765386	"BLANDING RD"	31	0
M247	247	rehoboth	2011	217241	849297	F_712730_2786402	"TREMONT ST"	580	0
M247	247	rehoboth	2011	217241	839619	F_712732_2754650	"MILLER ST"	34	0
M247	247	rehoboth	2011	217242	843872	F_712734_2768605	"SALISBURY ST"	72	0
M247	247	rehoboth	2011	217242	842807	F_712735_2765109	"BLANDING RD"	37-39	0
M247	247	rehoboth	2011	217244	842630	F_712740_2764528	"WINTHROP ST"	569	0
M247	247	rehoboth	2011	217246	843671	F_712747_2767943	"SALISBURY ST"	85	0
M247	247	rehoboth	2011	217249	843733	F_712759_2768147	"SALISBURY ST"	81	0
M247	247	rehoboth	2011	217250	842726	F_712762_2764842	"WINTHROP ST"	570	0
M247	247	rehoboth	2011	217256	838390	F_712780_2750619	"ALMEIDA RD"	78	0
M247	247	rehoboth	2011	217259	840077	F_712789_2756151	"PROVIDENCE ST"	300	0
M247	247	rehoboth	2011	217259	849542	F_712790_2787206	"FINNEGANS WAY"	15	0
M247	247	rehoboth	2011	217259	849123	F_712792_2785831	"TREMONT ST"	581	0
M247	247	rehoboth	2011	217260	839991	F_712793_2755870	"PROVIDENCE ST"	295	0
M247	247	rehoboth	2011	217261	836421	F_712798_2744157	"FALL RIVER AVE"	73	0
M247	247	rehoboth	2011	217262	842551	F_712800_2764269	"BLANDING RD"	59	0
M247	247	rehoboth	2011	217263	847165	F_712803_2779406	"HOMESTEAD AVE"	254	0
M247	247	rehoboth	2011	217264	846621	F_712808_2777624	"HOMESTEAD AVE"	OFF	0
M247	247	rehoboth	2011	217271	842033	F_712831_2762569	"SUMMER ST"	325	0
M247	247	rehoboth	2011	217273	843345	F_712837_2766873	"BROAD ST"	125	0
