LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_246577_876308	"SPRUCE ST"	0	0	246577	876308
M_246586_876333	"SPRUCE ST"	167	0	246586	876333
M_246615_876260	"SPRUCE ST"	160	0	246615	876260
M_246626_876285	"SPRUCE ST"	0	0	246626	876285
M_246635_876295	"SPRUCE ST"	0	0	246635	876295
M_246653_876089	"SPRUCE ST"	0	0	246653	876089
M_246697_876301	"SPRUCE ST"	140	0	246697	876301
M_246703_876031	"TIFFANY LANE"	0	0	246703	876031
M_246710_876108	"TIFFANY LANE"	0	0	246710	876108
M_246718_875634	"NORTH AV"	0	0	246718	875634
M_246730_875596	"NORTH AV"	0	0	246730	875596
M_246730_876342	"SPRUCE ST"	0	0	246730	876342
M_246739_875568	"NORTH AV"	0	0	246739	875568
M_246744_876212	"TIFFANY LANE"	0	0	246744	876212
M_246748_875540	"NORTH AV"	0	0	246748	875540
M_246749_875507	"NORTH AV"	0	0	246749	875507
M_246755_875925	"HOWLAND WAY"	0	0	246755	875925
M_246757_875445	"NORTH AV"	407	0	246757	875445
M_246760_876029	"TIFFANY LANE"	8	0	246760	876029
M_246765_875514	"NORTH AV"	0	0	246765	875514
M_246770_875456	"NORTH AV"	518	0	246770	875456
M_246770_876090	"TIFFANY LANE"	5	0	246770	876090
M_246783_875382	"NORTH AV"	0	0	246783	875382
M_246787_875466	"NORTH AV"	510-512	0	246787	875466
M_246800_876355	"SPRUCE ST"	86	0	246800	876355
M_246802_875269	"NEVENS CIR"	80	0	246802	875269
M_246802_875738	"NORTH AV"	0	0	246802	875738
M_246806_875970	"HOWLAND WAY"	22	0	246806	875970
M_246821_877392	"UNION ST"	0	0	246821	877392
M_246823_875920	"HOWLAND WAY"	16	0	246823	875920
M_246823_876155	"TIFFANY LANE"	3	0	246823	876155
M_246827_875482	"NORTH AV"	490	0	246827	875482
M_246840_875424	"NEVENS CIR"	110	0	246840	875424
M_246842_875395	"NEVENS CIR"	104	0	246842	875395
M_246843_875301	"NEVENS CIR"	80	0	246843	875301
M_246844_875367	"NEVENS CIR"	96	0	246844	875367
M_246845_875999	"HOWLAND WAY"	19	0	246845	875999
M_246845_876269	"TIFFANY LANE"	0	0	246845	876269
M_246845_876401	"SPRUCE ST"	76	0	246845	876401
M_246847_875340	"NEVENS CIR"	90	0	246847	875340
M_246848_876073	"TIFFANY LANE"	6	0	246848	876073
M_246858_875083	"PLAIN ST"	0	0	246858	875083
M_246863_875457	"NEVENS CIR"	120	0	246863	875457
M_246866_875250	"NEVENS CIR"	70	0	246866	875250
M_246871_875500	"NORTH AV"	482	0	246871	875500
M_246874_876484	"SPRUCE ST"	57	0	246874	876484
M_246884_875988	"HOWLAND WAY"	15	0	246884	875988
M_246885_876390	"SPRUCE ST"	58	0	246885	876390
M_246888_876089	"TIFFANY LANE"	4	0	246888	876089
M_246899_875508	"NORTH AV"	472	0	246899	875508
M_246900_876183	"TIFFANY LANE"	1	0	246900	876183
M_246902_876496	"SPRUCE ST"	51	0	246902	876496
M_246909_874942	"BROOKSIDE RD"	0	0	246909	874942
M_246911_875390	"JOHNSON TER"	83	0	246911	875390
M_246913_875341	"NEVENS CIR"	91	0	246913	875341
M_246915_875305	"NEVENS CIR"	63	0	246915	875305
M_246915_875423	"NEVENS CIR"	125	0	246915	875423
M_246915_876061	"TIFFANY LANE"	2	0	246915	876061
M_246916_875247	"NEVENS CIR"	62	0	246916	875247
M_246916_876281	"SALEM ST"	403	0	246916	876281
M_246923_875468	"NEVENS CIR"	128	0	246923	875468
M_246924_875587	"NORTH AV"	453	0	246924	875587
M_246924_875638	"SALEM ST"	635	0	246924	875638
M_246924_876348	"SALEM ST"	391	0	246924	876348
M_246926_875840	"SALEM ST"	583	0	246926	875840
M_246927_875514	"NORTH AV"	462	0	246927	875514
M_246930_876424	"SPRUCE ST"	50	0	246930	876424
M_246930_876508	"SPRUCE ST"	35	0	246930	876508
M_246935_874768	"BROOKSIDE RD"	0	0	246935	874768
M_246935_875391	"JOHNSON TER"	73	0	246935	875391
M_246935_875683	"SALEM ST"	627	0	246935	875683
M_246937_875343	"JOHNSON TER"	72	0	246937	875343
M_246939_875306	"NEVENS CIR"	55	0	246939	875306
M_246940_875246	"NEVENS CIR"	54	0	246940	875246
M_246943_875899	"HOWLAND WAY"	2	0	246943	875899
M_246943_875899	"HOWLAND WAY"	4	0	246943	875899
M_246945_875726	"SALEM ST"	609	0	246945	875726
M_246947_875425	"NEVENS CIR"	139	0	246947	875425
M_246949_875994	"SALEM ST"	515	0	246949	875994
M_246951_875470	"NEVENS CIR"	138	0	246951	875470
M_246951_875969	"SALEM ST"	519	0	246951	875969
M_246951_876020	"SALEM ST"	505	0	246951	876020
M_246955_875769	"SALEM ST"	593	0	246955	875769
M_246959_875392	"JOHNSON TER"	65	0	246959	875392
