town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M252	252	rockport	2013	270391	936011	M_270391_936011	"BLUEBERRY LN"	1	0
M252	252	rockport	2013	270409	935765	M_270409_935765	"LINDY LANE"	2	0
M252	252	rockport	2013	270416	937381	M_270416_937381	"WOODBURY HILL"	1	0
M252	252	rockport	2013	270432	937400	M_270432_937400	"WOODBURY HILL"	2	0
M252	252	rockport	2013	270446	936995	M_270446_936995	"WOODBURY HILL"	11	0
M252	252	rockport	2013	270448	937572	M_270448_937572	"GRANITE ST"	356	0
M252	252	rockport	2013	270455	937598	M_270455_937598	"GRANITE ST"	354	0
M252	252	rockport	2013	270456	937662	M_270456_937662	"GRANITE ST"	339	0
M252	252	rockport	2013	270466	937534	M_270466_937534	"GRANITE ST"	358	0
M252	252	rockport	2013	270480	937698	M_270480_937698	"GRANITE ST"	337	0
M252	252	rockport	2013	270483	937584	M_270483_937584	"GRANITE ST"	352	0
M252	252	rockport	2013	270493	937724	M_270493_937724	"GRANITE ST"	335	0
M252	252	rockport	2013	270511	937759	M_270511_937759	"GRANITE ST"	333	0
M252	252	rockport	2013	270524	935962	M_270524_935962	"BLUEBERRY LN"	0	0
M252	252	rockport	2013	270537	937577	M_270537_937577	"GRANITE ST"	346	0
M252	252	rockport	2013	270555	937632	M_270555_937632	"MARCHANT ST"	6	0
M252	252	rockport	2013	270558	937767	M_270558_937767	"GRANITE ST"	331	0
M252	252	rockport	2013	270559	934654	M_270559_934654	"SQUAM RD"	80	0
M252	252	rockport	2013	270559	937691	M_270559_937691	"GRANITE ST"	344	0
M252	252	rockport	2013	270579	934544	M_270579_934544	"SQUAM RD"	59	0
M252	252	rockport	2013	270579	934544	M_270579_934544	"SQUAM RD"	59-61	0
M252	252	rockport	2013	270579	934544	M_270579_934544	"SQUAM RD"	61	0
M252	252	rockport	2013	270587	937348	M_270587_937348	"GRANITE ST"	348	0
M252	252	rockport	2013	270587	937778	M_270587_937778	"GRANITE ST"	329	0
M252	252	rockport	2013	270605	937846	M_270605_937846	"GRANITE ST"	325	0
M252	252	rockport	2013	270616	935986	M_270616_935986	"BLUEBERRY LN APT A"	2	0
M252	252	rockport	2013	270645	935959	M_270645_935959	"PIGEON HILL ST"	80	0
M252	252	rockport	2013	270654	935991	M_270654_935991	"PIGEON HILL ST"	78	0
M252	252	rockport	2013	270665	934692	M_270665_934692	"SQUAM RD"	78	0
M252	252	rockport	2013	270684	937415	M_270684_937415	"MARCHANT ST"	8	0
M252	252	rockport	2013	270689	937922	M_270689_937922	"GRANITE ST"	323R	0
M252	252	rockport	2013	270689	937922	M_270689_937922	"GRANITE ST UNIT 1"	323	0
M252	252	rockport	2013	270689	937922	M_270689_937922	"GRANITE ST UNIT"	323-323	0
M252	252	rockport	2013	270691	937680	M_270691_937680	"GRANITE ST"	340	0
M252	252	rockport	2013	270691	937680	M_270691_937680	"GRANITE ST"	340-340	0
M252	252	rockport	2013	270693	935989	M_270693_935989	"PIGEON HILL ST"	76	0
M252	252	rockport	2013	270697	937727	M_270697_937727	"GRANITE ST"	338	0
M252	252	rockport	2013	270700	936026	M_270700_936026	"PIGEON HILL ST"	74	0
M252	252	rockport	2013	270720	937730	M_270720_937730	"GRANITE ST"	336	0
M252	252	rockport	2013	270730	936865	M_270730_936865	"HIGHLAND RD"	9	0
M252	252	rockport	2013	270735	936024	M_270735_936024	"PIGEON HILL ST"	72	0
M252	252	rockport	2013	270735	936078	M_270735_936078	"PIGEON HILL ST"	70	0
M252	252	rockport	2013	270736	937720	M_270736_937720	"GRANITE ST"	334	0
M252	252	rockport	2013	270746	934587	M_270746_934587	"SQUAM RD"	43A-43B	0
M252	252	rockport	2013	270753	937711	M_270753_937711	"GRANITE ST"	332	0
M252	252	rockport	2013	270761	935974	M_270761_935974	"PIGEON HILL ST"	67	0
M252	252	rockport	2013	270773	937697	M_270773_937697	"GRANITE ST"	330	0
M252	252	rockport	2013	270782	936673	M_270782_936673	"WOODLAND RD"	8	0
M252	252	rockport	2013	270785	935992	M_270785_935992	"PIGEON HILL ST"	65	0
M252	252	rockport	2013	270785	936806	M_270785_936806	"HIGHLAND RD"	8	0
M252	252	rockport	2013	270794	936069	M_270794_936069	"PIGEON HILL ST"	68	0
M252	252	rockport	2013	270799	937682	M_270799_937682	"GRANITE ST"	248	0
M252	252	rockport	2013	270805	936008	M_270805_936008	"PIGEON HILL ST"	63	0
M252	252	rockport	2013	270809	936613	M_270809_936613	"WOODLAND RD"	7	0
M252	252	rockport	2013	270816	936689	M_270816_936689	"WOODLAND RD"	6	0
M252	252	rockport	2013	270825	934629	M_270825_934629	"SQUAM RD"	37	0
M252	252	rockport	2013	270826	937662	M_270826_937662	"GRANITE ST"	246	0
M252	252	rockport	2013	270827	936799	M_270827_936799	"HIGHLAND RD"	6	0
M252	252	rockport	2013	270828	936104	M_270828_936104	"PIGEON HILL ST"	64	0
M252	252	rockport	2013	270829	936028	M_270829_936028	"PIGEON HILL ST"	61	0
M252	252	rockport	2013	270836	936157	M_270836_936157	"HILLSIDE RD"	19	0
M252	252	rockport	2013	270846	936633	M_270846_936633	"WOODLAND RD"	5	0
M252	252	rockport	2013	270846	936914	M_270846_936914	"HIGHLAND RD"	7	0
M252	252	rockport	2013	270852	936235	M_270852_936235	"HILLSIDE RD"	12	0
M252	252	rockport	2013	270853	936802	M_270853_936802	"HIGHLAND RD"	4A-B	0
M252	252	rockport	2013	270853	937596	M_270853_937596	"WOODBURY LN"	2	0
M252	252	rockport	2013	270854	936720	M_270854_936720	"WOODLAND RD"	2	0
M252	252	rockport	2013	270854	937541	M_270854_937541	"WOODBURY LN"	6	0
M252	252	rockport	2013	270854	937652	M_270854_937652	"GRANITE ST"	244	0
M252	252	rockport	2013	270857	937569	M_270857_937569	"WOODBURY LN"	4	0
M252	252	rockport	2013	270860	936680	M_270860_936680	"WOODLAND RD"	4	0
M252	252	rockport	2013	270861	936034	M_270861_936034	"PIGEON HILL ST"	59	0
M252	252	rockport	2013	270861	937468	M_270861_937468	"WOODBURY LN"	10	0
M252	252	rockport	2013	270866	934631	M_270866_934631	"SQUAM RD"	35	0
M252	252	rockport	2013	270867	934822	M_270867_934822	"SQUAM HILL RD"	29	0
M252	252	rockport	2013	270870	936126	M_270870_936126	"PIGEON HILL ST"	58A	0
M252	252	rockport	2013	270871	937519	M_270871_937519	"WOODBURY LN"	8	0
M252	252	rockport	2013	270877	936761	M_270877_936761	"STOCKHOLM AVE"	38	0
M252	252	rockport	2013	270880	937647	M_270880_937647	"WOODBURY LN"	0	0
M252	252	rockport	2013	270882	936300	M_270882_936300	"HILLSIDE RD"	10	0
M252	252	rockport	2013	270883	936040	M_270883_936040	"PIGEON HILL ST"	57	0
M252	252	rockport	2013	270883	936582	M_270883_936582	"WOODLAND RD"	3	0
M252	252	rockport	2013	270883	936804	M_270883_936804	"STOCKHOLM AVE"	40	0
M252	252	rockport	2013	270884	936889	M_270884_936889	"HIGHLAND RD"	5	0
M252	252	rockport	2013	270893	936725	M_270893_936725	"STOCKHOLM AVE"	36	0
M252	252	rockport	2013	270899	934647	M_270899_934647	"SQUAM RD"	33	0
M252	252	rockport	2013	270904	936152	M_270904_936152	"PIGEON HILL ST"	56	0
M252	252	rockport	2013	270909	937417	M_270909_937417	"WOODBURY LN"	12	0
M252	252	rockport	2013	270912	936698	M_270912_936698	"STOCKHOLM AVE"	34	0
M252	252	rockport	2013	270913	936848	M_270913_936848	"STOCKHOLM AVE"	42	0
M252	252	rockport	2013	270914	937720	M_270914_937720	"GRANITE ST"	295	0
M252	252	rockport	2013	270919	933819	M_270919_933819	"POOLES LN"	45	0
M252	252	rockport	2013	270930	936226	M_270930_936226	"HILLSIDE RD"	17	0
M252	252	rockport	2013	270930	937636	M_270930_937636	"GRANITE ST"	240	0
M252	252	rockport	2013	270931	936869	M_270931_936869	"STOCKHOLM AVE"	44	0
M252	252	rockport	2013	270932	936172	M_270932_936172	"PIGEON HILL ST"	52	0
M252	252	rockport	2013	270933	936793	M_270933_936793	"STOCKHOLM AVE"	43	0
M252	252	rockport	2013	270934	934664	M_270934_934664	"SQUAM RD"	31	0
M252	252	rockport	2013	270937	936656	M_270937_936656	"STOCKHOLM AVE"	32	0
M252	252	rockport	2013	270939	936551	M_270939_936551	"STOCKHOLM AVE"	26	0
M252	252	rockport	2013	270942	936304	M_270942_936304	"HILLSIDE RD"	8	0
M252	252	rockport	2013	270944	937543	M_270944_937543	"WOODBURY LN"	5	0
M252	252	rockport	2013	270952	936892	M_270952_936892	"STOCKHOLM AVE"	46	0
M252	252	rockport	2013	270953	936103	M_270953_936103	"PIGEON HILL ST"	51	0
M252	252	rockport	2013	270953	936766	M_270953_936766	"STOCKHOLM AVE"	41	0
M252	252	rockport	2013	270954	936190	M_270954_936190	"PIGEON HILL ST"	50	0
M252	252	rockport	2013	270955	936814	M_270955_936814	"STOCKHOLM AVE"	45	0
M252	252	rockport	2013	270961	934806	M_270961_934806	"REILLY'S LANE"	5	0
M252	252	rockport	2013	270961	936421	M_270961_936421	"STOCKHOLM AVE"	12	0
M252	252	rockport	2013	270962	934622	M_270962_934622	"SQUAM RD"	23	0
M252	252	rockport	2013	270964	936617	M_270964_936617	"STOCKHOLM AVE"	30	0
M252	252	rockport	2013	270965	936031	M_270965_936031	"PIGEON HILL ST"	53	0
M252	252	rockport	2013	270969	937409	M_270969_937409	"WOODBURY LN"	14	0
