town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M260	260	sandisfield	2011	60787	877870	M_60787_877870	"STUMP RD"	33	0
M260	260	sandisfield	2011	60805	878427	M_60805_878427	"STUMP RD"	40	0
M260	260	sandisfield	2011	60835	879739	M_60835_879739	"WEST HUBBARD RD"	2	0
M260	260	sandisfield	2011	60838	877765	M_60838_877765	"STUMP RD"	0	0
M260	260	sandisfield	2011	60887	879670	M_60887_879670	"WEST HUBBARD RD"	4	0
M260	260	sandisfield	2011	60898	878103	M_60898_878103	"STUMP RD"	38	0
M260	260	sandisfield	2011	60909	877786	M_60909_877786	"STUMP RD"	0	0
M260	260	sandisfield	2011	60975	879432	M_60975_879432	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	60985	878418	M_60985_878418	"STUMP RD"	32	0
M260	260	sandisfield	2011	61103	876081	M_61103_876081	"SANDISFIELD RD"	0	0
M260	260	sandisfield	2011	61137	877774	M_61137_877774	"STUMP RD"	0	0
M260	260	sandisfield	2011	61176	879794	M_61176_879794	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61235	879786	M_61235_879786	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61269	879346	M_61269_879346	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61274	878653	M_61274_878653	"STUMP RD"	24	0
M260	260	sandisfield	2011	61346	879280	M_61346_879280	"WEST HUBBARD RD"	16	0
M260	260	sandisfield	2011	61426	877711	M_61426_877711	"STUMP RD"	11	0
M260	260	sandisfield	2011	61436	879661	M_61436_879661	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61466	871024	M_61466_871024	"SANDY BROOK TPKE"	0	0
M260	260	sandisfield	2011	61494	879321	M_61494_879321	"WEST HUBBARD RD"	20	0
M260	260	sandisfield	2011	61523	877685	M_61523_877685	"STUMP RD"	9	0
M260	260	sandisfield	2011	61556	877992	M_61556_877992	"STUMP RD"	14	0
M260	260	sandisfield	2011	61580	879419	M_61580_879419	"CHESTNUT HILL RD"	0	0
M260	260	sandisfield	2011	61587	877668	M_61587_877668	"STUMP RD"	7	0
M260	260	sandisfield	2011	61604	877921	M_61604_877921	"STUMP RD"	12	0
M260	260	sandisfield	2011	61605	877347	M_61605_877347	"WEST ST"	81	0
M260	260	sandisfield	2011	61614	878857	M_61614_878857	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61632	871644	M_61632_871644	"SANDY BROOK TPKE"	0	0
M260	260	sandisfield	2011	61636	879402	M_61636_879402	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61651	877900	M_61651_877900	"STUMP RD"	10	0
M260	260	sandisfield	2011	61673	867757	M_61673_867757	"NORFOLK RD"	0	0
M260	260	sandisfield	2011	61676	878853	M_61676_878853	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61682	875720	M_61682_875720	"BOSWORTH RD"	2	0
M260	260	sandisfield	2011	61682	877643	M_61682_877643	"STUMP RD"	5	0
M260	260	sandisfield	2011	61688	879381	M_61688_879381	"WEST HUBBARD RD"	17	0
M260	260	sandisfield	2011	61703	877881	M_61703_877881	"STUMP RD"	0	0
M260	260	sandisfield	2011	61710	875869	M_61710_875869	"BOSWORTH RD"	6	0
M260	260	sandisfield	2011	61712	870645	M_61712_870645	"SANDY BROOK TPKE"	0	0
M260	260	sandisfield	2011	61726	875943	M_61726_875943	"BOSWORTH RD"	8	0
M260	260	sandisfield	2011	61733	879654	M_61733_879654	"CHESTNUT HILL RD"	0	0
M260	260	sandisfield	2011	61739	879353	M_61739_879353	"WEST HUBBARD RD"	19	0
M260	260	sandisfield	2011	61742	876005	M_61742_876005	"BOSWORTH RD"	0	0
M260	260	sandisfield	2011	61747	879504	M_61747_879504	"CHESTNUT HILL RD"	2	0
M260	260	sandisfield	2011	61756	877863	M_61756_877863	"STUMP RD"	0	0
M260	260	sandisfield	2011	61756	878105	M_61756_878105	"WEST ST"	0	0
M260	260	sandisfield	2011	61772	871197	M_61772_871197	"SANDY BROOK TPKE"	0	0
M260	260	sandisfield	2011	61778	878834	M_61778_878834	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61782	876719	M_61782_876719	"BOSWORTH RD"	0	0
M260	260	sandisfield	2011	61792	879820	M_61792_879820	"CHESTNUT HILL RD"	0	0
M260	260	sandisfield	2011	61801	878259	M_61801_878259	"WEST ST"	0	0
M260	260	sandisfield	2011	61813	877854	M_61813_877854	"STUMP RD"	4	0
M260	260	sandisfield	2011	61826	877590	M_61826_877590	"STUMP RD"	3	0
M260	260	sandisfield	2011	61836	871173	M_61836_871173	"SANDY BROOK TPKE"	0	0
M260	260	sandisfield	2011	61837	876335	M_61837_876335	"BOSWORTH RD"	22	0
M260	260	sandisfield	2011	61843	879341	M_61843_879341	"WEST HUBBARD RD"	23	0
M260	260	sandisfield	2011	61855	877882	M_61855_877882	"STUMP RD"	0	0
M260	260	sandisfield	2011	61871	879087	M_61871_879087	"WEST HUBBARD RD"	32	0
M260	260	sandisfield	2011	61874	877824	M_61874_877824	"WEST ST"	0	0
M260	260	sandisfield	2011	61875	877924	M_61875_877924	"WEST ST"	95	0
M260	260	sandisfield	2011	61882	875516	M_61882_875516	"SANDISFIELD RD"	0	0
M260	260	sandisfield	2011	61887	872748	M_61887_872748	"SAGE RD"	0	0
M260	260	sandisfield	2011	61906	877995	M_61906_877995	"WEST ST"	97	0
M260	260	sandisfield	2011	61931	878089	M_61931_878089	"WEST ST"	99	0
M260	260	sandisfield	2011	61934	878364	M_61934_878364	"WEST ST"	0	0
M260	260	sandisfield	2011	61948	875864	M_61948_875864	"SANDISFIELD RD"	0	0
M260	260	sandisfield	2011	61955	871030	M_61955_871030	"SANDY BROOK TPKE"	0	0
M260	260	sandisfield	2011	61957	870573	M_61957_870573	"SANDY BROOK TPKE"	0	0
M260	260	sandisfield	2011	61957	879063	M_61957_879063	"WEST HUBBARD RD"	0	0
M260	260	sandisfield	2011	61961	876450	M_61961_876450	"BOSWORTH RD"	0	0
M260	260	sandisfield	2011	61964	877243	M_61964_877243	"WEST ST"	79	0
M260	260	sandisfield	2011	61967	878640	M_61967_878640	"WEST ST"	115	0
M260	260	sandisfield	2011	61971	877176	M_61971_877176	"WEST ST"	77	0
M260	260	sandisfield	2011	61975	878849	M_61975_878849	"WEST ST"	121	0
M260	260	sandisfield	2011	61976	877118	M_61976_877118	"WEST ST"	75	0
M260	260	sandisfield	2011	61980	876517	M_61980_876517	"BOSWORTH RD"	0	0
M260	260	sandisfield	2011	61983	879293	M_61983_879293	"WEST HUBBARD RD"	29	0
M260	260	sandisfield	2011	61985	877046	M_61985_877046	"WEST ST"	73	0
M260	260	sandisfield	2011	61989	876576	M_61989_876576	"BOSWORTH RD"	30	0
M260	260	sandisfield	2011	61993	878925	M_61993_878925	"WEST ST"	125	0
M260	260	sandisfield	2011	61994	871149	M_61994_871149	"SANDY BROOK TPKE"	157	0
M260	260	sandisfield	2011	61998	878884	M_61998_878884	"WEST ST"	123	0
M260	260	sandisfield	2011	62015	876632	M_62015_876632	"BOSWORTH RD"	32	0
M260	260	sandisfield	2011	62026	879045	M_62026_879045	"WEST HUBBARD RD"	36	0
M260	260	sandisfield	2011	62038	875410	M_62038_875410	"SANDISFIELD RD"	236	0
M260	260	sandisfield	2011	62046	869774	M_62046_869774	"NORFOLK RD"	0	0
M260	260	sandisfield	2011	62077	876846	M_62077_876846	"WEST ST"	67	0
M260	260	sandisfield	2011	62079	879026	M_62079_879026	"WEST HUBBARD RD"	38	0
M260	260	sandisfield	2011	62099	879524	M_62099_879524	"WEST ST"	0	0
M260	260	sandisfield	2011	62101	867716	M_62101_867716	"NORFOLK RD"	0	0
M260	260	sandisfield	2011	62105	871668	M_62105_871668	"SAGE RD"	50	0
M260	260	sandisfield	2011	62109	879764	M_62109_879764	"WEST ST"	143	0
M260	260	sandisfield	2011	62139	879012	M_62139_879012	"WEST HUBBARD RD"	0	0
