LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_634769_2936269	"BIGELOW ROAD"	46	0	193478	894977
F_634824_2939235	"NORTHBORO ROAD"	0	0	193495	895881
F_634859_2936356	"BIGELOW ROAD"	44	0	193505	895003
F_635040_2936482	"BIGELOW ROAD"	42	0	193561	895042
F_635217_2935981	"BIGELOW ROAD"	0	0	193615	894889
F_635246_2936499	"BIGELOW ROAD"	40	0	193623	895047
F_635299_2938148	"BIGELOW ROAD"	0	0	193640	895549
F_635343_2939891	"NORTHBORO ROAD"	0	0	193653	896081
F_635376_2936559	"BIGELOW ROAD"	38	0	193663	895065
F_635432_2939118	"NORTHBORO ROAD"	0	0	193680	895845
F_635502_2936611	"BIGELOW ROAD"	36	0	193701	895081
F_635631_2936676	"BIGELOW ROAD"	34	0	193741	895101
F_635632_2940085	"NORTHBORO ROAD OFF"	0	0	193741	896140
F_635655_2935423	"MAIN STREET"	0	0	193748	894719
F_635730_2936425	"BIGELOW ROAD"	0	0	193771	895024
F_635759_2936760	"BIGELOW ROAD"	32	0	193780	895126
F_635866_2935086	"MAIN STREET"	209	0	193812	894616
F_635885_2939362	"NORTHBORO ROAD"	154	0	193818	895919
F_635893_2937290	"BIGELOW ROAD"	15	0	193821	895288
F_635898_2937729	"BIGELOW ROAD"	11	0	193822	895422
F_635941_2936894	"BIGELOW ROAD"	30	0	193835	895167
F_635970_2935192	"MAIN STREET"	207	0	193844	894648
F_636012_2934808	"MAIN STREET"	200	0	193857	894531
F_636023_2937372	"BIGELOW ROAD"	13	0	193860	895313
F_636030_2935913	"MAIN STREET"	195	0	193862	894868
F_636051_2937004	"BIGELOW ROAD"	28	0	193869	895201
F_636072_2939913	"NORTHBORO ROAD"	155	0	193875	896087
F_636106_2935345	"MAIN STREET"	205	0	193885	894695
F_636151_2937831	"BIGELOW ROAD"	11	0	193899	895453
F_636154_2934711	"HIGH STREET"	19	0	193900	894502
F_636182_2937476	"BIGELOW ROAD"	11	0	193909	895344
F_636213_2934544	"HIGH STREET"	23	0	193918	894451
F_636236_2935681	"MAIN STREET"	197	0	193925	894797
F_636238_2936610	"BIGELOW ROAD"	30	0	193926	895081
F_636292_2934372	"HIGH STREET"	25	0	193942	894398
F_636293_2934907	"HIGH STREET"	15	0	193942	894561
F_636294_2937592	"BIGELOW ROAD"	11	0	193943	895380
F_636357_2936904	"BIGELOW ROAD"	22	0	193962	895170
F_636358_2937205	"BIGELOW ROAD"	18	0	193962	895262
F_636370_2935075	"HIGH STREET"	11	0	193966	894613
F_636371_2936070	"MAIN STREET"	193	0	193966	894916
F_636381_2934216	"HIGH STREET"	27	0	193969	894351
F_636431_2934084	"HIGH STREET"	29	0	193985	894311
F_636464_2935192	"HIGH STREET"	9	0	193995	894648
F_636473_2936170	"MAIN STREET"	191	0	193997	894946
F_636487_2937318	"BIGELOW ROAD"	12	0	194002	895296
F_636529_2936285	"WARD ROAD"	2	0	194014	894981
F_636555_2935409	"HIGH STREET"	5	0	194022	894714
F_636561_2934680	"HIGH STREET"	22	0	194024	894492
F_636594_2934501	"HIGH STREET"	24	0	194034	894438
F_636617_2937585	"BIGELOW ROAD"	7	0	194041	895378
F_636623_2940609	"NORTHBORO ROAD"	153	0	194043	896299
F_636626_2934342	"HIGH STREET"	26	0	194044	894389
F_636630_2937209	"BIGELOW ROAD"	10	0	194045	895263
F_636668_2935695	"HIGH STREET"	1	0	194057	894802
F_636669_2934197	"HIGH STREET"	28	0	194057	894345
F_636677_2936440	"WARD ROAD"	6	0	194060	895029
F_636691_2934874	"HIGH STREET"	18	0	194064	894551
F_636744_2937120	"BIGELOW ROAD"	8	0	194080	895236
F_636758_2933716	"ROCK SPRING LANE"	7	0	194084	894198
F_636759_2935138	"HIGH STREET"	14	0	194085	894632
F_636775_2936572	"WARD ROAD"	8	0	194089	895069
F_636784_2937510	"BIGELOW ROAD"	5	0	194092	895355
F_636799_2936907	"WARD ROAD"	14	0	194097	895171
F_636808_2935270	"HIGH STREET"	12	0	194099	894672
F_636849_2935399	"HIGH STREET"	10	0	194112	894711
F_636852_2934411	"BURNETT ROAD"	19	0	194113	894410
F_636868_2934748	"COUNTRY LANE"	1	0	194118	894513
F_636873_2936674	"WARD ROAD"	10	0	194119	895100
F_636889_2935532	"HIGH STREET"	8	0	194124	894752
F_636889_2937727	"BIGELOW ROAD"	1	0	194124	895421
F_636891_2936311	"MAIN STREET"	0	0	194125	894989
F_636899_2940015	"NORTHBORO ROAD"	147	0	194127	896118
F_636913_2935852	"HIGH STREET"	4	0	194131	894849
F_636918_2937413	"BIGELOW ROAD"	0	0	194133	895325
F_636920_2936416	"WARD ROAD"	5	0	194134	895021
F_636934_2935656	"HIGH STREET"	6	0	194138	894790
F_636939_2934592	"COUNTRY LANE"	3	0	194139	894465
F_636988_2937862	"WARD ROAD"	0	0	194154	895462
F_637002_2934137	"BURNETT ROAD"	20	0	194159	894327
F_637044_2937025	"BIGELOW ROAD"	2	0	194171	895207
F_637054_2935833	"GRANUAILE ROAD"	3	0	194174	894844
F_637064_2936541	"BRIGHAM STREET"	2	0	194177	895059
F_637080_2936272	"GRANUAILE ROAD"	2	0	194182	894977
F_637089_2934805	"COUNTRY LANE"	5	0	194185	894530
F_637091_2933936	"ROCK SPRING LANE"	4	0	194186	894265
F_637113_2937954	"DAVID HENRY GARDNER"	4	0	194192	895490
F_637151_2934315	"BURNETT ROAD"	18	0	194204	894381
F_637168_2935495	"COUNTRY LANE"	2	0	194209	894741
F_637172_2936695	"WARD ROAD"	9	0	194210	895106
F_637179_2939434	"NORTHBORO ROAD"	148	0	194213	895941
F_637197_2935811	"GRANUAILE ROAD"	5	0	194218	894837
F_637198_2937602	"BIGELOW ROAD"	1	0	194218	895383
F_637201_2937278	"WARD ROAD"	20	0	194219	895284
F_637223_2933547	"ROCK SPRING LANE"	8	0	194226	894147
F_637262_2935160	"COUNTRY LANE"	6	0	194238	894639
F_637274_2936837	"WARD ROAD"	11	0	194242	895150
F_637320_2938132	"DAVID HENRY GARDNER"	7	0	194256	895544
F_637336_2937673	"WARD ROAD"	24	0	194260	895405
F_637337_2936474	"MAIN STREET"	180	0	194261	895039
F_637339_2935407	"COUNTRY LANE"	4	0	194261	894714
F_637342_2936099	"GRANUAILE ROAD"	4	0	194262	894925
F_637352_2933885	"ROCK SPRING LANE"	6	0	194265	894250
F_637356_2935787	"GRANUAILE ROAD"	7	0	194266	894830
F_637367_2934772	"OLD HARRY ROAD"	1	0	194270	894520
F_637372_2936959	"WARD ROAD"	13	0	194271	895187
F_637418_2934162	"BURNETT ROAD"	16	0	194285	894334
F_637461_2938019	"DAVID HENRY GARDNER"	5	0	194299	895510
F_637474_2937074	"WARD ROAD"	15	0	194302	895222
F_637501_2935769	"GRANUAILE ROAD"	9	0	194311	894824
F_637502_2934559	"OLD HARRY ROAD"	3	0	194311	894455
F_637503_2933169	"ROUTE 495 OFF"	0	0	194311	894032
F_637510_2937845	"DAVID HENRY GARDNER"	2	0	194313	895457
F_637550_2935070	"OLD HARRY ROAD"	2	0	194326	894611
F_637554_2935381	"BURNETT ROAD"	9	0	194327	894706
F_637563_2937601	"WARD ROAD"	26	0	194330	895383
F_637599_2936862	"MAIN STREET"	179	0	194341	895157
F_637648_2935751	"GRANUAILE ROAD"	11	0	194355	894819
F_637656_2934436	"OLD HARRY ROAD"	5	0	194358	894418
F_637660_2937702	"WARD ROAD"	28	0	194359	895413
F_637688_2938060	"DAVID HENRY GARDNER"	3	0	194368	895522
F_637692_2937300	"WARD ROAD"	17	0	194369	895291
F_637719_2934205	"OLD HARRY ROAD"	7	0	194377	894347
F_637729_2935465	"BURNETT ROAD"	7	0	194380	894732
F_637776_2933966	"OLD HARRY ROAD"	9	0	194395	894275
F_637779_2937975	"DAVID HENRY GARDNER"	1	0	194395	895497
F_637787_2935165	"BURNETT ROAD"	10	0	194398	894640
F_637788_2940521	"NORTHBORO ROAD"	0	0	194398	896273
F_637797_2935733	"GRANUAILE ROAD"	13	0	194401	894813
F_637809_2937004	"MAIN STREET"	175	0	194405	895201
F_637815_2941590	"JERICHO HILL ROAD"	0	0	194406	896598
F_637822_2934978	"OLD HARRY ROAD"	4	0	194409	894583
F_637847_2937772	"WARD ROAD"	30	0	194416	895435
F_637905_2934768	"OLD HARRY ROAD"	6	0	194434	894519
F_637908_2936381	"GRANUAILE ROAD"	26	0	194435	895011
F_637911_2935476	"BURNETT ROAD"	5	0	194436	894735
F_637917_2937540	"WARD ROAD"	21	0	194437	895364
F_637947_2935716	"GRANUAILE ROAD"	15	0	194447	894808
F_637985_2934596	"OLD HARRY ROAD"	8	0	194458	894467
F_637987_2937332	"WARD ROAD"	23	0	194459	895301
F_638001_2937077	"MAIN STREET"	173	0	194463	895223
F_638103_2939678	"NORTHBORO ROAD"	0	0	194494	896016
F_638116_2940329	"NORTHBORO ROAD"	121	0	194498	896214
F_638150_2935625	"GRANUAILE ROAD"	17	0	194509	894780
F_638169_2940811	"JERICHO HILL ROAD"	26	0	194514	896361
F_638203_2934842	"OLD HARRY ROAD"	10	0	194525	894542
F_638227_2941251	"JERICHO HILL ROAD"	0	0	194532	896495
F_638288_2936066	"GRANUAILE ROAD"	0	0	194551	894915
F_638320_2940129	"NORTHBORO ROAD"	119	0	194560	896153
F_638325_2940338	"NORTHBORO ROAD"	117	0	194562	896217
F_638378_2941624	"JERICHO HILL ROAD"	30	0	194578	896609
F_638415_2941911	"JERICHO HILL ROAD"	32	0	194589	896696
F_638431_2938729	"NORTHBORO ROAD"	75	0	194594	895726
F_638488_2939824	"NORTHBORO ROAD"	120	0	194612	896060
F_638502_2939345	"NORTHBORO ROAD"	0	0	194616	895914
F_638521_2937974	"JOHNSON ROAD"	11	0	194622	895496
F_638568_2940391	"NORTHBORO ROAD"	115	0	194636	896233
F_638709_2941130	"JERICHO HILL ROAD"	24	0	194679	896458
F_638739_2937576	"JOHNSON ROAD"	7	0	194688	895375
F_638779_2937765	"JOHNSON ROAD"	9	0	194700	895433
F_638836_2937152	"MAIN STREET"	155	0	194718	895246
F_638851_2938603	"NORTHBORO ROAD"	67	0	194722	895688
F_638861_2936818	"MAIN STREET"	166	0	194725	895144
F_638880_2936468	"MAIN STREET"	164	0	194731	895037
F_638891_2939976	"JERICHO HILL ROAD"	6	0	194734	896106
F_638893_2940622	"JERICHO HILL ROAD"	20	0	194735	896303
F_638905_2939076	"NORTHBORO ROAD"	0	0	194739	895832
F_638921_2938113	"NORTHBORO & JOHNSON"	0	0	194744	895539
F_638926_2940415	"JERICHO HILL ROAD"	12	0	194745	896240
F_638942_2940285	"JERICHO HILL ROAD"	10	0	194750	896201
F_638946_2940142	"JERICHO HILL ROAD"	8	0	194751	896157
F_638996_2936015	"LYNBROOK ROAD"	49	0	194766	894899
F_639015_2937368	"JOHNSON ROAD"	3	0	194772	895312
F_639043_2936841	"MAIN STREET"	162	0	194781	895151
F_639060_2937167	"MAIN STREET"	153	0	194786	895250
F_639061_2931059	"TURNPIKE ROAD"	0	0	194786	893389
F_639071_2932337	"TURNPIKE ROAD"	0	0	194789	893778
F_639136_2939866	"FISHER ROAD"	1	0	194809	896073
F_639143_2935262	"LOVERS LANE"	43	0	194811	894670
F_639175_2936686	"MAIN STREET"	160	0	194821	895104
F_639202_2937672	"JOHNSON ROAD"	5	0	194829	895404
F_639212_2934196	"ROUTE 495 OFF"	0	0	194832	894345
F_639218_2939627	"NORTHBORO ROAD"	0	0	194834	896000
F_639252_2940264	"JERICHO HILL ROAD"	5	0	194844	896194
F_639261_2940599	"JERICHO HILL ROAD"	9	0	194847	896296
F_639272_2937232	"MAIN STREET"	151	0	194850	895270
F_639274_2940454	"JERICHO HILL ROAD"	7	0	194851	896252
F_639287_2936736	"MAIN STREET"	158	0	194855	895119
F_639296_2938445	"NORTHBORO ROAD"	51	0	194858	895640
F_639313_2936284	"LYNBROOK ROAD"	39	0	194863	894981
F_639392_2930172	"TURNPIKE ROAD"	0	0	194887	893118
F_639424_2930602	"TURNPIKE ROAD"	371	0	194897	893249
F_639429_2936341	"LYNBROOK ROAD"	37	0	194898	894999
F_639432_2937201	"MAIN STREET"	151	0	194899	895261
F_639437_2932380	"TARA ROAD"	11	0	194901	893791
F_639437_2940340	"FISHER ROAD"	12	0	194901	896217
F_639448_2939995	"FISHER ROAD"	0	0	194904	896112
F_639450_2936870	"MAIN STREET"	156	0	194905	895160
F_639464_2936640	"MAIN STREET"	0	0	194909	895090
F_639476_2934995	"LOVERS LANE (OFF)"	0	0	194913	894588
F_639482_2932574	"TARA ROAD"	9	0	194915	893850
F_639486_2940679	"ANDREWS WAY"	8	0	194916	896321
F_639500_2935920	"LOVERS LANE"	40	0	194920	894870
F_639520_2932740	"TARA ROAD"	7	0	194926	893901
F_639528_2933542	"BLACKTHORN DRIVE"	25	0	194929	894145
F_639528_2938281	"NORTHBORO ROAD"	0	0	194929	895590
F_639541_2940984	"ANDREWS WAY"	10	0	194932	896414
F_639556_2940322	"FISHER ROAD"	16	0	194937	896212
F_639559_2932886	"TARA ROAD"	5	0	194938	893945
F_639573_2935478	"LOVERS LANE"	41	0	194942	894735
F_639587_2936391	"LYNBROOK ROAD"	35	0	194947	895014
F_639654_2936921	"MAIN STREET"	154	0	194967	895175
F_639661_2933044	"TARA ROAD"	3	0	194969	893994
F_639679_2934976	"LOVERS LANE"	33	0	194975	894582
F_639689_2933512	"BLACKTHORN DRIVE"	23	0	194978	894136
F_639698_2933228	"TARA ROAD"	1	0	194980	894050
F_639704_2932298	"TARA ROAD"	0	0	194982	893766
F_639706_2939836	"CHESTNUT HILL ROAD"	0	0	194983	896064
F_639708_2936726	"MAIN STREET"	0	0	194983	895116
F_639710_2930133	"TURNPIKE ROAD"	374	0	194984	893106
F_639710_2937647	"NORTHBORO ROAD"	0	0	194984	895397
F_639712_2935789	"LOVERS LANE"	38	0	194985	894830
F_639724_2942030	"JERICHO HILL ROAD"	25	0	194988	896733
F_639732_2935246	"LOVERS LANE"	35	0	194991	894665
F_639742_2941086	"ANDREWS WAY"	12	0	194994	896445
F_639765_2934865	"LOVERS LANE"	31	0	195001	894549
F_639771_2931963	"TARA ROAD"	17	0	195003	893664
F_639775_2936485	"LYNBROOK ROAD"	31	0	195004	895042
F_639778_2932515	"TARA ROAD"	12	0	195005	893832
F_639785_2937233	"MAIN STREET"	149	0	195007	895270
F_639795_2940839	"ANDREWS WAY"	6	0	195010	896370
F_639806_2933727	"LOVERS LANE (OFF)"	0	0	195013	894202
F_639826_2930779	"TURNPIKE ROAD"	367	0	195019	893303
F_639826_2932656	"TARA ROAD"	10	0	195019	893875
F_639826_2935649	"LOVERS LANE"	36	0	195019	894788
F_639835_2933501	"BLACKTHORN DRIVE"	21	0	195022	894133
F_639845_2936029	"LOVERS LANE"	34	0	195025	894903
F_639875_2932798	"TARA ROAD"	8	0	195034	893919
F_639882_2934597	"JACOBS LANE"	10	0	195036	894467
F_639884_2930477	"TURNPIKE ROAD"	365	0	195037	893211
F_639886_2938842	"NORTHBORO ROAD OFF"	0	0	195038	895761
F_639895_2940671	"ANDREWS WAY"	4	0	195040	896318
F_639905_2931776	"BANTRY ROAD"	15	0	195043	893607
F_639924_2932943	"TARA ROAD"	6	0	195049	893963
F_639925_2935526	"LOVERS LANE"	28	0	195050	894750
F_639928_2936847	"LYNBROOK ROAD"	27	0	195050	895153
F_639937_2936544	"LYNBROOK ROAD"	29	0	195053	895060
F_639953_2934241	"JACOBS LANE"	8	0	195058	894358
F_639954_2941136	"ANDREWS WAY"	9	0	195058	896460
F_639962_2932109	"BANTRY ROAD"	11	0	195061	893709
F_639971_2933084	"TARA ROAD"	4	0	195064	894006
F_639983_2933492	"BLACKTHORN DRIVE"	19	0	195067	894130
F_639989_2940461	"ANDREWS WAY"	2	0	195069	896254
