LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_500939_2845890	"BREAKNECK ROAD"	511	0	152687	867429
F_500990_2847771	"BREAKNECK ROAD"	408	0	152702	868002
F_501115_2847348	"BREAKNECK ROAD"	456	0	152740	867873
F_501409_2848405	"BREAKNECK ROAD"	366	0	152830	868196
F_501645_2847488	"BREAKNECK ROAD"	415	0	152902	867916
F_501697_2847734	"BREAKNECK ROAD"	405	0	152918	867991
F_501759_2848007	"BREAKNECK ROAD"	389	0	152936	868074
F_501808_2848219	"DENNISON CROSS ROAD"	6	0	152951	868139
F_501818_2850334	"SOUTH STREET"	965	0	152954	868784
F_501862_2844645	"DENNISON LANE"	544	0	152968	867050
F_501907_2839099	"EASTFORD ROAD"	1385	0	152982	865359
F_501933_2848042	"DENNISON CROSS ROAD"	22	0	152989	868085
F_501983_2849212	"BREAKNECK ROAD"	268	0	153005	868442
F_502031_2847979	"DENNISON CROSS ROAD"	26	0	153019	868066
F_502070_2844824	"DENNISON LANE"	550	0	153031	867104
F_502079_2849368	"BREAKNECK ROAD"	260	0	153034	868489
F_502095_2840563	"EASTFORD ROAD"	1240	0	153039	865805
F_502155_2839849	"EASTFORD ROAD"	1275	0	153057	865588
F_502156_2847917	"DENNISON CROSS ROAD"	50	0	153057	868047
F_502176_2849508	"BREAKNECK ROAD"	242	0	153064	868532
F_502204_2849115	"BREAKNECK ROAD"	261	0	153072	868412
F_502209_2850760	"SOUTH STREET"	960	0	153074	868913
F_502225_2844874	"DENNISON LANE"	534	0	153078	867119
F_502228_2844450	"DENNISON LANE"	537	0	153079	866990
F_502252_2847894	"DENNISON CROSS ROAD"	58	0	153087	868040
F_502264_2849592	"BREAKNECK ROAD"	234	0	153090	868557
F_502272_2847360	"DENNISON CROSS ROAD"	86	0	153093	867877
F_502290_2850257	"SOUTH STREET"	943	0	153098	868760
F_502329_2849695	"BREAKNECK ROAD"	222	0	153110	868589
F_502387_2849897	"BREAKNECK ROAD"	208	0	153128	868650
F_502419_2840231	"EASTFORD ROAD"	1235	0	153138	865704
F_502468_2850112	"BREAKNECK ROAD"	188	0	153153	868716
F_502493_2850388	"SOUTH STREET"	913	0	153160	868800
F_502502_2849566	"BREAKNECK ROAD"	221	0	153163	868549
F_502502_2850700	"BREAKNECK ROAD"	132	0	153163	868895
F_502513_2851332	"BREAKNECK ROAD"	66	0	153166	869088
F_502523_2845307	"DENNISON LANE"	344	0	153169	867251
F_502565_2849694	"BREAKNECK ROAD"	211	0	153182	868588
F_502613_2845375	"DENNISON LANE"	340	0	153197	867272
F_502643_2850977	"BREAKNECK ROAD"	108	0	153206	868980
F_502687_2845134	"DENNISON LANE"	339	0	153219	867199
F_502708_2851130	"BREAKNECK ROAD"	102	0	153226	869026
F_502734_2845462	"DENNISON LANE"	322	0	153234	867299
F_502772_2840454	"EASTFORD ROAD"	1147	0	153245	865772
F_502803_2845213	"DENNISON LANE"	323	0	153255	867223
F_502812_2845527	"DENNISON LANE"	318	0	153257	867318
F_502817_2846904	"DENNISON LANE"	180	0	153259	867738
F_502819_2846070	"DENNISON LANE"	264	0	153260	867484
F_502836_2850532	"SOUTH STREET"	898	0	153265	868844
F_502845_2846287	"DENNISON LANE"	242	0	153267	867550
F_502855_2850842	"BREAKNECK ROAD"	99	0	153271	868938
F_502855_2851754	"BREAKNECK ROAD"	42	0	153271	869216
F_502879_2846407	"DENNISON LANE"	230	0	153278	867587
F_502909_2845004	"DENNISON LANE"	347	0	153287	867159
F_502912_2846515	"DENNISON LANE"	222	0	153288	867620
F_502933_2845868	"DENNISON LANE"	282	0	153294	867422
F_502940_2846618	"DENNISON LANE"	212	0	153296	867651
F_502951_2845772	"DENNISON LANE"	288	0	153300	867393
F_502956_2845664	"DENNISON LANE"	300	0	153301	867360
F_502959_2850114	"SOUTH STREET"	873	0	153302	868716
F_502974_2841169	"EASTFORD ROAD"	1118	0	153307	865990
F_502980_2846726	"DENNISON LANE"	204	0	153309	867684
F_502985_2851242	"BREAKNECK ROAD"	87	0	153310	869060
F_502989_2847803	"DENNISON CROSS ROAD"	114	0	153311	868012
F_503014_2851450	"BREAKNECK ROAD"	65	0	153319	869124
F_503035_2848250	"SERVANT WAY"	11	0	153325	868148
F_503056_2848071	"DENNISON CROSS ROAD"	119	0	153332	868094
F_503072_2847005	"DENNISON LANE"	160	0	153337	867769
F_503079_2847850	"DENNISON CROSS ROAD"	128	0	153339	868026
F_503085_2851628	"BREAKNECK ROAD"	51	0	153341	869178
F_503095_2847150	"DENNISON LANE"	156	0	153344	867813
F_503143_2840834	"EASTFORD ROAD"	1135	0	153358	865888
F_503162_2846245	"DENNISON LANE"	241	0	153364	867537
F_503163_2847826	"DENNISON CROSS ROAD"	132	0	153364	868019
F_503167_2846136	"DENNISON LANE"	253	0	153366	867504
F_503172_2847278	"DENNISON LANE"	154	0	153367	867852
F_503187_2848293	"SERVANT WAY"	19	0	153372	868161
F_503192_2846347	"DENNISON LANE"	231	0	153373	867568
F_503203_2841893	"EASTFORD ROAD"	1100	0	153377	866211
F_503214_2847396	"DENNISON LANE"	150	0	153380	867888
F_503225_2846448	"DENNISON LANE"	223	0	153383	867599
F_503240_2848034	"DENNISON CROSS ROAD"	127	0	153388	868082
