town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M275	275	southhadley	2012	107364	887760	M_107364_887760	"RIVER RD"	396	0
M275	275	southhadley	2012	107366	887848	M_107366_887848	"RIVER RD"	400	0
M275	275	southhadley	2012	107368	887812	M_107368_887812	"RIVER RD"	398	0
M275	275	southhadley	2012	107368	887878	M_107368_887878	"RIVER RD"	402	0
M275	275	southhadley	2012	107370	887903	M_107370_887903	"RIVER RD"	404	0
M275	275	southhadley	2012	107401	887666	M_107401_887666	"RIVER RD"	325	0
M275	275	southhadley	2012	107409	888018	M_107409_888018	"RIVER RD"	410	0
M275	275	southhadley	2012	107417	887984	M_107417_887984	"RIVER RD"	408	0
M275	275	southhadley	2012	107421	887814	M_107421_887814	"TIGGER LN"	2	0
M275	275	southhadley	2012	107427	887754	M_107427_887754	"TIGGER LN"	1	0
M275	275	southhadley	2012	107434	887714	M_107434_887714	"RIVER RD"	327	0
M275	275	southhadley	2012	107449	888097	M_107449_888097	"RIVER RD"	430	0
M275	275	southhadley	2012	107451	887523	M_107451_887523	"RIVER RD"	319	0
M275	275	southhadley	2012	107461	887633	M_107461_887633	"RIVER RD"	323	0
M275	275	southhadley	2012	107471	887749	M_107471_887749	"TIGGER LN"	3	0
M275	275	southhadley	2012	107479	887476	M_107479_887476	"RIVER RD"	317	0
M275	275	southhadley	2012	107479	887825	M_107479_887825	"TIGGER LN"	4	0
M275	275	southhadley	2012	107485	887408	M_107485_887408	"RIVER RD"	315	0
M275	275	southhadley	2012	107504	887620	M_107504_887620	"RIVER RD"	321	0
M275	275	southhadley	2012	107510	887531	M_107510_887531	"RIVER RD"	320	0
M275	275	southhadley	2012	107512	887746	M_107512_887746	"TIGGER LN"	5	0
M275	275	southhadley	2012	107512	888373	M_107512_888373	"RIVER RD"	500	0
M275	275	southhadley	2012	107532	887828	M_107532_887828	"TIGGER LN"	6	0
M275	275	southhadley	2012	107543	887402	M_107543_887402	"RIVER RD"	311	0
M275	275	southhadley	2012	107555	887749	M_107555_887749	"TIGGER LN"	7	0
M275	275	southhadley	2012	107557	888471	M_107557_888471	"RIVER RD"	505	0
M275	275	southhadley	2012	107583	887840	M_107583_887840	"TIGGER LN"	8	0
M275	275	southhadley	2012	107591	888642	M_107591_888642	"RIVER RD"	508	0
M275	275	southhadley	2012	107604	888681	M_107604_888681	"RIVER RD"	510	0
M275	275	southhadley	2012	107611	887747	M_107611_887747	"TIGGER LN"	9	0
M275	275	southhadley	2012	107614	888713	M_107614_888713	"RIVER RD"	512	0
M275	275	southhadley	2012	107615	887397	M_107615_887397	"RIVER RD"	309	0
M275	275	southhadley	2012	107619	888616	M_107619_888616	"RIVER RD"	507	0
M275	275	southhadley	2012	107629	888648	M_107629_888648	"RIVER RD"	509	0
M275	275	southhadley	2012	107640	888677	M_107640_888677	"RIVER RD"	511	0
M275	275	southhadley	2012	107642	888752	M_107642_888752	"RIVER RD"	514	0
M275	275	southhadley	2012	107655	887816	M_107655_887816	"TIGGER LN"	10	0
M275	275	southhadley	2012	107657	888792	M_107657_888792	"RIVER RD"	518	0
M275	275	southhadley	2012	107721	887438	M_107721_887438	"RIVER RD"	305	0
M275	275	southhadley	2012	107733	888969	M_107733_888969	"UPPER RIVER RD"	36	0
M275	275	southhadley	2012	107766	888146	M_107766_888146	"RIVER RD"	431	0
M275	275	southhadley	2012	107768	889044	M_107768_889044	"UPPER RIVER RD"	34	0
M275	275	southhadley	2012	107780	889072	M_107780_889072	"UPPER RIVER RD"	30	0
M275	275	southhadley	2012	107791	889106	M_107791_889106	"UPPER RIVER RD"	28	0
M275	275	southhadley	2012	107798	887448	M_107798_887448	"RIVER RD"	303	0
M275	275	southhadley	2012	107815	889143	M_107815_889143	"UPPER RIVER RD"	26	0
M275	275	southhadley	2012	107828	888993	M_107828_888993	"UPPER RIVER RD"	33	0
M275	275	southhadley	2012	107848	887254	M_107848_887254	"COVE ISLAND RD"	30	0
M275	275	southhadley	2012	107851	889035	M_107851_889035	"UPPER RIVER RD"	29	0
M275	275	southhadley	2012	107861	889150	M_107861_889150	"UPPER RIVER RD"	24	0
M275	275	southhadley	2012	107879	889187	M_107879_889187	"UPPER RIVER RD"	22	0
M275	275	southhadley	2012	107908	889237	M_107908_889237	"UPPER RIVER RD"	18	0
M275	275	southhadley	2012	107923	889063	M_107923_889063	"SAN SOUCI DR"	51	0
M275	275	southhadley	2012	107926	889266	M_107926_889266	"UPPER RIVER RD"	16	0
M275	275	southhadley	2012	107933	889142	M_107933_889142	"SAN SOUCI DR"	53	0
M275	275	southhadley	2012	107965	889023	M_107965_889023	"SAN SOUCI DR"	49	0
M275	275	southhadley	2012	107970	889207	M_107970_889207	"SAN SOUCI DR"	55	0
M275	275	southhadley	2012	107970	889328	M_107970_889328	"UPPER RIVER RD"	14	0
M275	275	southhadley	2012	107990	889095	M_107990_889095	"SAN SOUCI DR"	48	0
M275	275	southhadley	2012	108026	889016	M_108026_889016	"SAN SOUCI DR"	47	0
M275	275	southhadley	2012	108027	889129	M_108027_889129	"SAN SOUCI DR"	50	0
M275	275	southhadley	2012	108034	889201	M_108034_889201	"SAN SOUCI DR"	57	0
M275	275	southhadley	2012	108036	889250	M_108036_889250	"UPPER RIVER RD"	19	0
M275	275	southhadley	2012	108040	889082	M_108040_889082	"SAN SOUCI DR"	46	0
M275	275	southhadley	2012	108040	889376	M_108040_889376	"UPPER RIVER RD"	12	0
M275	275	southhadley	2012	108082	889318	M_108082_889318	"UPPER RIVER RD"	10	0
M275	275	southhadley	2012	108084	889136	M_108084_889136	"SAN SOUCI DR"	52	0
