town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M280	280	spencer	2012	155553	894179	F_510344_2933652	"WASHBURN TERR"	18	0
M280	280	spencer	2012	155582	894166	F_510438_2933608	"WASHBURN TERR"	16	0
M280	280	spencer	2012	155588	894104	F_510458_2933406	"WASHBURN TERR"	15	0
M280	280	spencer	2012	155614	894172	F_510545_2933629	"WASHBURN TERR"	14	0
M280	280	spencer	2012	155617	894115	F_510554_2933443	"WASHBURN TERR"	13	0
M280	280	spencer	2012	155622	894793	F_510570_2935667	"WASHBURN DR"	47	0
M280	280	spencer	2012	155631	893838	F_510599_2932532	"BROOKS POND RD"	71	0
M280	280	spencer	2012	155637	894730	F_510619_2935459	"WASHBURN DR"	45	0
M280	280	spencer	2012	155638	894172	F_510622_2933630	"WASHBURN TERR"	12	0
M280	280	spencer	2012	155669	894186	F_510723_2933674	"WASHBURN TERR"	10	0
M280	280	spencer	2012	155677	894123	F_510749_2933468	"WASHBURN TERR"	9	0
M280	280	spencer	2012	155677	894086	F_510750_2933346	"WASHBURN DR"	7	0
M280	280	spencer	2012	155685	894062	F_510777_2933268	"WASHBURN DR"	5	0
M280	280	spencer	2012	155687	893849	F_510784_2932568	"BROOKS POND RD"	69	0
M280	280	spencer	2012	155690	893911	F_510794_2932772	"BROOKS POND RD"	70	0
M280	280	spencer	2012	155708	894039	F_510853_2933193	"WASHBURN DR"	13	0
M280	280	spencer	2012	155715	893664	F_510874_2931962	"BROOKS POND RD"	61	0
M280	280	spencer	2012	155719	893988	F_510889_2933027	"WASHBURN DR"	1	0
M280	280	spencer	2012	155732	895134	F_510930_2936784	"NORTHWEST RD"	197	0
M280	280	spencer	2012	155734	893793	F_510936_2932387	"BROOKS POND RD"	63	0
M280	280	spencer	2012	155748	893926	F_510983_2932822	"WASHBURN DR"	3	0
M280	280	spencer	2012	155764	894099	F_511035_2933390	"WASHBURN DR"	15	0
M280	280	spencer	2012	155773	893864	F_511065_2932619	"BROOKS POND RD"	66	0
M280	280	spencer	2012	155789	893847	F_511119_2932564	"BROOKS POND RD"	64	0
M280	280	spencer	2012	155801	893907	F_511156_2932760	"WASHBURN DR"	4	0
M280	280	spencer	2012	155825	893826	F_511235_2932495	"BROOKS POND RD"	62	0
M280	280	spencer	2012	155832	894676	F_511260_2935283	"WASHBURN DR"	27	0
M280	280	spencer	2012	155849	893927	F_511316_2932824	"WASHBURN DR"	6	0
M280	280	spencer	2012	155867	894144	F_511375_2933539	"WASHBURN DR"	21A	0
M280	280	spencer	2012	155884	891630	F_511431_2925289	"KITTREDGE RD"	33	0
M280	280	spencer	2012	155915	893783	F_511532_2932354	"BROOKS POND RD"	58	0
M280	280	spencer	2012	155930	891359	F_511581_2924399	"BRIARWOOD LANE"	18	0
M280	280	spencer	2012	155939	891457	F_511611_2924723	"BRIARWOOD LANE"	11	0
