town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M282	282	sterling	2011	173647	915577	M_173647_915577	"HASTINGS ROAD"	19	1
M282	282	sterling	2011	173601	915533	M_173601_915533	"HASTINGS ROAD"	17	1
M282	282	sterling	2011	173695	915530	M_173695_915530	"RIDGEWOOD DRIVE"	6	1
M282	282	sterling	2011	173736	915533	M_173736_915533	"RIDGEWOOD DRIVE"	8	1
M282	282	sterling	2011	173779	915525	M_173779_915525	"RIDGEWOOD DRIVE"	10	1
M282	282	sterling	2011	173824	915513	M_173824_915513	"RIDGEWOOD DRIVE"	12	1
M282	282	sterling	2011	177760	913891	M_177760_913891	"NORTH ROW ROAD"	146	1
M282	282	sterling	2011	177022	914626	M_177022_914626	"HEYWOOD ROAD"	132	1
M282	282	sterling	2011	177082	914716	M_177082_914716	"HEYWOOD ROAD"	134	1
M282	282	sterling	2011	177038	914790	M_177038_914790	"HEYWOOD ROAD"	136	1
M282	282	sterling	2011	177266	914758	M_177266_914758	"HEYWOOD ROAD"	139	1
M282	282	sterling	2011	177233	914570	M_177233_914570	"HEYWOOD ROAD"	131	1
M282	282	sterling	2011	177494	914631	M_177494_914631	"NORTH ROW ROAD"	155	1
M282	282	sterling	2011	177387	914286	M_177387_914286	"UPPER NORTH ROW ROAD"	159	1
M282	282	sterling	2011	177494	914377	M_177494_914377	"NORTH ROW ROAD"	157	1
M282	282	sterling	2011	177547	914446	M_177547_914446	"NORTH ROW ROAD"	155	1
M282	282	sterling	2011	177220	914248	M_177220_914248	"HEYWOOD ROAD"	108	1
M282	282	sterling	2011	177205	914291	M_177205_914291	"HEYWOOD ROAD"	110	1
M282	282	sterling	2011	177194	914327	M_177194_914327	"HEYWOOD ROAD"	112	1
M282	282	sterling	2011	177083	914346	M_177083_914346	"PRIMROSE LANE"	3	1
M282	282	sterling	2011	177165	914399	M_177165_914399	"HEYWOOD ROAD"	116	1
M282	282	sterling	2011	177092	914420	M_177092_914420	"PRIMROSE LANE"	1	1
M282	282	sterling	2011	177063	914467	M_177063_914467	"PRIMROSE LANE"	2	1
M282	282	sterling	2011	177137	914523	M_177137_914523	"HEYWOOD ROAD"	122	1
M282	282	sterling	2011	177123	914590	M_177123_914590	"HEYWOOD ROAD"	130	1
M282	282	sterling	2011	173987	909331	M_173987_909331	"HOLDEN ROAD"	4	1
M282	282	sterling	2011	173724	908906	M_173724_908906	"HOLDEN ROAD"	34	1
M282	282	sterling	2011	173685	908852	M_173685_908852	"HOLDEN ROAD"	40	1
M282	282	sterling	2011	173736	908760	M_173736_908760	"HOLDEN ROAD"	44	1
M282	282	sterling	2011	173555	908806	M_173555_908806	"HOLDEN ROAD"	35	1
M282	282	sterling	2011	173581	908857	M_173581_908857	"HOLDEN ROAD"	33	1
M282	282	sterling	2011	173613	908919	M_173613_908919	"HOLDEN ROAD"	31	1
M282	282	sterling	2011	173639	908971	M_173639_908971	"HOLDEN ROAD"	29	1
M282	282	sterling	2011	173666	909023	M_173666_909023	"HOLDEN ROAD"	27	1
M282	282	sterling	2011	173697	909084	M_173697_909084	"HOLDEN ROAD"	25	1
M282	282	sterling	2011	173993	909282	M_173993_909282	"HOLDEN ROAD"	8	1
M282	282	sterling	2011	173719	909132	M_173719_909132	"HOLDEN ROAD"	23	1
M282	282	sterling	2011	173704	909228	M_173704_909228	"HOLDEN ROAD"	21	1
M282	282	sterling	2011	173737	909309	M_173737_909309	"HOLDEN ROAD"	19	1
M282	282	sterling	2011	173808	909300	M_173808_909300	"HOLDEN ROAD"	17	1
M282	282	sterling	2011	173838	909322	M_173838_909322	"HOLDEN ROAD"	15	1
M282	282	sterling	2011	174001	909229	M_174001_909229	"HOLDEN ROAD"	10	1
M282	282	sterling	2011	173835	909225	M_173835_909225	"HOLDEN ROAD"	16	1
