town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M285	285	stoughton	2012	228942	876188	M_228942_876188	"BAY RD"	110	0
M285	285	stoughton	2012	228942	876229	M_228942_876229	"BAY RD"	98	0
M285	285	stoughton	2012	228944	876252	M_228944_876252	"BAY RD"	88	0
M285	285	stoughton	2012	228946	876152	M_228946_876152	"BAY RD"	114	0
M285	285	stoughton	2012	228949	876274	M_228949_876274	"BAY RD"	78	0
M285	285	stoughton	2012	228954	876330	M_228954_876330	"CENTRAL ST"	2370	0
M285	285	stoughton	2012	228955	876296	M_228955_876296	"BAY RD"	70	0
M285	285	stoughton	2012	228959	876099	M_228959_876099	"BAY RD"	144	0
M285	285	stoughton	2012	228963	876067	M_228963_876067	"BAY RD"	174	0
M285	285	stoughton	2012	228967	876035	M_228967_876035	"BAY RD"	182	0
M285	285	stoughton	2012	228971	876192	M_228971_876192	"ORIOLE RD"	15	0
M285	285	stoughton	2012	228972	876003	M_228972_876003	"BAY RD"	192	0
M285	285	stoughton	2012	228979	875970	M_228979_875970	"BAY RD"	202	0
M285	285	stoughton	2012	228980	876317	M_228980_876317	"CENTRAL ST"	2360	0
M285	285	stoughton	2012	228982	876414	M_228982_876414	"BAY RD"	36	0
M285	285	stoughton	2012	228983	875937	M_228983_875937	"BAY RD"	212	0
M285	285	stoughton	2012	228984	876379	M_228984_876379	"CENTRAL ST"	2365	0
M285	285	stoughton	2012	228985	876157	M_228985_876157	"CELIAM DR"	16	0
M285	285	stoughton	2012	228986	876255	M_228986_876255	"ORIOLE RD"	20	0
M285	285	stoughton	2012	228998	876197	M_228998_876197	"ORIOLE RD"	23	0
M285	285	stoughton	2012	229007	875930	M_229007_875930	"WESTWOOD RD"	8	0
M285	285	stoughton	2012	229007	876303	M_229007_876303	"CENTRAL ST"	2350	0
M285	285	stoughton	2012	229008	876106	M_229008_876106	"WINFISKY DR"	29	0
M285	285	stoughton	2012	229009	876412	M_229009_876412	"SHARON ST"	0	0
M285	285	stoughton	2012	229013	876250	M_229013_876250	"ORIOLE RD"	30	0
M285	285	stoughton	2012	229013	876367	M_229013_876367	"CENTRAL ST"	2359	0
M285	285	stoughton	2012	229014	876075	M_229014_876075	"WINFISKY DR"	41	0
M285	285	stoughton	2012	229016	875875	M_229016_875875	"BAY RD"	226	0
M285	285	stoughton	2012	229019	876044	M_229019_876044	"WINFISKY DR"	49	0
M285	285	stoughton	2012	229021	875926	M_229021_875926	"WESTWOOD RD"	0	0
M285	285	stoughton	2012	229021	876438	M_229021_876438	"SHARON ST"	140	0
M285	285	stoughton	2012	229024	876013	M_229024_876013	"WINFISKY DR"	59	0
M285	285	stoughton	2012	229025	876163	M_229025_876163	"CELIAM DR"	32	0
M285	285	stoughton	2012	229029	875979	M_229029_875979	"WINFISKY DR"	69	0
M285	285	stoughton	2012	229030	875835	M_229030_875835	"BAY RD"	240	0
M285	285	stoughton	2012	229031	876198	M_229031_876198	"ORIOLE RD"	37	0
M285	285	stoughton	2012	229032	876493	M_229032_876493	"SHARON ST"	145	0
M285	285	stoughton	2012	229034	876289	M_229034_876289	"CENTRAL ST"	2340	0
M285	285	stoughton	2012	229036	875922	M_229036_875922	"WESTWOOD RD"	18	0
M285	285	stoughton	2012	229039	876241	M_229039_876241	"ORIOLE RD"	38	0
M285	285	stoughton	2012	229040	876366	M_229040_876366	"CENTRAL ST"	2351	0
M285	285	stoughton	2012	229046	876184	M_229046_876184	"ORIOLE RD"	0	0
M285	285	stoughton	2012	229047	875920	M_229047_875920	"WESTWOOD RD"	0	0
M285	285	stoughton	2012	229051	875767	M_229051_875767	"BAY RD"	252	0
M285	285	stoughton	2012	229052	875871	M_229052_875871	"WESTWOOD RD"	25	0
M285	285	stoughton	2012	229057	875796	M_229057_875796	"BAYWOOD AV"	0	0
M285	285	stoughton	2012	229060	875815	M_229060_875815	"BAYWOOD AV"	0	0
M285	285	stoughton	2012	229060	875954	M_229060_875954	"WINFISKY DR"	79	0
M285	285	stoughton	2012	229061	876276	M_229061_876276	"CENTRAL ST"	2330	0
M285	285	stoughton	2012	229062	875838	M_229062_875838	"BAYWOOD AV"	0	0
M285	285	stoughton	2012	229062	875916	M_229062_875916	"WESTWOOD RD"	26	0
M285	285	stoughton	2012	229065	876231	M_229065_876231	"ORIOLE RD"	46	0
M285	285	stoughton	2012	229065	876354	M_229065_876354	"CENTRAL ST"	2341	0
M285	285	stoughton	2012	229070	876137	M_229070_876137	"WINFISKY DR"	20	0
M285	285	stoughton	2012	229071	876415	M_229071_876415	"SHARON ST"	120	0
M285	285	stoughton	2012	229075	875865	M_229075_875865	"WESTWOOD RD"	33	0
M285	285	stoughton	2012	229079	876103	M_229079_876103	"WINFISKY DR"	34	0
M285	285	stoughton	2012	229081	876267	M_229081_876267	"CENTRAL ST"	0	0
M285	285	stoughton	2012	229082	875681	M_229082_875681	"BAY RD"	284	0
M285	285	stoughton	2012	229084	875911	M_229084_875911	"WESTWOOD RD"	32	0
M285	285	stoughton	2012	229085	875653	M_229085_875653	"BAY RD"	292	0
M285	285	stoughton	2012	229086	875505	M_229086_875505	"BAY RD"	348	0
M285	285	stoughton	2012	229086	875715	M_229086_875715	"LAKEWOOD DR"	0	0
M285	285	stoughton	2012	229086	876324	M_229086_876324	"CENTRAL ST"	2329	0
M285	285	stoughton	2012	229087	875463	M_229087_875463	"BAY RD"	366	0
M285	285	stoughton	2012	229088	875536	M_229088_875536	"BAY RD"	338	0
M285	285	stoughton	2012	229089	876074	M_229089_876074	"WINFISKY DR"	44	0
M285	285	stoughton	2012	229089	876170	M_229089_876170	"ORIOLE RD"	61	0
M285	285	stoughton	2012	229091	875619	M_229091_875619	"BAY RD"	306	0
M285	285	stoughton	2012	229091	876221	M_229091_876221	"ORIOLE RD"	56	0
M285	285	stoughton	2012	229093	875588	M_229093_875588	"BAY RD"	316	0
M285	285	stoughton	2012	229095	875737	M_229095_875737	"BAYWOOD AV"	11	0
M285	285	stoughton	2012	229098	875424	M_229098_875424	"BAY RD"	388	0
M285	285	stoughton	2012	229098	875756	M_229098_875756	"BAYWOOD AV"	0	0
M285	285	stoughton	2012	229098	876017	M_229098_876017	"WINFISKY DR"	66	0
M285	285	stoughton	2012	229098	876047	M_229098_876047	"WINFISKY DR"	54	0
M285	285	stoughton	2012	229100	875771	M_229100_875771	"BAYWOOD AV"	0	0
M285	285	stoughton	2012	229100	876258	M_229100_876258	"CENTRAL ST"	2320	0
M285	285	stoughton	2012	229101	875712	M_229101_875712	"LAKEWOOD DR"	0	0
M285	285	stoughton	2012	229102	875786	M_229102_875786	"BAYWOOD AV"	0	0
M285	285	stoughton	2012	229103	875801	M_229103_875801	"BAYWOOD AV"	0	0
M285	285	stoughton	2012	229103	875906	M_229103_875906	"WESTWOOD RD"	0	0
M285	285	stoughton	2012	229105	876468	M_229105_876468	"SHARON ST"	99	0
M285	285	stoughton	2012	229106	875943	M_229106_875943	"WINFISKY DR"	87	0
M285	285	stoughton	2012	229107	876377	M_229107_876377	"SHARON ST"	0	0
M285	285	stoughton	2012	229108	875842	M_229108_875842	"BAYWOOD AV"	59	0
M285	285	stoughton	2012	229109	876137	M_229109_876137	"MERRILL ST"	9	0
M285	285	stoughton	2012	229115	875346	M_229115_875346	"LORRAINE DR"	10	0
M285	285	stoughton	2012	229115	876313	M_229115_876313	"CENTRAL ST"	2321	0
M285	285	stoughton	2012	229117	876212	M_229117_876212	"ORIOLE RD"	64	0
M285	285	stoughton	2012	229118	875392	M_229118_875392	"BAY RD"	398	0
M285	285	stoughton	2012	229118	875669	M_229118_875669	"LAKEWOOD DR"	350	0
M285	285	stoughton	2012	229119	875452	M_229119_875452	"BAY RD"	0	0
M285	285	stoughton	2012	229121	875902	M_229121_875902	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229123	875513	M_229123_875513	"DECOTA DR"	21	0
M285	285	stoughton	2012	229125	875727	M_229125_875727	"RIDGEWOOD AV"	12	0
M285	285	stoughton	2012	229125	876006	M_229125_876006	"WINFISKY DR"	84	0
M285	285	stoughton	2012	229127	876103	M_229127_876103	"MERRILL ST"	25	0
M285	285	stoughton	2012	229128	875581	M_229128_875581	"WHITE WY"	6	0
M285	285	stoughton	2012	229128	876249	M_229128_876249	"CENTRAL ST"	2310	0
M285	285	stoughton	2012	229130	875769	M_229130_875769	"RIDGEWOOD AV"	0	0
M285	285	stoughton	2012	229132	875304	M_229132_875304	"BAY RD"	428	0
M285	285	stoughton	2012	229132	875791	M_229132_875791	"RIDGEWOOD AV"	30	0
M285	285	stoughton	2012	229134	875631	M_229134_875631	"WHITE WY"	22	0
M285	285	stoughton	2012	229138	875838	M_229138_875838	"RIDGEWOOD AV"	0	0
M285	285	stoughton	2012	229140	875467	M_229140_875467	"ABBEY LN"	15	0
M285	285	stoughton	2012	229142	875282	M_229142_875282	"BAY RD"	434	0
M285	285	stoughton	2012	229143	876202	M_229143_876202	"ORIOLE RD"	74	0
M285	285	stoughton	2012	229144	875661	M_229144_875661	"LAKEWOOD DR"	0	0
M285	285	stoughton	2012	229144	875928	M_229144_875928	"WINFISKY DR"	103	0
M285	285	stoughton	2012	229145	876070	M_229145_876070	"MERRILL ST"	37	0
M285	285	stoughton	2012	229147	875896	M_229147_875896	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229147	876301	M_229147_876301	"CENTRAL ST"	2307	0
M285	285	stoughton	2012	229149	876154	M_229149_876154	"ORIOLE RD"	81	0
M285	285	stoughton	2012	229151	875990	M_229151_875990	"WINFISKY DR"	94	0
M285	285	stoughton	2012	229152	876354	M_229152_876354	"SHARON ST"	90	0
M285	285	stoughton	2012	229153	875363	M_229153_875363	"LORRAINE DR"	18	0
M285	285	stoughton	2012	229155	875257	M_229155_875257	"BAY RD"	444	0
M285	285	stoughton	2012	229156	876239	M_229156_876239	"CENTRAL ST"	2300	0
M285	285	stoughton	2012	229156	876448	M_229156_876448	"SHARON ST"	0	0
M285	285	stoughton	2012	229157	875507	M_229157_875507	"DECOTA DR"	33	0
M285	285	stoughton	2012	229161	875701	M_229161_875701	"RIDGEWOOD AV"	5	0
M285	285	stoughton	2012	229163	876038	M_229163_876038	"MERRILL ST"	49	0
M285	285	stoughton	2012	229166	875306	M_229166_875306	"LORRAINE DR"	17	0
M285	285	stoughton	2012	229166	875435	M_229166_875435	"ABBEY LN"	20	0
M285	285	stoughton	2012	229168	875724	M_229168_875724	"RIDGEWOOD AV"	0	0
M285	285	stoughton	2012	229169	875739	M_229169_875739	"RIDGEWOOD AV"	0	0
M285	285	stoughton	2012	229169	876193	M_229169_876193	"ORIOLE RD"	82	0
M285	285	stoughton	2012	229172	875562	M_229172_875562	"WHITE WY"	7	0
M285	285	stoughton	2012	229172	875758	M_229172_875758	"RIDGEWOOD AV"	0	0
M285	285	stoughton	2012	229173	875890	M_229173_875890	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229173	876112	M_229173_876112	"MERRILL ST"	32	0
M285	285	stoughton	2012	229174	875781	M_229174_875781	"RIDGEWOOD AV"	0	0
M285	285	stoughton	2012	229174	875846	M_229174_875846	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229177	875383	M_229177_875383	"LORRAINE DR"	30	0
M285	285	stoughton	2012	229177	875647	M_229177_875647	"LAKEWOOD DR"	334	0
M285	285	stoughton	2012	229177	875804	M_229177_875804	"RIDGEWOOD AV"	0	0
M285	285	stoughton	2012	229178	876000	M_229178_876000	"ROBIN CR"	73	0
M285	285	stoughton	2012	229179	875823	M_229179_875823	"RIDGEWOOD AV"	0	0
M285	285	stoughton	2012	229180	876288	M_229180_876288	"CENTRAL ST"	2297	0
M285	285	stoughton	2012	229182	876436	M_229182_876436	"SHARON ST"	87	0
M285	285	stoughton	2012	229184	875207	M_229184_875207	"BAY RD"	464	0
M285	285	stoughton	2012	229185	875612	M_229185_875612	"WHITE WY"	23	0
M285	285	stoughton	2012	229186	875265	M_229186_875265	"ANDREW CR"	20	0
M285	285	stoughton	2012	229188	876227	M_229188_876227	"CENTRAL ST"	2290	0
M285	285	stoughton	2012	229190	875919	M_229190_875919	"WINFISKY DR"	111	0
M285	285	stoughton	2012	229190	876138	M_229190_876138	"ORIOLE RD"	95	0
M285	285	stoughton	2012	229191	875885	M_229191_875885	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229191	876341	M_229191_876341	"SHARON ST"	0	0
M285	285	stoughton	2012	229193	875318	M_229193_875318	"LORRAINE DR"	27	0
M285	285	stoughton	2012	229193	875843	M_229193_875843	"EASTWOOD RD"	94	0
M285	285	stoughton	2012	229195	875694	M_229195_875694	"LAKEWOOD DR"	329	0
M285	285	stoughton	2012	229195	876184	M_229195_876184	"ORIOLE RD"	90	0
M285	285	stoughton	2012	229199	875551	M_229199_875551	"DECOTA DR"	40	0
M285	285	stoughton	2012	229201	875392	M_229201_875392	"LORRAINE DR"	46	0
M285	285	stoughton	2012	229202	875442	M_229202_875442	"ABBEY LN"	16	0
M285	285	stoughton	2012	229203	875749	M_229203_875749	"CEDARWOOD RD"	0	0
M285	285	stoughton	2012	229204	875182	M_229204_875182	"BAY RD"	474	0
M285	285	stoughton	2012	229205	876081	M_229205_876081	"ROBIN CR"	47	0
M285	285	stoughton	2012	229208	875798	M_229208_875798	"CEDARWOOD RD"	0	0
M285	285	stoughton	2012	229208	876423	M_229208_876423	"SHARON ST"	0	0
M285	285	stoughton	2012	229210	875817	M_229210_875817	"CEDARWOOD RD"	0	0
M285	285	stoughton	2012	229210	875949	M_229210_875949	"ROBIN CR"	78	0
M285	285	stoughton	2012	229210	876275	M_229210_876275	"CENTRAL ST"	2289	0
M285	285	stoughton	2012	229213	875485	M_229213_875485	"DECOTA DR"	53	0
M285	285	stoughton	2012	229216	875593	M_229216_875593	"LAKEWOOD DR"	310	0
M285	285	stoughton	2012	229216	875837	M_229216_875837	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229216	875880	M_229216_875880	"EASTWOOD RD"	95	0
M285	285	stoughton	2012	229217	875226	M_229217_875226	"ANDREW CR"	21	0
M285	285	stoughton	2012	229219	875166	M_229219_875166	"BAY RD"	482	0
M285	285	stoughton	2012	229220	876126	M_229220_876126	"ORIOLE RD"	103	0
M285	285	stoughton	2012	229221	875329	M_229221_875329	"LORRAINE DR"	35	0
M285	285	stoughton	2012	229221	876175	M_229221_876175	"ROBIN CR"	19	0
M285	285	stoughton	2012	229224	875287	M_229224_875287	"ANDREW CR"	34	0
M285	285	stoughton	2012	229224	875648	M_229224_875648	"LAKEWOOD DR"	309	0
M285	285	stoughton	2012	229225	876306	M_229225_876306	"SHARON ST"	48	0
M285	285	stoughton	2012	229227	876213	M_229227_876213	"ROBIN CR"	9	0
M285	285	stoughton	2012	229228	875539	M_229228_875539	"DECOTA DR"	50	0
M285	285	stoughton	2012	229229	875681	M_229229_875681	"CEDARWOOD RD"	0	0
M285	285	stoughton	2012	229234	875147	M_229234_875147	"BAY RD"	492	0
M285	285	stoughton	2012	229234	875980	M_229234_875980	"ROBIN CR"	72	0
M285	285	stoughton	2012	229234	876409	M_229234_876409	"SHARON ST"	67	0
M285	285	stoughton	2012	229238	875409	M_229238_875409	"TEA ST"	57	0
M285	285	stoughton	2012	229238	876014	M_229238_876014	"ROBIN CR"	0	0
M285	285	stoughton	2012	229240	875442	M_229240_875442	"TEA ST"	51	0
M285	285	stoughton	2012	229240	875871	M_229240_875871	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229243	876037	M_229243_876037	"ROBIN CR"	60	0
M285	285	stoughton	2012	229244	875582	M_229244_875582	"LAKEWOOD DR"	300	0
M285	285	stoughton	2012	229244	875722	M_229244_875722	"CEDARWOOD RD"	65	0
M285	285	stoughton	2012	229247	875229	M_229247_875229	"ANDREW CR"	33	0
M285	285	stoughton	2012	229247	875755	M_229247_875755	"CEDARWOOD RD"	75	0
M285	285	stoughton	2012	229250	875925	M_229250_875925	"CHARLES CR"	160	0
M285	285	stoughton	2012	229251	875797	M_229251_875797	"EASTWOOD RD"	64	0
M285	285	stoughton	2012	229251	875866	M_229251_875866	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229252	875339	M_229252_875339	"LORRAINE DR"	49	0
M285	285	stoughton	2012	229253	876071	M_229253_876071	"ROBIN CR"	50	0
M285	285	stoughton	2012	229256	875470	M_229256_875470	"DECOTA DR"	71	0
M285	285	stoughton	2012	229256	875528	M_229256_875528	"DECOTA DR"	62	0
M285	285	stoughton	2012	229256	875669	M_229256_875669	"CEDARWOOD RD"	100	0
M285	285	stoughton	2012	229256	876259	M_229256_876259	"CENTRAL ST"	2273	0
M285	285	stoughton	2012	229257	875115	M_229257_875115	"BAY RD"	504	0
M285	285	stoughton	2012	229257	875632	M_229257_875632	"LAKEWOOD DR"	301	0
M285	285	stoughton	2012	229259	876392	M_229259_876392	"SHARON ST"	0	0
M285	285	stoughton	2012	229261	875860	M_229261_875860	"EASTWOOD RD"	0	0
M285	285	stoughton	2012	229261	875965	M_229261_875965	"CHARLES CR"	170	0
M285	285	stoughton	2012	229264	875303	M_229264_875303	"ANDREW CR"	42	0
M285	285	stoughton	2012	229264	876106	M_229264_876106	"ROBIN CR"	38	0
M285	285	stoughton	2012	229268	875898	M_229268_875898	"CHARLES CR"	150	0
