town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M289	289	sunderland	2011	110616	911543	M_110616_911543	"RIVER RD"	0	0
M289	289	sunderland	2011	110617	911609	M_110617_911609	"RIVER RD"	0	0
M289	289	sunderland	2011	110618	911683	M_110618_911683	"RIVER RD"	0	0
M289	289	sunderland	2011	110620	911420	M_110620_911420	"RIVER RD"	0	0
M289	289	sunderland	2011	110625	911811	M_110625_911811	"RIVER RD"	0	0
M289	289	sunderland	2011	110631	911229	M_110631_911229	"RIVER RD"	0	0
M289	289	sunderland	2011	110635	911937	M_110635_911937	"RIVER RD"	111	0
M289	289	sunderland	2011	110649	911050	M_110649_911050	"RIVER RD"	0	0
M289	289	sunderland	2011	110653	912085	M_110653_912085	"RIVER RD"	0	0
M289	289	sunderland	2011	110668	912727	M_110668_912727	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	110684	912227	M_110684_912227	"RIVER RD"	0	0
M289	289	sunderland	2011	110694	912845	M_110694_912845	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	110700	910961	M_110700_910961	"RIVER RD"	239	0
M289	289	sunderland	2011	110714	910887	M_110714_910887	"RIVER RD"	0	0
M289	289	sunderland	2011	110717	911238	M_110717_911238	"RIVER RD"	197	0
M289	289	sunderland	2011	110721	912373	M_110721_912373	"RIVER RD"	0	0
M289	289	sunderland	2011	110739	911134	M_110739_911134	"RIVER RD"	0	0
M289	289	sunderland	2011	110744	911050	M_110744_911050	"RIVER RD"	227	0
M289	289	sunderland	2011	110746	910768	M_110746_910768	"RIVER RD"	259	0
M289	289	sunderland	2011	110750	911436	M_110750_911436	"RIVER RD"	170	0
M289	289	sunderland	2011	110751	911370	M_110751_911370	"RIVER RD"	180	0
M289	289	sunderland	2011	110752	910996	M_110752_910996	"RIVER RD"	231	0
M289	289	sunderland	2011	110753	912561	M_110753_912561	"RIVER RD"	0	0
M289	289	sunderland	2011	110780	910627	M_110780_910627	"RIVER RD"	0	0
M289	289	sunderland	2011	110793	911169	M_110793_911169	"RIVER RD"	206	0
M289	289	sunderland	2011	110823	910461	M_110823_910461	"RIVER RD"	0	0
M289	289	sunderland	2011	110832	912703	M_110832_912703	"RIVER RD"	0	0
M289	289	sunderland	2011	110846	912891	M_110846_912891	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	110855	913036	M_110855_913036	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	110860	910972	M_110860_910972	"RIVER RD"	226	0
M289	289	sunderland	2011	110869	911348	M_110869_911348	"RIVER RD"	0	0
M289	289	sunderland	2011	110871	911731	M_110871_911731	"RIVER RD"	0	0
M289	289	sunderland	2011	110873	910853	M_110873_910853	"RIVER RD"	248	0
M289	289	sunderland	2011	110874	911825	M_110874_911825	"RIVER RD"	0	0
M289	289	sunderland	2011	110879	913130	M_110879_913130	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	110891	911170	M_110891_911170	"RIVER RD"	0	0
M289	289	sunderland	2011	110895	910204	M_110895_910204	"FERRY RD"	0	0
M289	289	sunderland	2011	110896	911477	M_110896_911477	"RIVER RD"	0	0
M289	289	sunderland	2011	110904	909966	M_110904_909966	"FERRY RD"	0	0
M289	289	sunderland	2011	110907	913207	M_110907_913207	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	110910	910816	M_110910_910816	"RIVER RD"	258	0
M289	289	sunderland	2011	110910	911552	M_110910_911552	"HADLEY RD"	0	0
M289	289	sunderland	2011	110912	913280	M_110912_913280	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	110917	909880	M_110917_909880	"OFF FERRY RD"	0	0
M289	289	sunderland	2011	110921	910744	M_110921_910744	"RIVER RD"	274	0
M289	289	sunderland	2011	110923	910693	M_110923_910693	"RIVER RD"	282	0
M289	289	sunderland	2011	110923	910781	M_110923_910781	"RIVER RD"	266	0
M289	289	sunderland	2011	110923	912557	M_110923_912557	"RIVER RD"	23	0
M289	289	sunderland	2011	110926	910894	M_110926_910894	"RIVER RD"	0	0
M289	289	sunderland	2011	110928	910555	M_110928_910555	"RIVER RD"	267	0
M289	289	sunderland	2011	110934	912596	M_110934_912596	"RIVER RD"	17	0
M289	289	sunderland	2011	110934	913309	M_110934_913309	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	110938	911623	M_110938_911623	"HADLEY RD"	149	0
M289	289	sunderland	2011	110953	913586	M_110953_913586	"SCHOOL ST"	38	0
M289	289	sunderland	2011	110963	912650	M_110963_912650	"RIVER RD"	9	0
M289	289	sunderland	2011	110964	913236	M_110964_913236	"SOUTH MAIN ST"	63	0
M289	289	sunderland	2011	110966	913390	M_110966_913390	"SOUTH MAIN ST"	83	0
M289	289	sunderland	2011	110976	911948	M_110976_911948	"RIVER RD"	0	0
M289	289	sunderland	2011	110978	912708	M_110978_912708	"RIVER RD"	3	0
M289	289	sunderland	2011	110978	913521	M_110978_913521	"SCHOOL ST"	33	0
M289	289	sunderland	2011	110979	910455	M_110979_910455	"HADLEY RD"	293	0
M289	289	sunderland	2011	110980	912174	M_110980_912174	"HADLEY RD"	69	0
M289	289	sunderland	2011	110981	910690	M_110981_910690	"RIVER RD"	286	0
M289	289	sunderland	2011	110981	912088	M_110981_912088	"RIVER RD"	0	0
M289	289	sunderland	2011	110982	911386	M_110982_911386	"POTYRALA CROSS RD"	23	0
M289	289	sunderland	2011	110982	912751	M_110982_912751	"SOUTH MAIN ST"	1	0
M289	289	sunderland	2011	110988	910420	M_110988_910420	"HADLEY RD"	295	0
M289	289	sunderland	2011	110991	912785	M_110991_912785	"SOUTH MAIN ST"	7	0
M289	289	sunderland	2011	110996	910382	M_110996_910382	"HADLEY RD"	307	0
M289	289	sunderland	2011	111001	912823	M_111001_912823	"SOUTH MAIN ST"	11	0
M289	289	sunderland	2011	111003	913579	M_111003_913579	"SCHOOL ST"	32	0
M289	289	sunderland	2011	111006	912240	M_111006_912240	"RIVER RD"	0	0
M289	289	sunderland	2011	111007	910345	M_111007_910345	"HADLEY RD"	313	0
M289	289	sunderland	2011	111007	911319	M_111007_911319	"POTYRALA CROSS RD"	0	0
M289	289	sunderland	2011	111010	912859	M_111010_912859	"SOUTH MAIN ST"	17	0
M289	289	sunderland	2011	111010	913080	M_111010_913080	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	111011	912915	M_111011_912915	"SOUTH MAIN ST"	23	0
M289	289	sunderland	2011	111012	910942	M_111012_910942	"RIVER RD"	224	0
M289	289	sunderland	2011	111013	910684	M_111013_910684	"HADLEY RD"	0	0
M289	289	sunderland	2011	111017	909575	M_111017_909575	"HADLEY RD"	0	0
M289	289	sunderland	2011	111025	912675	M_111025_912675	"OLD AMHERST RD"	1	0
M289	289	sunderland	2011	111027	913126	M_111027_913126	"SOUTH MAIN ST"	0	0
M289	289	sunderland	2011	111028	913440	M_111028_913440	"BRIDGE ST"	23	0
M289	289	sunderland	2011	111030	910512	M_111030_910512	"RIVER RD"	0	0
M289	289	sunderland	2011	111030	913707	M_111030_913707	"SCHOOL ST"	0	0
M289	289	sunderland	2011	111031	913574	M_111031_913574	"SCHOOL ST"	28	0
M289	289	sunderland	2011	111032	912339	M_111032_912339	"RIVER RD"	50	0
M289	289	sunderland	2011	111032	913505	M_111032_913505	"SCHOOL ST"	25	0
M289	289	sunderland	2011	111034	910558	M_111034_910558	"HADLEY RD"	0	0
M289	289	sunderland	2011	111034	912993	M_111034_912993	"SOUTH MAIN ST"	37	0
M289	289	sunderland	2011	111035	910473	M_111035_910473	"HADLEY RD"	0	0
M289	289	sunderland	2011	111042	910597	M_111042_910597	"HADLEY RD"	0	0
M289	289	sunderland	2011	111048	913045	M_111048_913045	"SOUTH MAIN ST"	41	0
M289	289	sunderland	2011	111050	910639	M_111050_910639	"HADLEY RD"	269	0
M289	289	sunderland	2011	111050	911182	M_111050_911182	"POTYRALA RD"	0	0
M289	289	sunderland	2011	111050	913077	M_111050_913077	"SOUTH MAIN ST"	47	0
M289	289	sunderland	2011	111057	911233	M_111057_911233	"POTYRALA RD"	0	0
M289	289	sunderland	2011	111058	910679	M_111058_910679	"HADLEY RD"	263	0
M289	289	sunderland	2011	111060	912468	M_111060_912468	"RIVER RD"	30	0
M289	289	sunderland	2011	111060	912666	M_111060_912666	"OLD AMHERST RD"	7	0
M289	289	sunderland	2011	111061	911060	M_111061_911060	"POTYRALA CROSS RD"	0	0
M289	289	sunderland	2011	111063	911753	M_111063_911753	"HADLEY RD"	127	0
M289	289	sunderland	2011	111064	911295	M_111064_911295	"POTYRALA RD"	0	0
M289	289	sunderland	2011	111064	911657	M_111064_911657	"HADLEY RD"	137	0
M289	289	sunderland	2011	111064	913432	M_111064_913432	"BRIDGE ST"	17	0
M289	289	sunderland	2011	111065	910718	M_111065_910718	"HADLEY RD"	243	0
M289	289	sunderland	2011	111065	912773	M_111065_912773	"SOUTH MAIN ST"	8	0
M289	289	sunderland	2011	111067	913116	M_111067_913116	"SOUTH MAIN ST"	51	0
M289	289	sunderland	2011	111068	912735	M_111068_912735	"SOUTH MAIN ST"	4	0
M289	289	sunderland	2011	111070	912115	M_111070_912115	"HADLEY RD"	73	0
M289	289	sunderland	2011	111070	913497	M_111070_913497	"SCHOOL ST"	19	0
M289	289	sunderland	2011	111070	913638	M_111070_913638	"SCHOOL ST"	0	0
M289	289	sunderland	2011	111072	910755	M_111072_910755	"HADLEY RD"	239	0
M289	289	sunderland	2011	111073	910047	M_111073_910047	"FERRY RD"	0	0
M289	289	sunderland	2011	111073	911450	M_111073_911450	"POTYRALA CROSS RD"	9	0
M289	289	sunderland	2011	111074	912573	M_111074_912573	"HADLEY RD"	0	0
M289	289	sunderland	2011	111075	913281	M_111075_913281	"SOUTH MAIN ST"	71	0
M289	289	sunderland	2011	111076	913162	M_111076_913162	"SOUTH MAIN ST"	59	0
M289	289	sunderland	2011	111077	912798	M_111077_912798	"SOUTH MAIN ST"	12	0
M289	289	sunderland	2011	111079	910795	M_111079_910795	"HADLEY RD"	233	0
M289	289	sunderland	2011	111081	910852	M_111081_910852	"HADLEY RD"	227	0
M289	289	sunderland	2011	111081	913244	M_111081_913244	"SOUTH MAIN ST"	69	0
M289	289	sunderland	2011	111088	910427	M_111088_910427	"HADLEY RD"	298	0
M289	289	sunderland	2011	111088	912834	M_111088_912834	"SOUTH MAIN ST"	18	0
M289	289	sunderland	2011	111097	912904	M_111097_912904	"SOUTH MAIN ST"	24	0
M289	289	sunderland	2011	111098	911519	M_111098_911519	"HADLEY RD"	153	0
M289	289	sunderland	2011	111101	910913	M_111101_910913	"HADLEY RD"	221	0
