town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M290	290	sutton	2013	172579	877008	F_566202_2877317	"EIGHT LOTS RD"	290R	0
M290	290	sutton	2013	172653	876712	F_566447_2876347	"EIGHT LOTS RD"	286R	0
M290	290	sutton	2013	172694	877068	F_566579_2877514	"EIGHT LOTS RD"	288R	0
M290	290	sutton	2013	172727	875905	F_566687_2873698	"EIGHT LOTS RD"	289	0
M290	290	sutton	2013	172737	875787	F_566721_2873310	"EIGHT LOTS RD"	283R	0
M290	290	sutton	2013	172838	875714	F_567053_2873071	"EIGHT LOTS RD"	271	0
M290	290	sutton	2013	172952	875960	F_567427_2873879	"EIGHT LOTS RD"	270	0
M290	290	sutton	2013	172959	877138	F_567450_2877742	"EIGHT LOTS RD"	278R	0
M290	290	sutton	2013	173047	875709	F_567737_2873054	"EIGHT LOTS RD"	257	0
M290	290	sutton	2013	173057	876325	F_567771_2875077	"EIGHT LOTS RD"	270R	0
M290	290	sutton	2013	173108	875881	F_567939_2873621	"EIGHT LOTS RD"	300	0
M290	290	sutton	2013	173202	877429	F_568246_2878697	"EIGHT LOTS RD"	280R	0
M290	290	sutton	2013	173233	875907	F_568347_2873705	"EIGHT LOTS RD"	254	0
M290	290	sutton	2013	173256	876496	F_568423_2875638	"EIGHT LOTS RD"	288	0
M290	290	sutton	2013	173291	875802	F_568539_2873360	"EIGHT LOTS RD"	250	0
M290	290	sutton	2013	173322	875922	F_568639_2873755	"EIGHT LOTS RD"	246	0
M290	290	sutton	2013	173367	875948	F_568787_2873838	"EIGHT LOTS RD"	242	0
M290	290	sutton	2013	173415	875973	F_568946_2873923	"EIGHT LOTS RD"	238	0
M290	290	sutton	2013	173426	875802	F_568983_2873360	"EIGHT LOTS RD"	237	0
M290	290	sutton	2013	173448	875989	F_569054_2873974	"EIGHT LOTS RD"	236	0
M290	290	sutton	2013	173485	876041	F_569177_2874146	"EIGHT LOTS RD"	234	0
M290	290	sutton	2013	173512	875842	F_569263_2873491	"EIGHT LOTS RD"	233	0
M290	290	sutton	2013	173545	877006	F_569373_2877311	"EIGHT LOTS RD"	220R	0
M290	290	sutton	2013	173547	877534	F_569379_2879043	"BAKER RD"	41	0
M290	290	sutton	2013	173554	876063	F_569401_2874216	"EIGHT LOTS RD"	228	0
M290	290	sutton	2013	173585	875869	F_569503_2873580	"EIGHT LOTS RD"	227	0
M290	290	sutton	2013	173591	876391	F_569524_2875294	"EIGHT LOTS RD"	214R	0
M290	290	sutton	2013	173622	876084	F_569626_2874284	"EIGHT LOTS RD"	224	0
M290	290	sutton	2013	173642	875891	F_569692_2873651	"EIGHT LOTS RD"	221	0
M290	290	sutton	2013	173688	876109	F_569842_2874366	"EIGHT LOTS RD"	220	0
M290	290	sutton	2013	173746	876167	F_570032_2874559	"EIGHT LOTS RD"	216	0
M290	290	sutton	2013	173767	877623	F_570100_2879335	"GRIGGS RD"	75R	0
M290	290	sutton	2013	173770	875886	F_570110_2873636	"EIGHT LOTS RD"	215	0
M290	290	sutton	2013	173802	877797	F_570215_2879906	"BAKER RD"	30	0
M290	290	sutton	2013	173813	876023	F_570251_2874087	"EIGHT LOTS RD"	212	0
M290	290	sutton	2013	173845	877669	F_570356_2879485	"BAKER RD"	33	0
M290	290	sutton	2013	173852	875804	F_570380_2873368	"EIGHT LOTS RD"	211	0
M290	290	sutton	2013	173852	877755	F_570381_2879768	"BAKER RD"	27	0
M290	290	sutton	2013	173861	876112	F_570410_2874378	"EIGHT LOTS RD"	206	0
M290	290	sutton	2013	173871	876392	F_570442_2875295	"EIGHT LOTS RD"	198	0
M290	290	sutton	2013	173929	877759	F_570631_2879781	"BAKER RD"	25R	0
M290	290	sutton	2013	173933	876144	F_570644_2874481	"EIGHT LOTS RD"	202	0
M290	290	sutton	2013	173965	875861	F_570749_2873555	"EIGHT LOTS RD"	207	0
M290	290	sutton	2013	173974	876842	F_570781_2876772	"EIGHT LOTS RD"	202R	0
M290	290	sutton	2013	173980	875976	F_570800_2873930	"EIGHT LOTS RD"	201	0
M290	290	sutton	2013	174017	877656	F_570922_2879442	"BAKER RD"	29R	0
M290	290	sutton	2013	174023	876194	F_570942_2874648	"EIGHT LOTS RD"	196	0
M290	290	sutton	2013	174024	877854	F_570943_2880094	"GRIGGS RD"	81	0
M290	290	sutton	2013	174041	877694	F_571000_2879568	"BAKER RD"	23R	0
M290	290	sutton	2013	174054	875970	F_571043_2873913	"EIGHT LOTS RD"	197	0
M290	290	sutton	2013	174087	876222	F_571150_2874737	"EIGHT LOTS RD"	190	0
M290	290	sutton	2013	174105	876600	F_571209_2875979	"EIGHT LOTS RD"	176R	0
M290	290	sutton	2013	174107	877974	F_571216_2880486	"GRIGGS RD"	83	0
M290	290	sutton	2013	174144	876256	F_571338_2874849	"EIGHT LOTS RD"	186	0
M290	290	sutton	2013	174144	877863	F_571339_2880121	"BAKER RD"	3R	0
M290	290	sutton	2013	174153	878029	F_571368_2880666	"GRIGGS RD"	85	0
