town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M297	297	tolland	2011	69968	872970	M_69968_872970	"NEW BOSTON RD"	2000	0
M297	297	tolland	2011	69975	872558	M_69975_872558	"NEW BOSTON RD"	0	0
M297	297	tolland	2011	69989	873718	M_69989_873718	"NORTH RD"	132	0
M297	297	tolland	2011	70033	872377	M_70033_872377	"OFF NEW BOSTON RD"	0	0
M297	297	tolland	2011	70062	872291	M_70062_872291	"OFF NEW BOSTON RD"	0	0
M297	297	tolland	2011	70096	872327	M_70096_872327	"OFF NEW BOSTON RD"	0	0
M297	297	tolland	2011	70101	872175	M_70101_872175	"OFF NEW BOSTON RD"	0	0
M297	297	tolland	2011	70125	872104	M_70125_872104	"NEW BOSTON RD"	1656	0
M297	297	tolland	2011	70148	872042	M_70148_872042	"NEW BOSTON RD"	0	0
M297	297	tolland	2011	70153	871989	M_70153_871989	"NEW BOSTON RD"	1674	0
M297	297	tolland	2011	70181	871971	M_70181_871971	"NEW BOSTON RD"	0	0
M297	297	tolland	2011	70195	872527	M_70195_872527	"OFF NEW BOSTON RD"	0	0
M297	297	tolland	2011	70236	872401	M_70236_872401	"OFF NEW BOSTON RD"	0	0
M297	297	tolland	2011	70238	872682	M_70238_872682	"OFF NEW BOSTON RD"	0	0
M297	297	tolland	2011	70286	871697	M_70286_871697	"NEW BOSTON RD"	0	0
M297	297	tolland	2011	70309	872051	M_70309_872051	"NEW BOSTON RD"	0	0
M297	297	tolland	2011	70441	872997	M_70441_872997	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70547	872430	M_70547_872430	"NEW BOSTON RD"	1532	0
M297	297	tolland	2011	70622	874090	M_70622_874090	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70624	872167	M_70624_872167	"NEW BOSTON RD"	1465	0
M297	297	tolland	2011	70638	870475	M_70638_870475	"RT 8 W/S"	0	0
M297	297	tolland	2011	70670	870689	M_70670_870689	"SOUTH RD"	42	0
M297	297	tolland	2011	70707	872206	M_70707_872206	"NEW BOSTON RD"	1449	0
M297	297	tolland	2011	70769	872742	M_70769_872742	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70823	872351	M_70823_872351	"NEW BOSTON RD"	1418	0
M297	297	tolland	2011	70827	872191	M_70827_872191	"NEW BOSTON RD"	1403	0
M297	297	tolland	2011	70830	870770	M_70830_870770	"ROUTE 8"	0	0
M297	297	tolland	2011	70846	872987	M_70846_872987	"OFF EAST OTIS RD"	0	0
M297	297	tolland	2011	70847	872999	M_70847_872999	"OFF EAST OTIS RD"	0	0
M297	297	tolland	2011	70899	872896	M_70899_872896	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70904	872964	M_70904_872964	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70911	872827	M_70911_872827	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70912	877581	M_70912_877581	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70918	872940	M_70918_872940	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70919	872993	M_70919_872993	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70920	873011	M_70920_873011	"EAST OTIS RD"	0	0
M297	297	tolland	2011	70944	871509	M_70944_871509	"NEW BOSTON RD"	0	0
M297	297	tolland	2011	70946	870359	M_70946_870359	"RT 8 E/S"	0	0
M297	297	tolland	2011	70972	873225	M_70972_873225	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71014	873419	M_71014_873419	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71032	873546	M_71032_873546	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71045	872604	M_71045_872604	"EAST OTIS ROAD"	84	0
M297	297	tolland	2011	71063	873150	M_71063_873150	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71076	873268	M_71076_873268	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71079	873642	M_71079_873642	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71125	873535	M_71125_873535	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71130	869173	M_71130_869173	"FARMINGTON RIVER E/S"	0	0
M297	297	tolland	2011	71139	873727	M_71139_873727	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71145	873084	M_71145_873084	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71173	873603	M_71173_873603	"EAST OTIS RD"	462	0
M297	297	tolland	2011	71180	873183	M_71180_873183	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71187	874510	M_71187_874510	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71190	873811	M_71190_873811	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71191	873017	M_71191_873017	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71193	874458	M_71193_874458	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71194	874597	M_71194_874597	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71196	874331	M_71196_874331	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71199	874409	M_71199_874409	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71205	874193	M_71205_874193	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71209	872975	M_71209_872975	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71217	873697	M_71217_873697	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71228	873217	M_71228_873217	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71229	874698	M_71229_874698	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71234	873847	M_71234_873847	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71251	869950	M_71251_869950	"FARMINGTON RIVER E/S"	0	0
M297	297	tolland	2011	71273	875691	M_71273_875691	"EAST OTIS RD"	1266	0
M297	297	tolland	2011	71274	874806	M_71274_874806	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71278	873861	M_71278_873861	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71281	872157	M_71281_872157	"NEW BOSTON RD"	1249	0
M297	297	tolland	2011	71282	872569	M_71282_872569	"NEW BOSTON RD"	1304	0
M297	297	tolland	2011	71283	874502	M_71283_874502	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71288	874299	M_71288_874299	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71290	872944	M_71290_872944	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71291	874403	M_71291_874403	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71295	873228	M_71295_873228	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71302	874183	M_71302_874183	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71305	874638	M_71305_874638	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71310	873772	M_71310_873772	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71310	873977	M_71310_873977	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71325	873894	M_71325_873894	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71340	867662	M_71340_867662	"HARVEY MT RD"	0	0
M297	297	tolland	2011	71350	873243	M_71350_873243	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71356	874087	M_71356_874087	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71367	872129	M_71367_872129	"NEW BOSTON RD"	0	0
M297	297	tolland	2011	71368	874607	M_71368_874607	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71375	872806	M_71375_872806	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71377	872921	M_71377_872921	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71379	874188	M_71379_874188	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71382	874284	M_71382_874284	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71387	874507	M_71387_874507	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71394	870758	M_71394_870758	"ROUTE 8"	0	0
M297	297	tolland	2011	71400	873348	M_71400_873348	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71410	874884	M_71410_874884	"EAST OTIS RD"	956	0
M297	297	tolland	2011	71419	873269	M_71419_873269	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71429	874096	M_71429_874096	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71445	874638	M_71445_874638	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71446	873382	M_71446_873382	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71456	873985	M_71456_873985	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71457	873450	M_71457_873450	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71458	873900	M_71458_873900	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71472	872083	M_71472_872083	"NEW BOSTON RD"	1219	0
M297	297	tolland	2011	71473	873290	M_71473_873290	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71475	867404	M_71475_867404	"HARVEY MT RD"	0	0
M297	297	tolland	2011	71478	874188	M_71478_874188	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71485	874104	M_71485_874104	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71486	872959	M_71486_872959	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71491	874284	M_71491_874284	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71493	874544	M_71493_874544	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71495	872829	M_71495_872829	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71498	873997	M_71498_873997	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71499	876569	M_71499_876569	"ALAN RD"	0	0
M297	297	tolland	2011	71513	873487	M_71513_873487	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71514	874426	M_71514_874426	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71521	873401	M_71521_873401	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71522	873320	M_71522_873320	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71525	867671	M_71525_867671	"HARVEY MT RD"	0	0
M297	297	tolland	2011	71536	873998	M_71536_873998	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71547	874108	M_71547_874108	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71555	866699	M_71555_866699	"HARVEY MT RD"	0	0
M297	297	tolland	2011	71564	874645	M_71564_874645	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71567	873983	M_71567_873983	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71575	867049	M_71575_867049	"HARVEY MT RD"	0	0
M297	297	tolland	2011	71588	868371	M_71588_868371	"HARVEY MT RD"	0	0
M297	297	tolland	2011	71599	874187	M_71599_874187	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71606	874091	M_71606_874091	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71607	866666	M_71607_866666	"HARVEY MT RD"	0	0
M297	297	tolland	2011	71607	874281	M_71607_874281	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71609	874746	M_71609_874746	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71612	874580	M_71612_874580	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71622	877804	M_71622_877804	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71626	873966	M_71626_873966	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71651	874049	M_71651_874049	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71658	874164	M_71658_874164	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71669	874350	M_71669_874350	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71687	874119	M_71687_874119	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71688	874662	M_71688_874662	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71694	874804	M_71694_874804	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71716	874440	M_71716_874440	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71740	874562	M_71740_874562	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71751	874696	M_71751_874696	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71760	874316	M_71760_874316	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71792	875656	M_71792_875656	"EAST OTIS RD"	1266	0
M297	297	tolland	2011	71813	874439	M_71813_874439	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71815	871723	M_71815_871723	"NEW BOSTON RD"	0	0
M297	297	tolland	2011	71816	878399	M_71816_878399	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71844	874757	M_71844_874757	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71846	874604	M_71846_874604	"EAST OTIS RD"	0	0
M297	297	tolland	2011	71849	867184	M_71849_867184	"HARVEY MT RD"	288	0
M297	297	tolland	2011	71875	869486	M_71875_869486	"CLARK RD"	95	0
M297	297	tolland	2011	71901	866835	M_71901_866835	"HARVEY MT RD"	0	0
M297	297	tolland	2011	71944	872206	M_71944_872206	"NEW BOSTON ROAD"	0	0
M297	297	tolland	2011	71976	867309	M_71976_867309	"HARVEY MT RD"	250	0
M297	297	tolland	2011	72034	877735	M_72034_877735	"EAST OTIS RD"	0	0
M297	297	tolland	2011	72040	867421	M_72040_867421	"HARVEY MT RD"	206	0
M297	297	tolland	2011	72071	873743	M_72071_873743	"EAST OTIS RD"	0	0
M297	297	tolland	2011	72075	870822	M_72075_870822	"CLARK RD"	174	0
M297	297	tolland	2011	72120	867921	M_72120_867921	"BURT HILL RD"	0	0
M297	297	tolland	2011	72125	876489	M_72125_876489	"BELDEN RD"	0	0
M297	297	tolland	2011	72131	874207	M_72131_874207	"EAST OTIS RD"	0	0
