LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_731776_2882597	"WASHINGTON GREEN"	10	1	223046	878617
F_723108_2878391	"MAIN ST UNIT 207"	969	1	220404	877335
F_725269_2864314	"HILLTOP DR"	111-1238	1	221062	873045
F_723108_2878391	"MAIN ST UNIT 208"	969	1	220404	877335
F_723108_2878391	"MAIN ST UNIT 204"	969	1	220404	877335
F_723108_2878391	"MAIN ST UNIT 206"	969	1	220404	877335
F_723936_2864444	"ROUTE 1"	2235	1	220656	873084
F_723108_2878391	"MAIN ST UNIT 01"	969	1	220404	877335
F_723108_2878391	"MAIN ST UNIT 2B"	969	1	220404	877335
F_723108_2878391	"MAIN ST UNIT 03"	965	1	220404	877335
F_723289_2864077	"ROUTE 1"	2255	1	220459	872972
F_723108_2878391	"MAIN ST UNIT 02"	969	1	220404	877335
F_723108_2878391	"MAIN ST UNIT 201"	969	1	220404	877335
F_720474_2873306	"MAIN ST"	1439	1	219601	875785
F_723108_2878391	"MAIN ST UNIT 3B"	965	1	220404	877335
F_722666_2877557	"MAIN ST"	1045	1	220269	877081
F_722436_2877376	"MAIN ST"	1065	1	220199	877026
F_723609_2864097	"ROUTE 1"	2245	1	220556	872979
F_723557_2879297	"MAIN ST"	883	1	220541	877611
F_725725_2878859	"EAST ST"	777	1	221201	877478
F_723795_2879837	"MAIN ST"	841	1	220613	877776
F_724821_2880697	"MAIN ST"	760	1	220926	878038
F_724418_2869797	"WASHINGTON ST"	1419	1	220803	874716
F_731890_2884992	"MANSION DR"	141	1	223081	879347
F_718774_2869030	"PRODUCTION RD"	9	1	219083	874482
F_723496_2878757	"EAST ST"	953	1	220522	877447
F_717949_2874954	"RENMAR AVE"	10	1	218831	876288
F_724330_2864325	"ROUTE 1"	2222	1	220776	873048
F_719572_2869906	"PRODUCTION RD"	115-129	1	219326	874749
F_732573_2876018	"ROUTE 1"	990	1	223289	876612
F_722947_2878836	"EAST ST"	1015	1	220355	877471
F_721189_2874315	"MAIN ST"	1320	1	219819	876093
F_718127_2874845	"MERCHANTS DR"	45	1	218886	876255
F_729067_2885595	"MAIN ST"	203	1	222220	879531
F_723795_2878831	"EAST ST"	931	1	220613	877469
F_726060_2883089	"MAIN ST"	516	1	221304	878767
F_724231_2880695	"MAIN ST"	765	1	220746	878038
F_722956_2878243	"WEST ST"	1-5	1	220357	877290
F_737045_2882961	"ROUTE 1"	51	1	224652	878728
F_736950_2882707	"ROUTE 1"	55	1	224623	878651
F_726118_2882813	"MAIN ST"	531	1	221321	878683
F_721954_2899085	"SHAKER LN"	4	1	220052	883643
F_717086_2868005	"MAIN ST"	2000	1	218568	874170
F_732566_2877236	"ROUTE 1"	595	1	223287	876983
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_723356_2874486	"SOUTH ST"	140	1	220479	876145
F_718699_2870178	"MAIN ST"	1660	1	219060	874832
F_723200_2877950	"MAIN ST"	982	1	220432	877201
F_725218_2877751	"DIAMOND ST"	81	1	221047	877140
F_712681_2866692	"WINTER ST"	686	1	217226	873769
F_732833_2876389	"HIGH PLAIN ST"	506	1	223368	876725
F_733165_2876456	"HIGH PLAIN ST"	536	1	223469	876746
F_728446_2885411	"MAIN ST"	246	1	222031	879475
F_723026_2877881	"MAIN ST"	1006-1008	1	220379	877180
F_725227_2879372	"NORTON AVE"	2	1	221050	877634
F_732493_2876955	"ROUTE 1"	623	1	223264	876898
F_718673_2875175	"MERCHANTS DR"	5	1	219052	876355
F_732731_2877812	"ROUTE 1"	561	1	223337	877159
F_725363_2882084	"MAIN ST"	606	1	221091	878461
F_725493_2875218	"GROVER ST"	24	1	221131	876368
F_729388_2885079	"COOLIDGE RD"	22	1	222318	879374
F_730789_2882071	"EAST ST UNIT"	263	1	222745	878457
F_735647_2880409	"SANDRA RD"	14	1	224226	877950
F_722972_2880836	"ROBBINS RD"	53	1	220362	878081
F_724895_2882225	"GILL ST"	41-C	1	220948	878504
F_718892_2887674	"PINE HILL DR"	35	1	219119	880165
F_728855_2889661	"BULLARD ST"	269	1	222155	880770
F_722452_2864612	"HAROLD RD"	5	1	220204	873135
F_720756_2864122	"NEPONSET ST"	61-67	1	219687	872986
F_719112_2890777	"LONGWOOD LN"	3	1	219186	881111
F_715444_2874968	"CHANDLER AVE"	7	1	218068	876292
F_723621_2879377	"MAIN ST  #13"	881	1	220560	877636
F_713143_2870940	"WEST PINE DR"	17	1	217366	875064
F_724195_2878829	"SCHOOL ST"	107	1	220735	877469
F_727876_2870741	"MORNINGSIDE DR"	15	1	221857	875004
F_722859_2881187	"DUDLEY ST"	10	1	220328	878188
F_720014_2871334	"SYCAMORE LN"	4	1	219461	875184
F_717622_2875582	"FORREST RD"	10	1	218732	876479
F_730413_2874699	"OLD POST RD"	575	1	222630	876210
F_727221_2879729	"WISTERIA DRIVE"	23	1	221657	877743
F_723698_2890859	"NORTH ST"	775	1	220584	881136
F_719657_2876157	"CLEAR POND DR"	126	1	219352	876654
F_733059_2879750	"GRANT AVE"	46	1	223437	877750
F_722653_2876920	"GREENWOOD RD"	9-11	1	220265	876887
F_729923_2878127	"HIGH PLAIN ST"	200	1	222481	877255
F_717911_2882643	"DUTTON PARK DR"	23	1	218820	878631
F_730019_2887197	"MAIN ST"	56	1	222510	880019
F_722574_2876531	"LEWIS AVE"	67	1	220241	876768
F_720189_2862963	"SHUFELT RD"	7	1	219514	872633
F_715714_2862745	"WINTER ST"	215	1	218150	872566
F_731210_2883443	"PINNACLE DR"	16	1	222873	878875
F_717944_2887223	"LESTER GRAY DR"	15	1	218830	880027
F_731821_2880162	"PALL MALL"	20	1	223059	877875
F_724422_2883118	"GINLEY RD"	6	1	220804	878776
F_735578_2882704	"PLYMOUTH LN"	6	1	224205	878650
F_726953_2878946	"EAST ST"	677	1	221576	877504
F_734515_2884490	"ARBOR CT"	18	1	223881	879194
F_725702_2875701	"MASSACHUSETTS AVE"	83	1	221194	876515
F_737200_2879895	"CONEY ST"	330	1	224699	877794
F_721562_2873959	"AUDUBON DR"	12	1	219933	875984
F_723500_2883553	"NORTH ST"	205	1	220523	878909
F_728495_2882126	"LAVENDER LN"	8	1	222046	878474
F_725735_2887885	"WALDEN DR"	15	1	221204	880229
F_719445_2873840	"MACDONALD CIR"	35	1	219287	875948
F_732276_2878220	"SQUIRE CT"	2	1	223198	877283
F_732005_2881094	"POLLEY LN"	69	1	223116	878159
F_730327_2879564	"WASHINGTON ST"	550	1	222604	877693
F_728350_2871320	"OLD POST RD"	909	1	222002	875180
F_730845_2876424	"SUMMIT AVE"	29	1	222762	876736
F_732064_2879934	"EMERSON RD"	72	1	223134	877806
F_725408_2872001	"WASHINGTON ST"	1271	1	221105	875388
F_721848_2865039	"WASHINGTON ST"	1761	1	220020	873266
F_726249_2873360	"WASHINGTON ST"	1139	1	221361	875802
F_733654_2878295	"MOOSE HILL RD"	239	1	223618	877306
F_726505_2871917	"COMMON ST"	543	1	221439	875362
F_718931_2862090	"SUMMER ST"	176	1	219131	872367
F_730352_2884504	"HOUND PACK CIR"	45	1	222612	879199
F_716076_2858276	"CONCORD DR"	19	1	218260	871204
F_722814_2874199	"BROWN DR"	2	1	220314	876058
F_714977_2861253	"WINTER ST"	210	1	217925	872112
F_733418_2886021	"ENDEAN DR"	96	1	223546	879661
F_712996_2871115	"WEST PINE DR"	15	1	217322	875118
F_714793_2863598	"BEEHIVE RD"	8	1	217869	872826
F_720743_2875918	"CANVASBACK WAY"	8	1	219683	876582
F_725093_2887596	"WALDEN DR"	32	1	221009	880141
F_724954_2896212	"BUBBLING BROOK RD"	19	1	220966	882767
F_717294_2872056	"CLARKSON DR"	29	1	218632	875404
F_728328_2880522	"EAST ST"	505	1	221995	877985
F_719657_2876157	"PINTAIL RD"	31	1	219352	876654
F_722361_2875116	"LEWIS AVE"	108	1	220176	876337
F_724338_2885359	"GOULD ST"	205	1	220779	879459
F_724669_2882282	"CASTLE TERR"	3	1	220880	878521
F_731245_2883066	"HEMLOCK ST"	28	1	222884	878760
F_727567_2870708	"HILLSIDE ST"	6	1	221763	874994
F_723621_2879377	"MAIN ST  #1"	881	1	220560	877636
F_732233_2879499	"EMERSON RD"	52	1	223185	877673
F_730195_2879855	"SOUTH LEWIS PARK DR"	3	1	222564	877782
F_716017_2860993	"ABBEY RD"	11	1	218242	872032
F_722269_2865789	"WASHINGTON ST"	1711	1	220148	873494
F_723149_2878861	"MAIN ST"	925	1	220416	877479
F_723342_2878886	"MAIN ST"	907-911	1	220475	877486
F_718511_2874665	"MERCHANTS DR"	30	1	219003	876200
F_718853_2875027	"MERCHANTS DR"	10	1	219107	876310
F_723414_2878515	"MAIN ST"	944-946	1	220497	877373
F_731879_2876281	"HIGH PLAIN ST"	395-419	1	223077	876692
F_722846_2863409	"ROUTE 1"	2285	1	220324	872769
F_715218_2867124	"MAIN ST"	2085	1	217999	873901
F_721894_2876392	"MAIN ST"	1167	1	220034	876726
F_721541_2877530	"WEST ST"	130	1	219926	877073
F_720735_2873112	"MAIN ST"	1446	1	219680	875726
F_732825_2883411	"WASHINGTON ST"	202-204	1	223366	878865
