town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M312	312	warwick	2011	125517	941818	M_125517_941818	"NORTHFIELD TL"	0	0
M312	312	warwick	2011	125662	941305	M_125662_941305	"NORTHFIELD TL"	0	0
M312	312	warwick	2011	125867	940307	M_125867_940307	"NORTHFIELD RD"	955	0
M312	312	warwick	2011	125910	940696	M_125910_940696	"TOWER RD"	0	0
M312	312	warwick	2011	126046	939887	M_126046_939887	"NORTHFIELD ROAD"	0	0
M312	312	warwick	2011	126157	939626	M_126157_939626	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	126159	941113	M_126159_941113	"TOWER RD"	0	0
M312	312	warwick	2011	126176	939335	M_126176_939335	"NORTHFIELD RD OFF"	0	0
M312	312	warwick	2011	126205	940335	M_126205_940335	"TOWER RD"	0	0
M312	312	warwick	2011	126290	939933	M_126290_939933	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	126308	940774	M_126308_940774	"TOWER RD"	0	0
M312	312	warwick	2011	126479	939835	M_126479_939835	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	126687	939819	M_126687_939819	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	126872	939742	M_126872_939742	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	126977	937269	M_126977_937269	"OLD SOUTH RD"	0	0
M312	312	warwick	2011	127020	941171	M_127020_941171	"TOWER RD"	0	0
M312	312	warwick	2011	127055	939640	M_127055_939640	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	127262	939645	M_127262_939645	"NORTHFIELD RD"	733	0
M312	312	warwick	2011	127487	939643	M_127487_939643	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	127507	938215	M_127507_938215	"BASS RD"	47	0
M312	312	warwick	2011	127714	940147	M_127714_940147	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	127802	938544	M_127802_938544	"BASS  RD"	31	0
M312	312	warwick	2011	127863	936846	M_127863_936846	"BASS RD"	129	0
M312	312	warwick	2011	127903	939917	M_127903_939917	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	127952	932908	M_127952_932908	"QUARRY RD OFF"	0	0
M312	312	warwick	2011	128018	941457	M_128018_941457	"TOWER RD OFF"	0	0
M312	312	warwick	2011	128035	939777	M_128035_939777	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	128047	938253	M_128047_938253	"BASS RD"	0	0
M312	312	warwick	2011	128071	932501	M_128071_932501	"QUARRY RD"	0	0
M312	312	warwick	2011	128077	936719	M_128077_936719	"BASS RD"	139	0
M312	312	warwick	2011	128129	939536	M_128129_939536	"NORTHFIELD RD"	0	0
M312	312	warwick	2011	128147	932936	M_128147_932936	"QUARRY RD OFF"	0	0
M312	312	warwick	2011	128162	932312	M_128162_932312	"QUARRY RD"	0	0
M312	312	warwick	2011	128195	935240	M_128195_935240	NORTHFIELD/WHITE	0	0
M312	312	warwick	2011	128203	936850	M_128203_936850	"WHITE RD"	488	0
