town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M316	316	webster	2012	167838	865214	F_550649_2838622	"HILL ST."	38	0
M316	316	webster	2012	167893	864898	F_550830_2837586	"SCHOOL ST."	0	0
M316	316	webster	2012	167935	865150	F_550966_2838413	"WINTER HAVEN DR."	2	0
M316	316	webster	2012	167939	865849	F_550981_2840707	"HILL ST."	0	0
M316	316	webster	2012	167941	865120	F_550985_2838313	"WINTER HAVEN DR."	4	0
M316	316	webster	2012	167945	865514	F_550999_2839607	"FENNER ST."	0	0
M316	316	webster	2012	167945	865089	F_551001_2838214	"WINTER HAVEN DR."	6	0
M316	316	webster	2012	167948	866642	F_551009_2843308	"MAIN ST."	7	0
M316	316	webster	2012	167951	866523	F_551018_2842918	"RIVER COURT"	12	0
M316	316	webster	2012	167952	866360	F_551022_2842384	"CHASE AVE."	168	0
M316	316	webster	2012	167952	866538	F_551022_2842968	"RIVER COURT"	10	0
M316	316	webster	2012	167952	865047	F_551024_2838075	"WINTER HAVEN DR."	8	0
M316	316	webster	2012	167953	866481	F_551025_2842779	"CHASE AVE."	74	0
M316	316	webster	2012	167953	866381	F_551026_2842452	"CHASE AVE."	0	0
M316	316	webster	2012	167954	866399	F_551030_2842511	"CHASE AVE."	0	0
M316	316	webster	2012	167954	866563	F_551030_2843049	"RIVER COURT"	6	0
M316	316	webster	2012	167955	866594	F_551031_2843150	"MAIN ST."	2	0
M316	316	webster	2012	167956	866415	F_551036_2842564	"CHASE AVE."	0	0
M316	316	webster	2012	167956	865015	F_551037_2837971	"WINTER HAVEN DR."	10	0
M316	316	webster	2012	167959	865997	F_551045_2841193	"HILL ST."	0	0
M316	316	webster	2012	167961	866441	F_551053_2842648	"CHASE AVE."	110	0
M316	316	webster	2012	167963	866678	F_551059_2843427	"MAIN ST."	21	0
M316	316	webster	2012	167975	866506	F_551097_2842863	"CHASE AVE."	64	0
M316	316	webster	2012	167977	865445	F_551104_2839381	"HOUGHTON ST."	0	0
M316	316	webster	2012	167979	865160	F_551111_2838447	"SEARS AVE."	12	0
M316	316	webster	2012	167979	865023	F_551112_2837997	"WINTER HAVEN DR."	0	0
M316	316	webster	2012	167980	866644	F_551115_2843316	"MAIN ST."	29	0
M316	316	webster	2012	167980	866519	F_551116_2842906	"RIVER COURT"	11	0
M316	316	webster	2012	167983	865737	F_551123_2840340	"FENNER ST."	0	0
M316	316	webster	2012	167984	866463	F_551126_2842721	"CHASE AVE."	96	0
M316	316	webster	2012	167984	866752	F_551127_2843668	"UNION ST."	65	0
M316	316	webster	2012	167984	866536	F_551128_2842959	"RIVER COURT"	7	0
M316	316	webster	2012	167989	866580	F_551145_2843105	"MAIN ST."	32	0
M316	316	webster	2012	167990	865540	F_551146_2839694	"HOUGHTON ST."	0	0
M316	316	webster	2012	167990	865486	F_551147_2839514	"GRANDVIEW AVE."	0	0
M316	316	webster	2012	167990	865518	F_551147_2839619	"FENNER ST."	0	0
M316	316	webster	2012	167990	865502	F_551148_2839567	"FENNER ST."	0	0
M316	316	webster	2012	167991	865780	F_551150_2840480	"FENNER ST."	0	0
M316	316	webster	2012	167994	865089	F_551160_2838212	"ORCHARD AVE."	28	0
M316	316	webster	2012	167995	865121	F_551162_2838317	"SEARS AVE."	9	0
M316	316	webster	2012	167995	865798	F_551162_2840540	"FENNER ST."	0	0
M316	316	webster	2012	167995	866524	F_551163_2842921	"RIVER COURT"	9	0
M316	316	webster	2012	167995	866377	F_551164_2842437	"CHASE AVE."	0	0
M316	316	webster	2012	167996	865451	F_551166_2839401	"HOUGHTON ST."	0	0
M316	316	webster	2012	167997	865330	F_551171_2839005	"WESTWOOD RD."	0	0
M316	316	webster	2012	167999	865954	F_551178_2841050	"HILL ST."	0	0
M316	316	webster	2012	168001	865207	F_551183_2838600	"KELLY ERIN LANE"	9	0
M316	316	webster	2012	168001	865834	F_551183_2840657	"FENNER ST."	8	0
M316	316	webster	2012	168002	866590	F_551185_2843137	"MAIN ST."	42	0
M316	316	webster	2012	168002	865044	F_551187_2838064	"ORCHARD AVE."	21	0
M316	316	webster	2012	168004	865900	F_551192_2840873	"HILL ST."	32	0
M316	316	webster	2012	168005	865254	F_551195_2838753	"KELLY ERIN LANE"	8	0
M316	316	webster	2012	168005	866405	F_551197_2842529	"CHASE AVE."	129	0
