town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M319	319	wendell	2011	120869	924983	M_120869_924983	"DAVIS RD"	5	0
M319	319	wendell	2011	120883	925168	M_120883_925168	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	120889	924830	M_120889_924830	"DAVIS RD"	10	0
M319	319	wendell	2011	120918	925415	M_120918_925415	"MORMON HOLLOW RD"	202	0
M319	319	wendell	2011	120938	924935	M_120938_924935	"DAVIS RD"	19	0
M319	319	wendell	2011	120945	925066	M_120945_925066	"MORMON HOLLOW RD"	207	0
M319	319	wendell	2011	121063	924715	M_121063_924715	"DAVIS RD"	0	0
M319	319	wendell	2011	121071	924808	M_121071_924808	"DAVIS RD"	0	0
M319	319	wendell	2011	121091	925464	M_121091_925464	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	121125	925280	M_121125_925280	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	121219	925426	M_121219_925426	"MORMON HOLLOW RD"	178	0
M319	319	wendell	2011	121264	925334	M_121264_925334	"MORMON HOLLOW RD"	175	0
M319	319	wendell	2011	121288	924287	M_121288_924287	"COLD BROOK RD"	28	0
M319	319	wendell	2011	121321	925353	M_121321_925353	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	121325	925060	M_121325_925060	"DAVIS RD"	47	0
M319	319	wendell	2011	121357	925975	M_121357_925975	"MILLERS RIVER"	0	0
M319	319	wendell	2011	121378	925333	M_121378_925333	"MORMON HOLLOW RD"	167	0
M319	319	wendell	2011	121386	919045	M_121386_919045	"MONTAGUE T/L"	0	0
M319	319	wendell	2011	121463	919875	M_121463_919875	"MONTAGUE RD"	0	0
M319	319	wendell	2011	121465	919589	M_121465_919589	"MONTAGUE T/L"	0	0
M319	319	wendell	2011	121476	919346	M_121476_919346	"MONTAGUE T/L"	0	0
M319	319	wendell	2011	121504	920313	M_121504_920313	"MONTAGUE RD"	0	0
M319	319	wendell	2011	121575	925295	M_121575_925295	"MORMON HOLLOW RD"	163	0
M319	319	wendell	2011	121588	925806	M_121588_925806	"MORMOM HOLLOW RD"	114	0
M319	319	wendell	2011	121640	925421	M_121640_925421	"MORMON HOLLOW RD"	151	0
M319	319	wendell	2011	121679	921928	M_121679_921928	"MONTAGUE RD"	0	0
M319	319	wendell	2011	121690	922594	M_121690_922594	"MONTAGUE RD"	0	0
M319	319	wendell	2011	121705	922540	M_121705_922540	"MONTAGUE RD"	387	0
M319	319	wendell	2011	121708	922479	M_121708_922479	"MONTAGUE RD"	385	0
M319	319	wendell	2011	121734	924153	M_121734_924153	"OFF BEZIO PLACE RD"	0	0
M319	319	wendell	2011	121805	925609	M_121805_925609	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	121809	919269	M_121809_919269	"MONTAGUE T/L"	0	0
M319	319	wendell	2011	121845	925389	M_121845_925389	"MORMON HOLLOW RD"	131	0
M319	319	wendell	2011	121915	919964	M_121915_919964	"MONTAGUE RD"	0	0
M319	319	wendell	2011	121979	925709	M_121979_925709	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122009	919692	M_122009_919692	"MONTAGUE T/L"	0	0
M319	319	wendell	2011	122018	925423	M_122018_925423	"DAVIS RD"	0	0
M319	319	wendell	2011	122069	926308	M_122069_926308	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122210	926550	M_122210_926550	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122216	926076	M_122216_926076	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122222	921018	M_122222_921018	"MONTAGUE RD"	0	0
M319	319	wendell	2011	122300	919146	M_122300_919146	"OLD EGYPT RD"	0	0
M319	319	wendell	2011	122328	926271	M_122328_926271	"MORMON HOLLOW RD"	79	0
M319	319	wendell	2011	122343	926459	M_122343_926459	"MORMON HOLLOW RD"	79	0
M319	319	wendell	2011	122382	926777	M_122382_926777	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122412	919070	M_122412_919070	"LEVERETT T/L"	0	0
M319	319	wendell	2011	122429	926232	M_122429_926232	"MORMON HOLLOW RD"	71	0
M319	319	wendell	2011	122439	926553	M_122439_926553	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122463	926028	M_122463_926028	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122480	926271	M_122480_926271	"MORMON HOLLOW RD"	69	0
M319	319	wendell	2011	122488	919360	M_122488_919360	"WEST ST"	0	0
M319	319	wendell	2011	122560	926385	M_122560_926385	"MORMON HOLLOW RD"	62	0
M319	319	wendell	2011	122622	926338	M_122622_926338	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122628	926382	M_122628_926382	"MORMON HOLLOW RD"	58	0
M319	319	wendell	2011	122688	926122	M_122688_926122	"MORMON HOLLOW RD"	53	0
M319	319	wendell	2011	122695	920111	M_122695_920111	"OLD EGYPT RD"	0	0
M319	319	wendell	2011	122737	920561	M_122737_920561	"MONTAGUE RD"	0	0
M319	319	wendell	2011	122742	926234	M_122742_926234	"MORMON HOLLOW RD"	43	0
M319	319	wendell	2011	122750	918285	M_122750_918285	"SHUTESBURY T/L"	0	0
M319	319	wendell	2011	122751	926589	M_122751_926589	"MORMON HOLLOW RD"	0	0
M319	319	wendell	2011	122829	920991	M_122829_920991	"MONTAGUE RD"	0	0
M319	319	wendell	2011	122837	920131	M_122837_920131	"OLD EGYPT RD"	0	0
M319	319	wendell	2011	122846	918337	M_122846_918337	"OLD EGYPT RD"	120	0
M319	319	wendell	2011	122890	926967	M_122890_926967	"FARLEY RD"	0	0
M319	319	wendell	2011	122932	926588	M_122932_926588	"FARLEY RD"	0	0
M319	319	wendell	2011	122939	926736	M_122939_926736	"FARLEY RD"	0	0
M319	319	wendell	2011	122984	926670	M_122984_926670	"FARLEY RD"	323	0
M319	319	wendell	2011	123007	918310	M_123007_918310	"SHUTESBURY T/L"	0	0
M319	319	wendell	2011	123012	926995	M_123012_926995	"FARLEY RD"	341	0
M319	319	wendell	2011	123016	927175	M_123016_927175	"FARLEY RD"	351	0
M319	319	wendell	2011	123017	927110	M_123017_927110	"FARLEY RD"	345	0
M319	319	wendell	2011	123022	926365	M_123022_926365	"FARLEY RD"	313	0
M319	319	wendell	2011	123028	926551	M_123028_926551	"FARLEY RD"	0	0
M319	319	wendell	2011	123036	926894	M_123036_926894	"FARLEY RD"	333	0
M319	319	wendell	2011	123041	926444	M_123041_926444	"FARLEY RD"	0	0
M319	319	wendell	2011	123042	926234	M_123042_926234	"FARLEY RD"	299	0
M319	319	wendell	2011	123047	926775	M_123047_926775	"FARLEY RD"	327	0
M319	319	wendell	2011	123050	919246	M_123050_919246	"WEST ST"	0	0
M319	319	wendell	2011	123055	926621	M_123055_926621	"FARLEY RD"	317	0
M319	319	wendell	2011	123057	927817	M_123057_927817	"FARLEY RD"	0	0
M319	319	wendell	2011	123065	919469	M_123065_919469	"OLD EGYPT RD"	0	0
M319	319	wendell	2011	123082	926492	M_123082_926492	"FARLEY RD"	0	0
M319	319	wendell	2011	123133	927692	M_123133_927692	"FARLEY RD"	0	0
M319	319	wendell	2011	123145	920820	M_123145_920820	"MONTAGUE RD"	0	0
M319	319	wendell	2011	123153	927856	M_123153_927856	"FARLEY RD"	417	0
M319	319	wendell	2011	123154	920147	M_123154_920147	"OLD EGYPT RD"	0	0
M319	319	wendell	2011	123160	927970	M_123160_927970	"FARLEY RD"	410	0
M319	319	wendell	2011	123183	927379	M_123183_927379	"FARLEY RD"	364	0
M319	319	wendell	2011	123215	927308	M_123215_927308	"FARLEY RD"	346	0
M319	319	wendell	2011	123225	927518	M_123225_927518	"FARLEY RD"	374	0
M319	319	wendell	2011	123247	927612	M_123247_927612	"FARLEY RD"	382	0
M319	319	wendell	2011	123268	926686	M_123268_926686	"STONE CUTOFF RD"	11	0
M319	319	wendell	2011	123268	926686	M_123268_926686	"STONE CUTOFF RD"	41	0
M319	319	wendell	2011	123272	927454	M_123272_927454	"OLD FARLEY RD"	39	0
M319	319	wendell	2011	123280	919871	M_123280_919871	"OLD EGYPT RD"	0	0
M319	319	wendell	2011	123289	918653	M_123289_918653	"WEST ST"	0	0
M319	319	wendell	2011	123313	927550	M_123313_927550	"OLD FARLEY RD"	43	0
