town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M323	323	westbrookfield	2011	140819	891186	M_140819_891186	"GILBERTVILLE ROAD"	6	0
M323	323	westbrookfield	2011	140840	891265	M_140840_891265	"GILBERTVILLE ROAD"	12	0
M323	323	westbrookfield	2011	140898	890054	M_140898_890054	"COY HILL RD"	170	0
M323	323	westbrookfield	2011	140932	889827	M_140932_889827	"COY HILL RD"	156	0
M323	323	westbrookfield	2011	140954	891299	M_140954_891299	"GILBERTVILLE ROAD"	15	0
M323	323	westbrookfield	2011	140960	891264	M_140960_891264	"GILBERTVILLE ROAD"	11	0
M323	323	westbrookfield	2011	141116	890685	M_141116_890685	"WEST MAIN STREET"	684	0
M323	323	westbrookfield	2011	141260	891215	M_141260_891215	"WEST MAIN STREET"	667	0
M323	323	westbrookfield	2011	141279	892584	M_141279_892584	"OFF LYON ROAD"	0	0
M323	323	westbrookfield	2011	141288	892633	M_141288_892633	"OFF LYON ROAD"	0	0
M323	323	westbrookfield	2011	141293	892088	M_141293_892088	"OFF GILVERTVILLE RD"	0	0
M323	323	westbrookfield	2011	141335	892333	M_141335_892333	"OFF GILBERTVILLE RD"	0	0
M323	323	westbrookfield	2011	141348	892525	M_141348_892525	"OFF LYON ROAD"	0	0
M323	323	westbrookfield	2011	141359	890947	M_141359_890947	"WEST MAIN STREET"	652	0
M323	323	westbrookfield	2011	141359	892724	M_141359_892724	"OFF LYON ROAD"	0	0
M323	323	westbrookfield	2011	141443	892656	M_141443_892656	"LYON ROAD"	78	0
M323	323	westbrookfield	2011	141484	891504	M_141484_891504	"OFF WARE ROAD"	0	0
M323	323	westbrookfield	2011	141501	891842	M_141501_891842	"OFF GILBERTVILLE RD"	0	0
M323	323	westbrookfield	2011	141519	893986	M_141519_893986	"OFF MILLER RD"	0	0
M323	323	westbrookfield	2011	141523	892635	M_141523_892635	"LYON ROAD"	76	0
M323	323	westbrookfield	2011	141525	889266	M_141525_889266	"COY HILL RD"	130	0
M323	323	westbrookfield	2011	141569	892022	M_141569_892022	"OFF WHEELER ROAD"	12	0
M323	323	westbrookfield	2011	141574	889826	M_141574_889826	"COY HILL RD"	159	0
M323	323	westbrookfield	2011	141635	892804	M_141635_892804	"LYON ROAD"	68	0
M323	323	westbrookfield	2011	141646	892933	M_141646_892933	"LYON ROAD"	77	0
M323	323	westbrookfield	2011	141664	892638	M_141664_892638	"LYON ROAD"	60	0
M323	323	westbrookfield	2011	141674	893949	M_141674_893949	"MILLER RD"	8	0
M323	323	westbrookfield	2011	141711	892433	M_141711_892433	"OFF WHEELER ROAD"	9	0
M323	323	westbrookfield	2011	141718	892887	M_141718_892887	"LYON ROAD"	69	0
M323	323	westbrookfield	2011	141740	892252	M_141740_892252	"OFF WHEELER ROAD"	10	0
M323	323	westbrookfield	2011	141752	892791	M_141752_892791	"LYON ROAD"	61	0
M323	323	westbrookfield	2011	141762	891267	M_141762_891267	"WEST MAIN STREET"	631	0
M323	323	westbrookfield	2011	141839	892609	M_141839_892609	"WHEELER ROAD"	5	0
M323	323	westbrookfield	2011	141862	894017	M_141862_894017	"MILLER RD"	16	0
M323	323	westbrookfield	2011	141867	892962	M_141867_892962	"LYON ROAD"	53	0
M323	323	westbrookfield	2011	141877	893834	M_141877_893834	"MILLER RD"	7	0
M323	323	westbrookfield	2011	141931	892247	M_141931_892247	"OFF WHEELER ROAD"	11	0
M323	323	westbrookfield	2011	141939	892553	M_141939_892553	"WHEELER ROAD"	6	0
M323	323	westbrookfield	2011	142018	892714	M_142018_892714	"LYON ROAD"	49	0
M323	323	westbrookfield	2011	142039	891439	M_142039_891439	"WEST MAIN STREET"	611	0
M323	323	westbrookfield	2011	142048	892567	M_142048_892567	"LYON ROAD"	36	0
M323	323	westbrookfield	2011	142075	893051	M_142075_893051	"KENNEDY ROAD"	18	0
M323	323	westbrookfield	2011	142097	894016	M_142097_894016	"MILLER RD"	38	0
M323	323	westbrookfield	2011	142106	892716	M_142106_892716	"LYON ROAD"	29	0
M323	323	westbrookfield	2011	142117	893633	M_142117_893633	"KENNEDY ROAD"	76	0
M323	323	westbrookfield	2011	142143	892562	M_142143_892562	"LYON ROAD"	32	0
M323	323	westbrookfield	2011	142150	893453	M_142150_893453	"OFF KENNEDY RD"	0	0
M323	323	westbrookfield	2011	142198	889426	M_142198_889426	"COY HILL RD"	85	0
M323	323	westbrookfield	2011	142210	892700	M_142210_892700	"LYON ROAD"	27	0
M323	323	westbrookfield	2011	142211	892556	M_142211_892556	"LYON ROAD"	28	0
M323	323	westbrookfield	2011	142269	890339	M_142269_890339	"WEST MAIN STREET"	466	0
M323	323	westbrookfield	2011	142307	893864	M_142307_893864	"KENNEDY ROAD"	94	0
M323	323	westbrookfield	2011	142307	894072	M_142307_894072	"MILLER RD"	48	0
M323	323	westbrookfield	2011	142309	891073	M_142309_891073	"WEST MAIN STREET"	586	0
M323	323	westbrookfield	2011	142317	893679	M_142317_893679	"KENNEDY ROAD"	80	0
M323	323	westbrookfield	2011	142327	891172	M_142327_891172	"WEST MAIN STREET"	593	0
M323	323	westbrookfield	2011	142361	891098	M_142361_891098	"WEST MAIN STREET"	585	0
M323	323	westbrookfield	2011	142393	893180	M_142393_893180	"KENNEDY ROAD"	44	0
M323	323	westbrookfield	2011	142394	892998	M_142394_892998	"KENNEDY ROAD"	30	0
M323	323	westbrookfield	2011	142401	893064	M_142401_893064	"KENNEDY ROAD"	34	0
M323	323	westbrookfield	2011	142414	889312	M_142414_889312	"COY HILL RD"	70	0
M323	323	westbrookfield	2011	142417	892684	M_142417_892684	"LYON ROAD"	11	0
M323	323	westbrookfield	2011	142430	892892	M_142430_892892	"KENNEDY ROAD"	24	0
M323	323	westbrookfield	2011	142467	892072	M_142467_892072	"RAGGED HILL ROAD"	234	0
M323	323	westbrookfield	2011	142483	893442	M_142483_893442	"KENNEDY ROAD"	62	0
M323	323	westbrookfield	2011	142494	891292	M_142494_891292	"ROCKHURST HILL RD"	19	0
M323	323	westbrookfield	2011	142495	893717	M_142495_893717	"KENNEDY ROAD"	78	0
M323	323	westbrookfield	2011	142530	890793	M_142530_890793	"WEST MAIN STREET"	563	0
M323	323	westbrookfield	2011	142531	893133	M_142531_893133	"KENNEDY ROAD"	38	0
M323	323	westbrookfield	2011	142549	890738	M_142549_890738	"WEST MAIN STREET"	557	0
M323	323	westbrookfield	2011	142580	890586	M_142580_890586	"WEST MAIN STREET"	537	0
M323	323	westbrookfield	2011	142581	890700	M_142581_890700	"WELCOME ROAD"	8	0
M323	323	westbrookfield	2011	142589	890563	M_142589_890563	"WEST MAIN STREET"	535	0
M323	323	westbrookfield	2011	142598	890546	M_142598_890546	"WEST MAIN STREET"	531	0
M323	323	westbrookfield	2011	142602	890949	M_142602_890949	"WEST MAIN STREET"	575	0
M323	323	westbrookfield	2011	142608	890528	M_142608_890528	"WEST MAIN STREET"	529	0
