LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_289433_2871119	"GRANVILLE RD"	1715	0	88219.4	875119
F_290111_2869511	"GRANVILLE RD"	0	0	88426	874629
F_290773_2869729	"GRANVILLE RD"	0	0	88627.8	874695
F_291161_2869436	"GRANVILLE RD"	0	0	88746.1	874606
F_291464_2869790	"GRANVILLE RD"	1779	0	88838.4	874714
F_291475_2869192	"GRANVILLE RD"	1780	0	88841.8	874531
F_291537_2873133	"WEST PARISH"	0	0	88860.7	875733
F_291852_2869845	"GRANVILLE RD"	0	0	88956.7	874731
F_292218_2869607	"GRANVILLE RD"	1714	0	89068.2	874658
F_292689_2871559	"GRANVILLE RD"	1515	0	89211.8	875253
F_293076_2875878	"WESTFIELD MT"	0	0	89329.7	876569
F_293194_2867188	"GRANVILLE RD"	0	0	89365.7	873921
F_293347_2866516	"HONEY POT RD"	0	0	89412.3	873716
F_293859_2869069	"GRANVILLE RD"	1515	0	89568.4	874494
F_294025_2867482	"GRANVILLE RD"	0	0	89619	874010
F_294075_2866247	"HONEY POT RD"	0	0	89634.2	873634
F_294176_2877362	"WESTERN AV"	0	0	89665	877022
F_294904_2875340	"NORTH WEST RD"	301	0	89886.9	876405
F_294920_2865264	"HONEY POT RD"	269	0	89891.8	873334
F_295188_2873283	"NORTH WEST RD"	0	0	89973.5	875778
F_295209_2876511	"WESTERN AV"	0	0	89979.9	876762
F_295332_2867147	"HONEY POT RD"	0	0	90017.4	873908
F_295357_2874453	"NORTH WEST RD"	307	0	90025	876135
F_295652_2871767	"GRANVILLE RD"	0	0	90114.9	875316
F_295900_2872666	"NORTH WEST RD"	395	0	90190.5	875590
F_296105_2870743	"GRANVILLE RD"	1388	0	90253	875004
F_296134_2870423	"GRANVILLE RD"	1408	0	90261.8	874907
F_296208_2866496	"HONEY POT RD"	0	0	90284.4	873710
F_296261_2876549	"WESTERN AV"	1168	0	90300.5	876774
F_296283_2870827	"GRANVILLE RD"	1368	0	90307.2	875030
F_296296_2877885	"WESTERN AV"	1304	0	90311.2	877181
F_296299_2865425	"HONEY POT RD"	261	0	90312.1	873383
F_296316_2864930	"HONEY POT RD"	0	0	90317.3	873232
F_296316_2865696	"HONEY POT RD"	0	0	90317.3	873466
F_296370_2864749	"HONEY POT RD"	0	0	90333.8	873177
F_296387_2864652	"HONEY POT RD"	0	0	90338.9	873148
F_296390_2867657	"HONEY POT RD"	177	0	90339.9	874064
F_296417_2864533	"HONEY POT RD"	291	0	90348.1	873111
F_296440_2877785	"WESTERN AV"	1294	0	90355.1	877151
F_296446_2867265	"HONEY POT RD"	189	0	90356.9	873944
F_296447_2871307	"GRANVILLE RD"	0	0	90357.2	875176
F_296450_2865895	"HONEY POT RD"	239	0	90358.1	873527
F_296460_2866044	"HONEY POT RD"	235	0	90361.2	873572
F_296521_2877584	"WESTERN AV"	0	0	90379.8	877089
F_296535_2866647	"HONEY POT RD"	215	0	90384	873756
F_296551_2876850	"OLD QUARRY RD"	42	0	90388.9	876866
F_296566_2877800	"WESTERN AV"	0	0	90393.5	877155
F_296568_2864403	"HONEY POT RD"	299	0	90394.1	873072
F_296577_2877626	"WESTERN AV"	1280	0	90396.9	877102
F_296599_2877024	"OLD QUARRY RD"	48	0	90403.6	876919
F_296607_2868183	"HONEY POT RD"	169	0	90406	874224
F_296671_2877151	"OLD QUARRY RD"	52	0	90425.5	876957
F_296675_2876654	"OLD QUARRY RD"	36	0	90426.7	876806
F_296722_2876218	"NORTH WEST RD"	257	0	90441	876673
F_296749_2877789	"WESTERN AV"	1272	0	90449.3	877152
F_296764_2875076	"NORTH WEST RD"	0	0	90453.8	876325
F_296778_2876563	"OLD QUARRY RD"	32	0	90458.1	876778
F_296792_2865810	"HONEY POT RD"	240	0	90462.4	873501
F_296797_2870886	"GRANVILLE RD"	1346	0	90463.9	875048
F_296815_2876826	"OLD QUARRY RD"	45	0	90469.4	876858
F_296822_2865541	"HONEY POT RD"	250	0	90471.5	873419
F_296827_2877211	"OLD QUARRY RD"	56	0	90473.1	876976
F_296827_2877600	"BRAMBLE HILL RD"	0	0	90473.1	877094
F_296878_2868852	"HONEY POT RD"	123	0	90488.6	874428
F_296885_2876496	"OLD QUARRY RD"	26	0	90490.7	876758
F_296892_2874753	"NORTH WEST RD"	307	0	90492.9	876226
F_296908_2876957	"OLD QUARRY RD"	53	0	90497.7	876898
F_296932_2876744	"OLD QUARRY RD"	31	0	90505.1	876833
