LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_239487_948730	"RIVERCREST DR"	29	0	239487	948730
M_239497_948685	"RIVERCREST DR"	31	0	239497	948685
M_239498_948805	"RIVERCREST DR"	25	0	239498	948805
M_239500_948760	"RIVERCREST DR"	27	0	239500	948760
M_239506_948949	"TWIG RUSH LN"	6	0	239506	948949
M_239526_949013	"TWIG RUSH LN"	9	0	239526	949013
M_239540_948386	"FARM LN"	23	0	239540	948386
M_239544_948257	"FARM LN"	22	0	239544	948257
M_239558_949038	"TWIG RUSH LN"	7	0	239558	949038
M_239577_948737	"RIVERCREST DR"	26	0	239577	948737
M_239586_948696	"RIVERCREST DR"	28	0	239586	948696
M_239594_949088	"TWIG RUSH LN"	5	0	239594	949088
M_239602_948770	"RIVERCREST DR"	24	0	239602	948770
M_239609_948638	"RIVERCREST DR"	30	0	239609	948638
M_239654_948837	"RIVERCREST DR"	20	0	239654	948837
M_239656_948944	"TWIG RUSH LN"	1	0	239656	948944
M_239677_948407	"CHESTNUT ST EXT"	4	0	239677	948407
M_239690_948890	"RIVERCREST DR"	18	0	239690	948890
M_239696_948819	"SUMMER SWEET LN"	5	0	239696	948819
M_239698_948487	"CHESTNUT ST"	19	0	239698	948487
M_239707_949082	"RIVERCREST DR"	11	0	239707	949082
M_239708_949024	"RIVERCREST DR"	13	0	239708	949024
M_239714_948323	"CHESTNUT ST"	23	0	239714	948323
M_239717_948768	"SUMMER SWEET LN"	7	0	239717	948768
M_239723_948375	"CHESTNUT ST"	21	0	239723	948375
M_239744_948843	"SUMMER SWEET LN"	3	0	239744	948843
M_239752_948922	"MEADOW SWEET RD"	20	0	239752	948922
M_239766_948319	"CHESTNUT ST"	22	0	239766	948319
M_239771_948443	"CHESTNUT ST"	17	0	239771	948443
M_239771_948751	"SUMMER SWEET LN"	6	0	239771	948751
M_239773_949150	"RIVERCREST DR"	7	0	239773	949150
M_239784_949233	"RIVERCREST DR"	1	0	239784	949233
M_239786_948241	"MAIN ST"	22	0	239786	948241
M_239791_949010	"MEADOW SWEET RD"	21	0	239791	949010
M_239793_948872	"SUMMER SWEET LN"	1	0	239793	948872
M_239798_948791	"SUMMER SWEET LN"	4	0	239798	948791
M_239812_948364	"CHESTNUT HILL ST"	9	0	239812	948364
M_239814_948567	"MEADOW SWEET RD"	8	0	239814	948567
M_239822_948958	"MEADOW SWEET RD"	19	0	239822	948958
M_239829_948532	"MEADOW SWEET RD"	6	0	239829	948532
