town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M333	333	weston	2011	213532	904634	M_213532_904634	"SUDBURY RD"	0	0
M333	333	weston	2011	213607	903906	M_213607_903906	"SUDBURY RD"	148	0
M333	333	weston	2011	213609	904031	M_213609_904031	"SUDBURY RD"	147	0
M333	333	weston	2011	213639	903896	M_213639_903896	"SUDBURY RD"	144	0
M333	333	weston	2011	213687	903887	M_213687_903887	"SUDBURY RD"	136	0
M333	333	weston	2011	213712	904075	M_213712_904075	"SUDBURY RD"	0	0
M333	333	weston	2011	213712	904248	M_213712_904248	"SUDBURY RD"	0	0
M333	333	weston	2011	213714	904023	M_213714_904023	"SUDBURY RD"	133	0
M333	333	weston	2011	213720	904661	M_213720_904661	"SUDBURY RD"	0	0
M333	333	weston	2011	213749	903905	M_213749_903905	"SUDBURY RD"	128	0
M333	333	weston	2011	213755	903584	M_213755_903584	"RIPLEY LN"	0	0
M333	333	weston	2011	213759	904033	M_213759_904033	"SUDBURY RD"	127	0
M333	333	weston	2011	213792	903797	M_213792_903797	"SUDBURY RD"	0	0
M333	333	weston	2011	213794	901739	M_213794_901739	"PLAIN RD"	0	0
M333	333	weston	2011	213798	903172	M_213798_903172	"RIPLEY LN"	0	0
M333	333	weston	2011	213807	901668	M_213807_901668	"PLAIN RD"	0	0
M333	333	weston	2011	213815	901598	M_213815_901598	"PLAIN RD"	0	0
M333	333	weston	2011	213817	901821	M_213817_901821	"BOSTON POST RD"	0	0
M333	333	weston	2011	213847	904073	M_213847_904073	"SUDBURY RD"	111	0
M333	333	weston	2011	213854	904925	M_213854_904925	"CONCORD RD"	0	0
M333	333	weston	2011	213860	901561	M_213860_901561	"PLAIN RD"	29	0
M333	333	weston	2011	213861	901240	M_213861_901240	"APPLE CREST RD"	3	0
M333	333	weston	2011	213868	901190	M_213868_901190	"APPLE CREST RD"	11	0
M333	333	weston	2011	213872	901141	M_213872_901141	"APPLE CREST RD"	17	0
M333	333	weston	2011	213874	901038	M_213874_901038	"APPLE CREST RD"	33	0
M333	333	weston	2011	213875	900974	M_213875_900974	"APPLE CREST RD"	41	0
M333	333	weston	2011	213875	901091	M_213875_901091	"APPLE CREST RD"	25	0
M333	333	weston	2011	213882	900907	M_213882_900907	"APPLE CREST RD"	49	0
M333	333	weston	2011	213882	901344	M_213882_901344	"BOSTON POST RD"	863	0
M333	333	weston	2011	213885	901506	M_213885_901506	"PLAIN RD"	21	0
M333	333	weston	2011	213885	903482	M_213885_903482	"RIPLEY LN"	44	0
M333	333	weston	2011	213889	902732	M_213889_902732	"BOSTON POST RD"	0	0
