town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M325	325	westspringfield	2011	101615	873672	F_333381_2866373	"WESTFIELD ST"	2648	0
M325	325	westspringfield	2011	101631	873607	F_333434_2866160	"WESTFIELD ST"	2667	0
M325	325	westspringfield	2011	101675	873763	F_333578_2866672	"OLD WESTFIELD RD"	33	0
M325	325	westspringfield	2011	101704	873788	F_333675_2866754	"OLD WESTFIELD RD"	41	0
M325	325	westspringfield	2011	101710	873847	F_333692_2866945	"SIKES AVE"	11	0
M325	325	westspringfield	2011	101719	873888	F_333722_2867080	"SIKES AVE"	19	0
M325	325	westspringfield	2011	101740	873822	F_333792_2866863	"WESTFIELD ST"	2626	0
M325	325	westspringfield	2011	101742	873904	F_333799_2867135	"SIKES AVE"	29	0
M325	325	westspringfield	2011	101788	875221	F_333948_2871455	"PROSPECT AVE"	1583	0
M325	325	westspringfield	2011	101808	873844	F_334014_2866938	"WESTFIELD ST"	2610	0
M325	325	westspringfield	2011	101815	873885	F_334037_2867071	"SIKES AVE"	32	0
M325	325	westspringfield	2011	101828	873912	F_334081_2867161	"SIKES AVE"	40	0
M325	325	westspringfield	2011	101849	873941	F_334148_2867255	"SIKES AVE"	46	0
M325	325	westspringfield	2011	101850	874195	F_334153_2868088	"SIKES AVE"	113	0
M325	325	westspringfield	2011	101854	873658	F_334166_2866326	"WESTFIELD ST"	2611	0
M325	325	westspringfield	2011	101854	873977	F_334167_2867374	"SIKES AVE"	58	0
M325	325	westspringfield	2011	101858	873749	F_334180_2866624	"WESTFIELD ST"	2620	0
M325	325	westspringfield	2011	101862	874059	F_334191_2867641	"SIKES AVE"	86	0
M325	325	westspringfield	2011	101865	874026	F_334201_2867535	"SIKES AVE"	76	0
M325	325	westspringfield	2011	101870	874109	F_334217_2867806	"SIKES AVE"	100	0
M325	325	westspringfield	2011	101899	873998	F_334312_2867441	"SIKES AVE"	66	0
M325	325	westspringfield	2011	101902	874109	F_334324_2867806	"SIKES AVE"	134	0
M325	325	westspringfield	2011	101907	874233	F_334341_2868213	"SIKES AVE"	123	0
M325	325	westspringfield	2011	101913	874067	F_334358_2867669	"SIKES AVE"	144	0
M325	325	westspringfield	2011	101914	874182	F_334364_2868047	"SIKES AVE"	131	0
