LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_723620_2899263	"STONEGATE LN"	0	0	220560	883697
F_723659_2898739	"HIGH ST"	1686	0	220572	883537
F_723677_2899035	"HIGH ST"	1689	0	220577	883628
F_723735_2899244	"STONEGATE LN"	3	0	220595	883691
F_723790_2898599	"HIGH ST"	1666	0	220612	883495
F_723819_2899442	"STONEGATE LN"	5	0	220620	883752
F_723849_2898960	"HIGH ST"	1683	0	220630	883605
F_723883_2899603	"STONEGATE LN"	7	0	220640	883801
F_723897_2899739	"STONEGATE LN"	9	0	220644	883842
F_723937_2898486	"HIGH ST"	1652	0	220656	883460
F_723950_2898843	"HIGH ST"	1665	0	220660	883569
F_723988_2899034	"BLUEBERRY LN"	20	0	220672	883627
F_724001_2898801	"HIGH ST"	1663	0	220676	883556
F_724002_2899818	"STONEGATE LN"	11	0	220676	883866
F_724013_2900491	"STONEGATE LN"	21	0	220680	884071
F_724022_2900227	"STONEGATE LN"	17	0	220682	883991
F_724033_2899137	"BLUEBERRY LN"	30	0	220686	883659
F_724040_2900089	"STONEGATE LN"	15	0	220688	883949
F_724040_2900665	"STONEGATE LN"	23	0	220688	884124
F_724043_2898785	"HIGH ST &BLUEBERRY"	0	0	220689	883551
F_724049_2899946	"STONEGATE LN"	13	0	220691	883905
F_724068_2900297	"STONEGATE LN"	19	0	220696	884012
F_724079_2899243	"BLUEBERRY LN"	40	0	220700	883691
F_724123_2899350	"BLUEBERRY LN"	54	0	220713	883724
F_724198_2899441	"BLUEBERRY LN"	64	0	220736	883751
F_724241_2898749	"HIGH ST"	1645	0	220749	883540
F_724271_2898099	"HIGH ST & NORTH"	0	0	220758	883342
F_724291_2899520	"BLUEBERRY LN"	72	0	220764	883775
F_724297_2898642	"HIGH ST"	1625	0	220766	883508
F_724331_2900672	"HIGHVIEW ST"	136	0	220777	884127
F_724334_2902072	"HIGH ST"	0	0	220777	884553
F_724335_2898285	"HIGH ST"	1630	0	220778	883399
F_724337_2900593	"HIGHVIEW ST"	128	0	220778	884103
F_724356_2900520	"HIGHVIEW ST"	122	0	220784	884080
F_724361_2898842	"BLUEBERRY LN"	25	0	220786	883569
F_724363_2899736	"BLUEBERRY LN"	86	0	220786	883841
F_724375_2900446	"HIGHVIEW ST"	116	0	220790	884058
F_724379_2898948	"BLUEBERRY LN"	35	0	220791	883601
F_724387_2901619	"HARTFORD ST"	0	0	220794	884415
F_724388_2899586	"BLUEBERRY LN"	82	0	220794	883796
F_724393_2900373	"HIGHVIEW ST"	110	0	220795	884035
F_724412_2900301	"HIGHVIEW ST"	104	0	220801	884014
F_724416_2900204	"HIGHVIEW ST"	98	0	220802	883984
F_724428_2899046	"BLUEBERRY LN"	45	0	220806	883631
F_724429_2898300	"HIGH ST"	1624	0	220806	883404
F_724454_2899179	"BLUEBERRY LN"	61	0	220814	883672
F_724455_2900055	"HIGHVIEW ST"	92	0	220814	883939
F_724503_2898638	"HIGH ST"	1609	0	220829	883507
F_724543_2898294	"HIGH ST"	1612	0	220841	883402
F_724544_2899243	"BLUEBERRY LN"	77	0	220841	883691
F_724545_2899737	"BLUEBERRY LN"	90	0	220842	883842
F_724573_2901444	"PHEASANT HILL ST R"	0	0	220850	884362
F_724591_2899986	"HIGHVIEW ST"	86	0	220856	883918
F_724606_2900725	"JUNE ST"	29	0	220860	884143
F_724619_2900946	"PHEASANT HILL ST R"	0	0	220864	884210
F_724639_2898644	"HIGH ST"	1601	0	220870	883508
F_724639_2903004	"HARTFORD ST"	624	0	220870	884837
F_724643_2900530	"JUNE ST"	26	0	220872	884083
F_724653_2899231	"BLUEBERRY LN"	89	0	220875	883687
F_724654_2902485	"HARTFORD ST"	0	0	220875	884679
F_724661_2897595	"STANFORD DR"	0	0	220877	883189
F_724673_2898332	"HIGH ST"	1602	0	220881	883413
F_724680_2900738	"JUNE ST"	23	0	220883	884147
F_724690_2899591	"BLUEBERRY LN"	94	0	220886	883797
F_724702_2900254	"HIGHVIEW ST"	89	0	220890	883999
F_724717_2900544	"JUNE ST"	24	0	220894	884088
F_724718_2898010	"STANFORD DR"	185	0	220894	883315
