town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M337	337	whately	2012	102355	908663	M_102355_908663	"LAUREL MTN RD"	15	0
M337	337	whately	2012	102656	910715	M_102656_910715	"POPLAR HILL RD"	21R	0
M337	337	whately	2012	102663	909162	M_102663_909162	"WEBBER RD"	51	0
M337	337	whately	2012	102666	910787	M_102666_910787	"CONWAY RD"	176	0
M337	337	whately	2012	102669	910436	M_102669_910436	"CONWAY RD"	153	0
M337	337	whately	2012	102682	910415	M_102682_910415	"CONWAY RD"	151	0
M337	337	whately	2012	102699	910574	M_102699_910574	"POPLAR HILL RD"	21	0
M337	337	whately	2012	102703	910857	M_102703_910857	"POPLAR HILL RD"	31	0
M337	337	whately	2012	102732	910780	M_102732_910780	"POPLAR HILL RD"	25	0
M337	337	whately	2012	102750	911413	M_102750_911413	"POPLAR HILL RD"	61	0
M337	337	whately	2012	102752	910445	M_102752_910445	"CONWAY RD"	148	0
M337	337	whately	2012	102752	910929	M_102752_910929	"POPLAR HILL RD"	35	0
M337	337	whately	2012	102753	911105	M_102753_911105	"POPLAR HILL RD"	45	0
M337	337	whately	2012	102762	910649	M_102762_910649	"POPLAR HILL RD"	19	0
M337	337	whately	2012	102774	910568	M_102774_910568	"POPLAR HILL RD"	11	0
M337	337	whately	2012	102780	908342	M_102780_908342	"LAUREL MTN RD"	11	0
M337	337	whately	2012	102782	910500	M_102782_910500	"POPLAR HILL RD"	5	0
M337	337	whately	2012	102821	910917	M_102821_910917	"POPLAR HILL RD"	36	0
M337	337	whately	2012	102833	910338	M_102833_910338	"CONWAY RD"	141	0
M337	337	whately	2012	102843	910451	M_102843_910451	"POPLAR HILL RD"	4	0
M337	337	whately	2012	102884	909654	M_102884_909654	"WEBBER RD"	117	0
M337	337	whately	2012	102887	910376	M_102887_910376	"CONWAY RD"	140	0
M337	337	whately	2012	102909	910019	M_102909_910019	"WEBBER RD"	133	0
M337	337	whately	2012	102925	910440	M_102925_910440	"CONWAY RD"	144	0
M337	337	whately	2012	102950	910863	M_102950_910863	"POPLAR HILL RD"	28	0
M337	337	whately	2012	102966	910312	M_102966_910312	"CONWAY RD"	135	0
M337	337	whately	2012	103019	908536	M_103019_908536	"LAUREL MTN RD"	21	0
