town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M338	338	whitman	2011	243328	870765	F_798318_2856835	"TEMPLE ST"	0	0
M338	338	whitman	2011	243354	870265	F_798405_2855196	"HAYES AVE"	3	0
M338	338	whitman	2011	243355	870464	F_798407_2855846	"HAYES AVE"	0	0
M338	338	whitman	2011	243360	870623	F_798425_2856368	"TEMPLE ST"	0	0
M338	338	whitman	2011	243367	870371	F_798445_2855543	"HAYES AVE"	33	0
M338	338	whitman	2011	243377	870215	F_798480_2855029	"TEMPLE ST"	1030	0
M338	338	whitman	2011	243377	870896	F_798481_2857263	"ABINGTON LINE"	0	0
M338	338	whitman	2011	243379	870304	F_798485_2855323	"HAYES AVE"	0	0
M338	338	whitman	2011	243384	870276	F_798501_2855229	"TEMPLE ST"	1023	0
M338	338	whitman	2011	243388	870774	F_798514_2856866	"ABINGTON LINE"	0	0
M338	338	whitman	2011	243397	869733	F_798546_2853450	"AUBURN ST"	0	0
M338	338	whitman	2011	243400	870473	F_798556_2855877	"TEMPLE ST"	0	0
M338	338	whitman	2011	243402	870006	F_798562_2854344	"AUBURN ST"	0	0
M338	338	whitman	2011	243404	869721	F_798568_2853410	"AUBURN ST"	1300	0
M338	338	whitman	2011	243406	870140	F_798574_2854785	"TEMPLE ST"	0	0
M338	338	whitman	2011	243409	870216	F_798585_2855034	"TEMPLE ST"	1024	0
M338	338	whitman	2011	243413	870061	F_798598_2854526	"TEMPLE ST"	0	0
M338	338	whitman	2011	243416	869693	F_798607_2853318	"AUBURN ST"	1276	0
M338	338	whitman	2011	243418	870541	F_798614_2856101	"LOMBARD AV"	0	0
M338	338	whitman	2011	243424	870356	F_798633_2855494	"TEMPLE ST"	0	0
M338	338	whitman	2011	243429	870757	F_798651_2856810	"TEMPLE ST"	0	0
M338	338	whitman	2011	243447	869646	F_798709_2853165	"AUBURN ST"	0	0
M338	338	whitman	2011	243452	870637	F_798725_2856416	"TEMPLE ST"	0	0
M338	338	whitman	2011	243452	870482	F_798726_2855905	"LOMBARD AV"	0	0
M338	338	whitman	2011	243455	870586	F_798735_2856249	"KIMBERLY DR"	0	0
M338	338	whitman	2011	243456	870914	F_798738_2857325	"ABINGTON LINE"	0	0
M338	338	whitman	2011	243468	870424	F_798778_2855715	"LOMBARD AV"	48	0
M338	338	whitman	2011	243474	870386	F_798797_2855590	"LOMBARD AV"	0	0
M338	338	whitman	2011	243480	870347	F_798816_2855465	"LOMBARD AV"	0	0
M338	338	whitman	2011	243487	870309	F_798839_2855338	"TEMPLE ST"	987	0
M338	338	whitman	2011	243497	870867	F_798872_2857169	"COHOLAN DR"	8	0
M338	338	whitman	2011	243500	870795	F_798884_2856933	"COHOLAN DR"	6	0
M338	338	whitman	2011	243504	869190	F_798896_2851667	"AUBURN ST"	0	0
M338	338	whitman	2011	243509	870453	F_798912_2855812	"LOMBARD AV"	49	0
M338	338	whitman	2011	243512	870551	F_798923_2856133	"PORTER ST"	60	0
M338	338	whitman	2011	243514	869924	F_798928_2854075	"AUBURN ST"	1275	0
M338	338	whitman	2011	243518	870127	F_798942_2854742	"TEMPLE ST"	0	0
M338	338	whitman	2011	243518	870500	F_798942_2855964	"PORTER ST"	56	0
M338	338	whitman	2011	243518	870395	F_798943_2855621	"LOMBARD AV"	29	0
M338	338	whitman	2011	243520	870732	F_798950_2856726	"COHOLAN DR"	4	0
M338	338	whitman	2011	243526	870352	F_798967_2855481	"LOMBARD AV"	17	0
M338	338	whitman	2011	243531	869348	F_798986_2852186	"AUBURN ST"	0	0
