town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M340	340	williamsburg	2013	100002	904160	M_100002_904160	"MAIN ST"	88	0
M340	340	williamsburg	2013	100004	906172	M_100004_906172	"DEPOT RD"	47	0
M340	340	williamsburg	2013	100018	908238	M_100018_908238	"NASH HILL RD"	115	0
M340	340	williamsburg	2013	100019	904549	M_100019_904549	"KELLOGG RD"	5	0
M340	340	williamsburg	2013	100020	910703	M_100020_910703	"HEN HAWK TR"	42	0
M340	340	williamsburg	2013	100022	904287	M_100022_904287	"MAIN ST"	85	0
M340	340	williamsburg	2013	100034	904183	M_100034_904183	"MAIN ST"	90	0
M340	340	williamsburg	2013	100048	904266	M_100048_904266	"MAIN ST"	87	0
M340	340	williamsburg	2013	100050	908357	M_100050_908357	"NASH HILL RD"	121	0
M340	340	williamsburg	2013	100067	906474	M_100067_906474	"DEPOT RD"	59	0
M340	340	williamsburg	2013	100067	908048	M_100067_908048	"NASH HILL RD"	108	0
M340	340	williamsburg	2013	100072	906320	M_100072_906320	"DEPOT RD"	55	0
M340	340	williamsburg	2013	100079	908313	M_100079_908313	"NASH HILL RD"	117	0
M340	340	williamsburg	2013	100080	908322	M_100080_908322	"NASH HILL RD"	117	0
M340	340	williamsburg	2013	100082	908489	M_100082_908489	"NASH HILL RD"	123	0
M340	340	williamsburg	2013	100095	904300	M_100095_904300	"MAIN ST"	89	0
M340	340	williamsburg	2013	100101	904142	M_100101_904142	"MAIN ST"	92	0
M340	340	williamsburg	2013	100113	903935	M_100113_903935	"WALPOLE RD"	40	0
M340	340	williamsburg	2013	100117	905417	M_100117_905417	"DEPOT RD"	16	0
M340	340	williamsburg	2013	100129	908061	M_100129_908061	"NASH HILL RD"	110	0
M340	340	williamsburg	2013	100139	911748	M_100139_911748	"HEN HAWK TR"	88	0
M340	340	williamsburg	2013	100147	911426	M_100147_911426	"HEN HAWK TR"	74	0
M340	340	williamsburg	2013	100167	904274	M_100167_904274	"MAIN ST"	93	0
M340	340	williamsburg	2013	100185	907202	M_100185_907202	"DEPOT RD"	72	0
M340	340	williamsburg	2013	100186	906316	M_100186_906316	"DEPOT RD"	54	0
M340	340	williamsburg	2013	100196	908920	M_100196_908920	"NASH HILL RD"	145	0
M340	340	williamsburg	2013	100228	904255	M_100228_904255	"MAIN ST"	95	0
M340	340	williamsburg	2013	100234	909149	M_100234_909149	"NASH HILL RD"	155	0
M340	340	williamsburg	2013	100238	904516	M_100238_904516	"MAIN ST"	91	0
M340	340	williamsburg	2013	100255	904191	M_100255_904191	"MAIN ST"	97	0
M340	340	williamsburg	2013	100276	904252	M_100276_904252	"MAIN ST"	97	0
