town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M344	344	winchester	2011	225616	910948	F_740207_2988670	"THORNBERRY RD"	0	0
M344	344	winchester	2011	225667	910869	F_740375_2988410	"THORNBERRY RD"	0	0
M344	344	winchester	2011	225726	911170	F_740569_2989397	"THORNBERRY RD"	0	0
M344	344	winchester	2011	225736	910769	F_740601_2988082	"THORNBERRY RD"	0	0
M344	344	winchester	2011	225752	910800	F_740655_2988184	"THORNBERRY RD"	57	0
M344	344	winchester	2011	225753	910834	F_740657_2988294	"THORNBERRY RD"	55	0
M344	344	winchester	2011	225766	910733	F_740702_2987964	"THORNBERRY RD"	61	0
M344	344	winchester	2011	225771	910768	F_740718_2988077	"THORNBERRY RD"	59	0
M344	344	winchester	2011	225784	910692	F_740761_2987829	"THORNBERRY RD"	63	0
M344	344	winchester	2011	225786	910862	F_740767_2988388	"THORNBERRY RD"	53	0
M344	344	winchester	2011	225805	910647	F_740828_2987682	"THORNBERRY RD"	65	0
M344	344	winchester	2011	225826	910761	F_740899_2988054	"THORNBERRY RD"	58	0
M344	344	winchester	2011	225827	910608	F_740902_2987552	"THORNBERRY RD"	67	0
M344	344	winchester	2011	225832	910725	F_740918_2987937	"NASSAU DR"	2	0
M344	344	winchester	2011	225842	910899	F_740951_2988507	"THORNBERRY RD"	49	0
M344	344	winchester	2011	225844	910795	F_740958_2988166	"THORNBERRY RD"	56	0
M344	344	winchester	2011	225845	910661	F_740960_2987726	"THORNBERRY RD"	0	0
M344	344	winchester	2011	225847	910823	F_740968_2988260	"THORNBERRY RD"	54	0
M344	344	winchester	2011	225855	910678	F_740991_2987784	"NASSAU DR"	1	0
M344	344	winchester	2011	225859	910574	F_741006_2987441	"THORNBERRY RD"	69	0
M344	344	winchester	2011	225860	910750	F_741008_2988018	"NASSAU DR"	4	0
M344	344	winchester	2011	225868	910915	F_741034_2988560	"THORNBERRY RD"	47	0
M344	344	winchester	2011	225876	910840	F_741061_2988314	"THORNBERRY RD"	50	0
M344	344	winchester	2011	225877	910638	F_741065_2987653	"THORNBERRY RD"	66	0
M344	344	winchester	2011	225878	911108	F_741068_2989194	"GERSHON WY"	1	0
M344	344	winchester	2011	225882	910694	F_741082_2987835	"NASSAU DR"	3	0
M344	344	winchester	2011	225886	910766	F_741094_2988070	"NASSAU DR"	6	0
M344	344	winchester	2011	225893	910931	F_741117_2988613	"THORNBERRY RD"	45	0
M344	344	winchester	2011	225896	910557	F_741127_2987385	"THORNBERRY RD"	71	0
M344	344	winchester	2011	225899	910858	F_741136_2988372	"THORNBERRY RD"	48	0
M344	344	winchester	2011	225911	910621	F_741176_2987596	"THORNBERRY RD"	70	0
M344	344	winchester	2011	225912	910783	F_741179_2988127	"NASSAU DR"	8	0
M344	344	winchester	2011	225912	910712	F_741181_2987894	"NASSAU DR"	5	0
M344	344	winchester	2011	225918	910948	F_741200_2988667	"THORNBERRY RD"	43	0
M344	344	winchester	2011	225922	910878	F_741213_2988440	"THORNBERRY RD"	46	0
M344	344	winchester	2011	225933	910804	F_741250_2988197	"NASSAU DR"	10	0
M344	344	winchester	2011	225937	910547	F_741263_2987353	"THORNBERRY RD"	73	0
M344	344	winchester	2011	225942	910730	F_741278_2987953	"NASSAU DR"	7	0
M344	344	winchester	2011	225944	910964	F_741284_2988720	"THORNBERRY RD"	41	0
M344	344	winchester	2011	225947	910612	F_741294_2987567	"THORNBERRY RD"	72	0
M344	344	winchester	2011	225947	910894	F_741295_2988493	"THORNBERRY RD"	44	0
M344	344	winchester	2011	225950	910830	F_741303_2988281	"NASSAU DR"	12	0
M344	344	winchester	2011	225956	910671	F_741323_2987759	"BERKSHIRE DR"	10	0
M344	344	winchester	2011	225970	910748	F_741371_2988011	"NASSAU DR"	9	0
M344	344	winchester	2011	225971	910979	F_741372_2988771	"THORNBERRY RD"	39	0
M344	344	winchester	2011	225972	910851	F_741376_2988350	"NASSAU DR"	14	0
M344	344	winchester	2011	225973	910911	F_741380_2988547	"THORNBERRY RD"	42	0
M344	344	winchester	2011	225979	910537	F_741399_2987319	"THORNBERRY RD"	75	0
M344	344	winchester	2011	225981	910602	F_741406_2987532	"THORNBERRY RD"	74	0
M344	344	winchester	2011	225988	910987	F_741430_2988798	"THORNBERRY RD"	0	0
M344	344	winchester	2011	225996	910768	F_741455_2988079	"NASSAU DR"	11	0
M344	344	winchester	2011	225998	910870	F_741463_2988414	"NASSAU DR"	16	0
M344	344	winchester	2011	226000	910926	F_741468_2988597	"CAPRI TR"	1	0
M344	344	winchester	2011	226002	910701	F_741475_2987859	"BERKSHIRE DR"	12	0
M344	344	winchester	2011	226006	910637	F_741489_2987647	"BERKSHIRE DR"	8	0
M344	344	winchester	2011	226011	911001	F_741503_2988844	"THORNBERRY RD"	37	0
M344	344	winchester	2011	226015	910792	F_741519_2988157	"NASSAU DR"	15	0
M344	344	winchester	2011	226017	910528	F_741523_2987291	"BERKSHIRE DR"	4	0
M344	344	winchester	2011	226020	910591	F_741533_2987497	"BERKSHIRE DR"	6	0
M344	344	winchester	2011	226024	910887	F_741548_2988470	"CAPRI TR"	3	0
M344	344	winchester	2011	226030	910485	F_741567_2987149	"BERKSHIRE DR"	2	0
M344	344	winchester	2011	226031	910729	F_741569_2987950	"BERKSHIRE DR"	14	0
M344	344	winchester	2011	226039	910809	F_741596_2988211	"NASSAU DR"	17	0
M344	344	winchester	2011	226047	910937	F_741623_2988634	"THORNBERRY RD"	36	0
M344	344	winchester	2011	226047	911013	F_741623_2988883	"THORNBERRY RD"	35	0
M344	344	winchester	2011	226065	910671	F_741682_2987759	"BERKSHIRE DR"	11	0
M344	344	winchester	2011	226066	910749	F_741685_2988017	"BERKSHIRE DR"	16	0
M344	344	winchester	2011	226068	910586	F_741693_2987482	"BERKSHIRE DR"	5	0
M344	344	winchester	2011	226069	910825	F_741695_2988266	"NASSAU DR"	19	0
M344	344	winchester	2011	226075	910895	F_741715_2988494	"NASSAU DR"	20	0
M344	344	winchester	2011	226077	910520	F_741720_2987264	"BERKSHIRE DR"	3	0
M344	344	winchester	2011	226078	911004	F_741725_2988851	"THORNBERRY RD"	33	0
M344	344	winchester	2011	226079	910932	F_741729_2988615	"THORNBERRY RD"	34	0
M344	344	winchester	2011	226080	910634	F_741731_2987638	"BERKSHIRE DR"	7	0
M344	344	winchester	2011	226088	910479	F_741756_2987129	"BERKSHIRE DR"	1	0
M344	344	winchester	2011	226093	910694	F_741775_2987834	"BERKSHIRE DR"	15	0
M344	344	winchester	2011	226098	910769	F_741789_2988081	"BERKSHIRE DR"	18	0
M344	344	winchester	2011	226100	910845	F_741798_2988329	"NASSAU DR"	21	0
M344	344	winchester	2011	226101	910582	F_741799_2987468	"THORNBERRY RD"	82	0
M344	344	winchester	2011	226104	911067	F_741809_2989058	"FAIRLANE TR"	9	0
M344	344	winchester	2011	226109	910995	F_741825_2988822	"THORNBERRY RD"	31	0
M344	344	winchester	2011	226110	910931	F_741829_2988612	"THORNBERRY RD"	32	0
M344	344	winchester	2011	226111	911036	F_741834_2988958	"FAIRLANE TR"	12	0
M344	344	winchester	2011	226118	910892	F_741855_2988486	"NASSAU DR"	22	0
M344	344	winchester	2011	226121	910461	F_741866_2987072	"JOHNSON RD"	135	0
M344	344	winchester	2011	226122	910509	F_741867_2987227	"THORNBERRY RD"	83	0
M344	344	winchester	2011	226126	910713	F_741881_2987896	"PARTRIDGE LN"	1	0
M344	344	winchester	2011	226130	910789	F_741896_2988147	"BERKSHIRE DR"	20	0
M344	344	winchester	2011	226132	910836	F_741902_2988300	"NASSAU DR"	23	0
M344	344	winchester	2011	226133	910666	F_741906_2987744	"PARTRIDGE LN"	3	0
M344	344	winchester	2011	226136	910583	F_741916_2987471	"THORNBERRY RD"	84	0
M344	344	winchester	2011	226141	910930	F_741930_2988610	"THORNBERRY RD"	30	0
M344	344	winchester	2011	226144	910988	F_741941_2988799	"THORNBERRY RD"	29	0
M344	344	winchester	2011	226148	911087	F_741954_2989124	"FAIRLANE TR"	7	0
M344	344	winchester	2011	226153	910415	F_741971_2986919	"JOHNSON RD"	134	0
M344	344	winchester	2011	226156	910887	F_741980_2988468	"NASSAU DR"	24	0
M344	344	winchester	2011	226157	911024	F_741984_2988917	"FAIRLANE TR"	10	0
M344	344	winchester	2011	226157	910518	F_741985_2987258	"THORNBERRY RD"	85	0
M344	344	winchester	2011	226159	909581	F_741989_2984184	"SKY LINE DR"	0	0
M344	344	winchester	2011	226163	910379	F_742002_2986803	"HIGH ST"	282	0
M344	344	winchester	2011	226163	910470	F_742003_2987100	"JOHNSON RD"	133	0
M344	344	winchester	2011	226163	910810	F_742004_2988215	"BERKSHIRE DR"	22	0
M344	344	winchester	2011	226164	910639	F_742006_2987656	"PARTRIDGE LN"	5	0
M344	344	winchester	2011	226166	911218	F_742012_2989555	"SQUIRE RD"	35	0
M344	344	winchester	2011	226167	911258	F_742016_2989684	"SQUIRE RD"	33	0
M344	344	winchester	2011	226170	909592	F_742027_2984220	"SKY LINE DR"	0	0
M344	344	winchester	2011	226171	910930	F_742030_2988609	"THORNBERRY RD"	28	0
M344	344	winchester	2011	226174	910589	F_742039_2987490	"THORNBERRY RD"	86	0
M344	344	winchester	2011	226174	910745	F_742040_2988001	"BERKSHIRE DR"	21	0
M344	344	winchester	2011	226175	911183	F_742043_2989439	"SQUIRE RD"	37	0
M344	344	winchester	2011	226176	911290	F_742046_2989790	"SQUIRE RD"	31	0
M344	344	winchester	2011	226177	911103	F_742048_2989177	"FAIRLANE TR"	5	0
M344	344	winchester	2011	226180	911354	F_742059_2989999	"SQUIRE RD"	27	0
M344	344	winchester	2011	226181	909607	F_742061_2984270	"SKY LINE DR"	0	0
M344	344	winchester	2011	226182	911320	F_742064_2989889	"SQUIRE RD"	29	0
M344	344	winchester	2011	226182	910988	F_742066_2988800	"THORNBERRY RD"	27	0
M344	344	winchester	2011	226185	911389	F_742076_2990114	"SQUIRE RD"	25	0
