LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_66926_917163	"OFF ROUTE 9"	0	0	66926	917163
M_67014_917299	"ROUTE 9"	5	0	67014	917299
M_67181_917260	"ROUTE 9"	35	0	67181	917260
M_67254_917106	"ROUTE 9"	0	0	67254	917106
M_67262_917703	"FLINTSTONE ROAD"	0	0	67262	917703
M_67270_918202	"FLINTSTONE ROAD"	0	0	67270	918202
M_67322_918427	"FLINTSTONE ROAD"	0	0	67322	918427
M_67396_916573	"BACK DALTON ROAD"	0	0	67396	916573
M_67510_918853	"FLINTSTONE ROAD"	0	0	67510	918853
M_67524_917295	"FLINTSTONE ROAD"	1819	0	67524	917295
M_67538_916977	"ROUTE 9"	176	0	67538	916977
M_67548_920123	"MONAHAN ROAD"	179	0	67548	920123
M_67562_919226	"FLINTSTONE ROAD"	1828	0	67562	919226
M_67589_919297	"FLINTSTONE ROAD"	1170	0	67589	919297
M_67596_920329	"MONAHAN ROAD"	0	0	67596	920329
M_67608_917622	"FLINTSTONE ROAD"	0	0	67608	917622
M_67623_920104	"MONAHAN ROAD"	151	0	67623	920104
M_67628_919443	"FLINTSTONE ROAD"	0	0	67628	919443
M_67654_919515	"FLINTSTONE ROAD"	0	0	67654	919515
M_67674_919589	"FLINTSTONE ROAD"	0	0	67674	919589
M_67697_919661	"FLINTSTONE ROAD"	0	0	67697	919661
M_67699_920083	"MONAHAN ROAD"	161	0	67699	920083
M_67716_919734	"FLINTSTONE ROAD"	1014	0	67716	919734
M_67736_919807	"FLINTSTONE ROAD"	1000	0	67736	919807
M_67747_917561	"ROUTE 9"	201	0	67747	917561
M_67755_919879	"FLINTSTONE ROAD"	0	0	67755	919879
M_67773_920065	"MONAHAN ROAD"	0	0	67773	920065
M_67791_917409	"ROUTE 9"	265	0	67791	917409
M_67794_920457	"MONAHAN ROAD"	0	0	67794	920457
M_67845_920046	"MONAHAN ROAD"	0	0	67845	920046
M_67870_920436	"MONAHAN ROAD"	102	0	67870	920436
M_67893_917417	"ROUTE 9"	301	0	67893	917417
M_67919_920027	"MONAHAN ROAD"	0	0	67919	920027
M_67934_918040	"ROUTE 9"	0	0	67934	918040
M_67946_920419	"MONAHAN ROAD"	82	0	67946	920419
M_67993_920006	"MONAHAN ROAD"	0	0	67993	920006
M_68024_920400	"MONAHAN ROAD"	48	0	68024	920400
M_68036_916904	"BACK DALTON ROAD"	0	0	68036	916904
M_68041_919918	"FLINTSTONE ROAD"	0	0	68041	919918
M_68076_920061	"MONAHAN ROAD"	35	0	68076	920061
M_68107_918018	"ROUTE 9"	531	0	68107	918018
M_68129_917565	"ROUTE 9"	381	0	68129	917565
M_68150_920375	"MONAHAN ROAD"	32	0	68150	920375
M_68152_918708	"OFF FLINTSTONE ROAD"	0	0	68152	918708
M_68157_922066	"OFF NORTH STREET"	0	0	68157	922066
M_68160_920020	"FLINTSTONE ROAD"	879	0	68160	920020
M_68216_919900	"FLINTSTONE ROAD"	0	0	68216	919900
M_68226_920012	"FLINTSTONE ROAD"	833	0	68226	920012
M_68237_920784	"OFF DRISCOLL ROAD"	0	0	68237	920784
M_68264_920336	"FLINTSTONE ROAD"	832	0	68264	920336
M_68266_919702	"FLINTSTONE ROAD"	0	0	68266	919702
M_68267_919428	"FLINTSTONE ROAD"	0	0	68267	919428
M_68301_919995	"FLINTSTONE ROAD"	801	0	68301	919995
M_68327_923251	"OFF NORTH STREET"	0	0	68327	923251
M_68388_920311	"FLINTSTONE ROAD"	788	0	68388	920311
M_68418_921519	"DRISCOLL ROAD"	160	0	68418	921519
M_68420_917616	"BACK DALTON ROAD"	0	0	68420	917616
M_68428_916695	"BACK DALTON ROAD"	0	0	68428	916695
M_68468_917323	"BACK DALTON ROAD"	0	0	68468	917323
M_68478_919989	"FLINTSTONE ROAD"	751	0	68478	919989
M_68480_922941	"NORTH STREET"	1581	0	68480	922941
M_68487_919886	"FLINTSTONE ROAD"	811	0	68487	919886
M_68529_920308	"FLINTSTONE ROAD"	0	0	68529	920308
M_68573_919605	"OFF FLINTSTONE ROAD"	0	0	68573	919605
M_68584_922581	"NORTH STREET"	1315	0	68584	922581
M_68604_920253	"FLINTSTONE ROAD"	750	0	68604	920253
M_68611_923145	"NORTH STREET"	1599	0	68611	923145
M_68615_923256	"NORTH STREET"	0	0	68615	923256
M_68617_918571	"ROUTE 9"	715	0	68617	918571
M_68633_923360	"NORTH STREET"	0	0	68633	923360
M_68650_917090	"PATTERSON ROAD"	0	0	68650	917090
M_68655_916240	"MAIN DALTON ROAD"	1300	0	68655	916240
M_68658_919778	"FLINTSTONE ROAD"	673	0	68658	919778
M_68697_916357	"MAIN DALTON ROAD"	1130	0	68697	916357
M_68699_920223	"FLINTSTONE ROAD"	710	0	68699	920223
M_68733_919619	"OFF FLINTSTONE ROAD"	0	0	68733	919619
M_68743_918185	"ROUTE 9"	686	0	68743	918185
M_68750_919002	"ROUTE 9"	841	0	68750	919002
M_68754_919799	"FLINTSTONE ROAD"	645	0	68754	919799
M_68757_921884	"DRISCOLL ROAD"	0	0	68757	921884
M_68776_920188	"FLINTSTONE ROAD"	692	0	68776	920188
M_68787_922995	"NORTH STREET"	1561	0	68787	922995
M_68789_920064	"FLINTSTONE ROAD"	670	0	68789	920064
M_68814_917346	"PATTERSON ROAD"	0	0	68814	917346
M_68818_918393	"ROUTE 9"	773	0	68818	918393
M_68819_920605	"OFF DRISCOLL ROAD"	0	0	68819	920605
M_68822_919995	"FLINTSTONE ROAD"	642	0	68822	919995
M_68858_919764	"FLINTSTONE ROAD"	593	0	68858	919764
M_68861_916397	"MAIN DALTON ROAD"	1128	0	68861	916397
M_68887_922705	"NORTH STREET"	1411	0	68887	922705
M_68901_919942	"FLINTSTONE ROAD"	594	0	68901	919942
M_68912_922873	"NORTH STREET"	1445	0	68912	922873
M_68922_916279	"MAIN DALTON ROAD"	0	0	68922	916279
M_68961_916185	"HINSDALE ROAD"	0	0	68961	916185
M_68966_919735	"FLINTSTONE ROAD"	0	0	68966	919735
M_68975_916834	"PATTERSON ROAD"	0	0	68975	916834
M_68993_918855	"ROUTE 9"	877	0	68993	918855
M_69008_919205	"ROUTE 9"	949	0	69008	919205
M_69008_922979	"NORTH STREET"	1523	0	69008	922979
M_69020_916368	"HINSDALE ROAD"	74	0	69020	916368
M_69029_918259	"BACK DALTON ROAD"	120	0	69029	918259
M_69046_922598	"NORTH STREET"	1407	0	69046	922598
M_69057_923233	"NORTH STREET"	1600	0	69057	923233
M_69077_921478	"DRISCOLL ROAD"	0	0	69077	921478
M_69080_919728	"FLINTSTONE ROAD"	539	0	69080	919728
M_69081_916331	"HINSDALE ROAD"	3	0	69081	916331
M_69113_916092	"HINSDALE ROAD"	152	0	69113	916092
M_69127_918875	"ROUTE 9"	899	0	69127	918875
M_69148_923187	"NORTH STREET"	0	0	69148	923187
M_69162_916388	"HINSDALE ROAD"	0	0	69162	916388
M_69167_918495	"ROUTE 9"	880	0	69167	918495
M_69174_917057	"PATTERSON ROAD"	65	0	69174	917057
M_69181_923124	"NORTH STREET"	0	0	69181	923124
M_69201_919741	"FLINTSTONE ROAD"	477	0	69201	919741
M_69208_923055	"NORTH STREET"	0	0	69208	923055
M_69213_916893	"PATTERSON ROAD"	25	0	69213	916893
M_69218_916595	"HINSDALE ROAD"	3	0	69218	916595
M_69234_921745	"NORTH STREET"	1095	0	69234	921745
M_69250_922909	"NORTH STREET"	1470	0	69250	922909
M_69251_916322	"HINSDALE ROAD"	113	0	69251	916322
M_69252_918663	"ROUTE 9"	933	0	69252	918663
M_69254_918548	"ROUTE 9"	908	0	69254	918548
M_69268_916477	"HINSDALE ROAD"	9	0	69268	916477
M_69286_923006	"NORTH STREET"	1496	0	69286	923006
M_69291_921411	"NORTH STREET"	971	0	69291	921411
M_69295_916822	"MAIN DALTON ROAD"	0	0	69295	916822
