town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M346	346	winthrop	2011	241480	902574	M_241480_902574	"COURT RD"	195	0
M346	346	winthrop	2011	241481	902556	M_241481_902556	"COURT RD"	205	0
M346	346	winthrop	2011	241481	902590	M_241481_902590	"COURT RD"	191	0
M346	346	winthrop	2011	241483	902607	M_241483_902607	"COURT RD"	187	0
M346	346	winthrop	2011	241485	902540	M_241485_902540	"COURT RD"	207	0
M346	346	winthrop	2011	241489	902525	M_241489_902525	"COURT RD"	215	0
M346	346	winthrop	2011	241489	902631	M_241489_902631	"COURT RD"	177-179	0
M346	346	winthrop	2011	241496	902653	M_241496_902653	"COURT RD"	173	0
M346	346	winthrop	2011	241497	902504	M_241497_902504	"COURT RD"	219	0
M346	346	winthrop	2011	241500	902668	M_241500_902668	"COURT RD"	169	0
M346	346	winthrop	2011	241502	902684	M_241502_902684	"COURT RD"	165	0
M346	346	winthrop	2011	241503	902729	M_241503_902729	"COURT RD"	147	0
M346	346	winthrop	2011	241504	902745	M_241504_902745	"COURT RD"	143	0
M346	346	winthrop	2011	241505	902708	M_241505_902708	"COURT RD"	153	0
M346	346	winthrop	2011	241505	902761	M_241505_902761	"COURT RD"	137	0
M346	346	winthrop	2011	241506	902776	M_241506_902776	"COURT RD"	131	0
M346	346	winthrop	2011	241507	902791	M_241507_902791	"COURT RD"	125	0
M346	346	winthrop	2011	241508	902485	M_241508_902485	"COURT RD"	227	0
M346	346	winthrop	2011	241509	902807	M_241509_902807	"COURT RD"	121	0
M346	346	winthrop	2011	241510	902821	M_241510_902821	"COURT RD"	117	0
M346	346	winthrop	2011	241515	902836	M_241515_902836	"COURT RD"	111	0
M346	346	winthrop	2011	241519	902853	M_241519_902853	"COURT RD"	97	0
M346	346	winthrop	2011	241520	902471	M_241520_902471	"COURT RD"	231	0
M346	346	winthrop	2011	241521	902869	M_241521_902869	"COURT RD"	95	0
M346	346	winthrop	2011	241526	902577	M_241526_902577	"COURT RD"	198	0
M346	346	winthrop	2011	241527	902562	M_241527_902562	"COURT RD"	212	0
M346	346	winthrop	2011	241528	902591	M_241528_902591	"COURT RD"	192	0
M346	346	winthrop	2011	241529	902885	M_241529_902885	"COURT RD"	93	0
M346	346	winthrop	2011	241531	902603	M_241531_902603	"COURT RD"	188	0
