LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_224233_912524	"GRANT ST"	21	0	224233	912524
M_224245_912474	"GRANT ST"	22	0	224245	912474
M_224277_912445	"GRANT ST"	20	0	224277	912445
M_224277_912505	"GRANT ST"	19	0	224277	912505
M_224302_912422	"GRANT ST"	18	0	224302	912422
M_224312_912477	"GRANT ST"	17	0	224312	912477
M_224325_912402	"GRANT ST"	16	0	224325	912402
M_224346_912383	"GRANT ST"	14	0	224346	912383
M_224366_912359	"GRANT ST"	12	0	224366	912359
M_224369_912433	"GRANT ST"	15	0	224369	912433
M_224393_912334	"GRANT ST"	10	0	224393	912334
M_224417_912309	"GRANT ST"	8	0	224417	912309
M_224423_912391	"GRANT ST"	11	0	224423	912391
M_224431_912779	"HALLMARK DR"	26	0	224431	912779
M_224443_912281	"GRANT ST"	6	0	224443	912281
M_224443_912366	"GRANT ST"	9	0	224443	912366
M_224447_912736	"HALLMARK DR"	24	0	224447	912736
M_224461_912707	"HALLMARK DR"	22	0	224461	912707
M_224466_912346	"GRANT ST"	7	0	224466	912346
M_224470_912800	"HALLMARK DR"	21	0	224470	912800
M_224473_912679	"HALLMARK DR"	20	0	224473	912679
M_224475_912258	"GRANT ST"	4	0	224475	912258
M_224485_912651	"HALLMARK DR"	18	0	224485	912651
M_224488_912328	"GRANT ST"	5	0	224488	912328
M_224495_912223	"RUSSELL ST"	553	0	224495	912223
M_224497_912623	"HALLMARK DR"	16	0	224497	912623
M_224500_912750	"HALLMARK DR"	19	0	224500	912750
M_224510_912591	"HALLMARK DR"	14	0	224510	912591
M_224512_912315	"GRANT ST"	3	0	224512	912315
M_224513_912255	"RUSSELL ST"	551	0	224513	912255
M_224517_912810	"DUREN AVE"	29	0	224517	912810
M_224518_912712	"HALLMARK DR"	17	0	224518	912712
M_224523_912854	"DUREN AVE"	27	0	224523	912854
M_224527_912180	"PARLIAMENT LN"	1	0	224527	912180
M_224535_912681	"HALLMARK DR"	15	0	224535	912681
M_224537_912572	"HALLMARK DR"	12	0	224537	912572
M_224538_912776	"DUREN AVE"	31	0	224538	912776
M_224539_912300	"RUSSELL ST"	547	0	224539	912300
M_224549_912654	"HALLMARK DR"	13	0	224549	912654
M_224551_913097	"STONEWALL DR"	28	0	224551	913097
M_224555_912157	"PARLIAMENT LN"	3	0	224555	912157
M_224556_912212	"RUSSELL ST"	622	0	224556	912212
M_224558_912743	"DUREN AVE"	33	0	224558	912743
M_224562_912554	"HALLMARK DR"	10	0	224562	912554
M_224567_912608	"HALLMARK DR"	9	0	224567	912608
M_224568_912885	"DUREN AVE"	25	0	224568	912885
M_224572_912240	"RUSSELL ST"	620	0	224572	912240
M_224578_913048	"STONEWALL DR"	26	0	224578	913048
M_224581_912142	"PARLIAMENT LN"	5	0	224581	912142
M_224586_912709	"DUREN AVE"	35	0	224586	912709
M_224586_912829	"DUREN AVE"	24	0	224586	912829
M_224587_912537	"HALLMARK DR"	8	0	224587	912537
M_224587_912663	"KENSINGTON AVE"	13	0	224587	912663
M_224588_913153	"LEE RD"	2	0	224588	913153
M_224589_912269	"RUSSELL ST"	618	0	224589	912269
M_224597_912613	"KENSINGTON AVE"	10	0	224597	912613
M_224598_913011	"STONEWALL DR"	24	0	224598	913011
M_224601_912194	"PARLIAMENT LN"	4	0	224601	912194
M_224603_912126	"PARLIAMENT LN"	7	0	224603	912126
M_224605_912803	"DUREN AVE"	26	0	224605	912803
M_224605_913117	"LEE RD"	1	0	224605	913117
M_224610_912898	"DUREN AVE"	23	0	224610	912898
M_224612_912514	"HALLMARK DR"	6	0	224612	912514
M_224614_912450	"HALLMARK DR"	2	0	224614	912450
M_224614_913089	"GETTYSBURG ST"	2	0	224614	913089
M_224615_912229	"HAMPSHIRE CIR"	4	0	224615	912229
M_224617_912583	"HALLMARK DR"	7	0	224617	912583
M_224620_912669	"KENSINGTON AVE"	11	0	224620	912669
M_224620_912841	"DUREN AVE"	22	0	224620	912841
M_224621_912783	"DUREN AVE"	28	0	224621	912783
M_224621_912982	"STONEWALL DR"	22	0	224621	912982
M_224625_912108	"PARLIAMENT LN"	9	0	224625	912108
M_224626_913195	"LEE RD"	4	0	224626	913195
M_224630_912708	"DUREN AVE"	37	0	224630	912708
M_224632_912392	"RUSSELL ST"	531	0	224632	912392
M_224635_912617	"KENSINGTON AVE"	8	0	224635	912617
M_224637_913052	"GETTYSBURG ST"	1	0	224637	913052
M_224639_912423	"RUSSELL ST"	529	0	224639	912423
M_224640_912772	"DUREN AVE"	30	0	224640	912772
M_224642_912544	"HALLMARK DR"	5	0	224642	912544
M_224644_913156	"LEE RD"	3	0	224644	913156
M_224645_912959	"STONEWALL DR"	20	0	224645	912959
M_224647_912092	"PARLIAMENT LN"	11	0	224647	912092
M_224647_912840	"DUREN AVE"	20	0	224647	912840
M_224648_912907	"DUREN AVE"	21	0	224648	912907
M_224648_913119	"GETTYSBURG ST"	4	0	224648	913119
M_224649_912261	"HAMPSHIRE CIR"	7	0	224649	912261
M_224653_912171	"PARLIAMENT LN"	6	0	224653	912171
M_224655_912671	"KENSINGTON AVE"	9	0	224655	912671
M_224655_913031	"TODD RD"	2	0	224655	913031
M_224659_912570	"KENSINGTON AVE"	6	0	224659	912570
M_224659_913232	"LEE RD"	6	0	224659	913232
M_224664_912769	"DUREN AVE"	32	0	224664	912769
M_224665_912073	"PARLIAMENT LN"	13	0	224665	912073
M_224667_912714	"DUREN AVE"	39	0	224667	912714
M_224672_912830	"DUREN AVE"	18	0	224672	912830
M_224672_913085	"GETTYSBURG ST"	3	0	224672	913085
M_224674_912642	"KENSINGTON AVE"	7	0	224674	912642
M_224678_912307	"SQUANTO RD"	30	0	224678	912307
M_224679_912375	"SQUANTO RD"	29	0	224679	912375
M_224679_912943	"STONEWALL DR"	18	0	224679	912943
M_224680_912233	"HAMPSHIRE CIR"	5	0	224680	912233
M_224681_913191	"LEE RD"	5	0	224681	913191
M_224682_912051	"PARLIAMENT LN"	15	0	224682	912051
M_224683_912531	"KENSINGTON AVE"	4	0	224683	912531
M_224683_912896	"DUREN AVE"	19	0	224683	912896
M_224683_913151	"GETTYSBURG ST"	6	0	224683	913151
M_224684_912196	"HAMPSHIRE CIR"	3	0	224684	912196
M_224685_912481	"RUSSELL ST"	527	0	224685	912481
M_224688_913001	"TODD RD"	1	0	224688	913001
M_224689_913265	"LEE RD"	8	0	224689	913265
M_224690_912609	"KENSINGTON AVE"	5	0	224690	912609
M_224692_912765	"DUREN AVE"	34	0	224692	912765
M_224692_913064	"TODD RD"	4	0	224692	913064
M_224694_912699	"DUREN AVE"	41	0	224694	912699
M_224695_912162	"PARLIAMENT LN"	8	0	224695	912162
M_224695_912281	"SQUANTO RD"	28	0	224695	912281
M_224696_912821	"DUREN AVE"	16	0	224696	912821
M_224700_912028	"PARLIAMENT LN"	17	0	224700	912028
M_224701_912357	"SQUANTO RD"	27	0	224701	912357
M_224703_912496	"RUSSELL ST"	525	0	224703	912496
M_224707_912576	"KENSINGTON AVE"	3	0	224707	912576
M_224707_912675	"DUREN AVE"	43	0	224707	912675
M_224707_913117	"GETTYSBURG ST"	5	0	224707	913117
M_224711_912255	"SQUANTO RD"	26	0	224711	912255
M_224713_912888	"DUREN AVE"	17	0	224713	912888
M_224713_913223	"LEE RD"	7	0	224713	913223
M_224714_912141	"PARLIAMENT LN"	10	0	224714	912141
M_224714_912977	"STONEWALL DR"	15	0	224714	912977
M_224716_912648	"DUREN AVE"	45	0	224716	912648
M_224717_912924	"STONEWALL DR"	16	0	224717	912924
M_224719_912809	"DUREN AVE"	14	0	224719	912809
M_224719_913031	"TODD RD"	3	0	224719	913031
M_224719_913298	"LEE RD"	10	0	224719	913298
M_224720_912005	"PARLIAMENT LN"	19	0	224720	912005
M_224720_913184	"GETTYSBURG ST"	8	0	224720	913184
M_224722_912514	"RUSSELL ST"	523	0	224722	912514
M_224722_912750	"DUREN AVE"	36	0	224722	912750
M_224725_912336	"SQUANTO RD"	25	0	224725	912336
M_224725_912619	"DUREN AVE"	47	0	224725	912619
M_224726_913096	"TODD RD"	6	0	224726	913096
M_224727_912228	"SQUANTO RD"	24	0	224727	912228
M_224729_912534	"RUSSELL ST"	521	0	224729	912534
M_224730_912425	"RUSSELL ST"	538	0	224730	912425
M_224731_912117	"PARLIAMENT LN"	12	0	224731	912117
M_224736_912997	"BURLWOOD LN"	2	0	224736	912997
M_224737_912591	"DUREN AVE"	49	0	224737	912591
M_224738_911979	"PARLIAMENT LN"	21	0	224738	911979
M_224741_912792	"DUREN AVE"	12	0	224741	912792
M_224742_913148	"GETTYSBURG ST"	7	0	224742	913148
M_224743_913253	"LEE RD"	9	0	224743	913253
M_224744_912202	"SQUANTO RD"	22	0	224744	912202
M_224748_912092	"PARLIAMENT LN"	14	0	224748	912092
M_224748_913324	"LEE RD"	12	0	224748	913324
M_224749_912459	"RUSSELL ST"	536	0	224749	912459
M_224751_912721	"DUREN AVE"	38	0	224751	912721
M_224752_912563	"RUSSELL ST"	515	0	224752	912563
M_224752_912872	"DUREN AVE"	15	0	224752	912872
M_224754_912314	"SQUANTO RD"	23	0	224754	912314
M_224754_913063	"TODD RD"	5	0	224754	913063
M_224757_913018	"BURLWOOD LN"	4	0	224757	913018
M_224760_912177	"SQUANTO RD"	20	0	224760	912177
M_224760_912945	"STONEWALL DR"	11	0	224760	912945
M_224761_913127	"TODD RD"	8	0	224761	913127
M_224762_912771	"DUREN AVE"	10	0	224762	912771
M_224763_913219	"GETTYSBURG ST"	10	0	224763	913219
M_224767_912067	"PARLIAMENT LN"	16	0	224767	912067
M_224769_912661	"DUREN AVE"	42	0	224769	912661
M_224770_912426	"TANNERS CIR"	3	0	224770	912426
M_224770_912628	"DUREN AVE"	44	0	224770	912628
M_224770_912692	"DUREN AVE"	40	0	224770	912692
M_224771_911940	"PARLIAMENT LN"	23	0	224771	911940
M_224772_912494	"RUSSELL ST"	526	0	224772	912494
M_224775_912852	"DUREN AVE"	13	0	224775	912852
M_224776_912152	"SQUANTO RD"	18	0	224776	912152
M_224777_912293	"SQUANTO RD"	21	0	224777	912293
M_224778_913343	"LEE RD"	14	0	224778	913343
M_224779_912599	"RUSSELL ST"	503	0	224779	912599
M_224779_912964	"MCDEVITT DR"	1	0	224779	912964
M_224779_913039	"BURLWOOD LN"	6	0	224779	913039
M_224779_913179	"GETTYSBURG ST"	9	0	224779	913179
M_224782_913272	"LEE RD"	11	0	224782	913272
M_224783_912750	"DUREN AVE"	8	0	224783	912750
M_224784_912513	"RUSSELL ST"	520	0	224784	912513
M_224786_912040	"PARLIAMENT LN"	18	0	224786	912040
M_224790_913097	"TODD RD"	7	0	224790	913097
