town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M349	349	worthington	2012	75803	905362	M_75803_905362	"BRYANT RD"	REAR	0
M349	349	worthington	2012	76214	905980	M_76214_905980	"BRYANT RD"	81	0
M349	349	worthington	2012	76285	907376	M_76285_907376	"OSGOOD RD"	OFF	0
M349	349	worthington	2012	76356	905461	M_76356_905461	"BRYANT RD"	0	0
M349	349	worthington	2012	76398	905746	M_76398_905746	"BRYANT RD"	75	0
M349	349	worthington	2012	76633	908755	M_76633_908755	"OLD NORTH RD"	1012	0
M349	349	worthington	2012	76639	909317	M_76639_909317	"OLD NORTH RD"	1103	0
M349	349	worthington	2012	76665	909404	M_76665_909404	"OLD NORTH RD"	1081	0
M349	349	worthington	2012	76688	909114	M_76688_909114	"OLD NORTH RD"	1104	0
M349	349	worthington	2012	76734	909347	M_76734_909347	"OLD NORTH RD"	0	0
M349	349	worthington	2012	76787	909750	M_76787_909750	"OLD NORTH RD"	1065	0
M349	349	worthington	2012	76906	908356	M_76906_908356	"RIVER RD"	REAR	0
M349	349	worthington	2012	76928	909250	M_76928_909250	"OLD NORTH RD"	1054	0
M349	349	worthington	2012	76936	909770	M_76936_909770	"OLD NORTH RD"	0	0
M349	349	worthington	2012	76944	908745	M_76944_908745	"OLD NORTH RD"	1108	0
M349	349	worthington	2012	76955	907197	M_76955_907197	"RIVER RD"	0	0
M349	349	worthington	2012	76966	909589	M_76966_909589	"OLD NORTH RD"	1037	0
M349	349	worthington	2012	77007	910434	M_77007_910434	"PARISH RD"	192	0
M349	349	worthington	2012	77009	910293	M_77009_910293	"PARISH RD"	0	0
M349	349	worthington	2012	77015	910569	M_77015_910569	"PARISH RD"	192	0
M349	349	worthington	2012	77025	910666	M_77025_910666	"PARISH RD"	0	0
M349	349	worthington	2012	77026	910158	M_77026_910158	"PARISH RD"	156	0
M349	349	worthington	2012	77028	910756	M_77028_910756	"PARISH RD"	232	0
M349	349	worthington	2012	77029	910934	M_77029_910934	"PARISH RD"	242	0
M349	349	worthington	2012	77045	910018	M_77045_910018	"PARISH RD"	0	0
M349	349	worthington	2012	77068	905654	M_77068_905654	"OSGOOD RD"	0	0
M349	349	worthington	2012	77098	911340	M_77098_911340	"PARISH RD"	305	0
M349	349	worthington	2012	77112	911403	M_77112_911403	"PARISH RD"	0	0
M349	349	worthington	2012	77148	909385	M_77148_909385	"OLD NORTH RD"	1009	0
M349	349	worthington	2012	77153	909853	M_77153_909853	"PARISH RD"	0	0
M349	349	worthington	2012	77159	910736	M_77159_910736	"PARISH RD"	0	0
M349	349	worthington	2012	77168	910882	M_77168_910882	"PARISH RD"	0	0
M349	349	worthington	2012	77169	910673	M_77169_910673	"PARISH RD"	215	0
M349	349	worthington	2012	77178	911265	M_77178_911265	"PARISH RD"	299	0
M349	349	worthington	2012	77191	909203	M_77191_909203	"OLD NORTH RD"	0	0
M349	349	worthington	2012	77202	911422	M_77202_911422	"PARISH RD"	0	0
M349	349	worthington	2012	77206	911688	M_77206_911688	"PARISH RD"	0	0
M349	349	worthington	2012	77236	909647	M_77236_909647	"PARISH RD"	0	0
M349	349	worthington	2012	77279	909028	M_77279_909028	"OLD NORTH RD"	0	0
M349	349	worthington	2012	77288	911910	M_77288_911910	"BASHAN HILL RD"	264	0
M349	349	worthington	2012	77303	909343	M_77303_909343	"PARISH RD"	28	0
M349	349	worthington	2012	77354	909472	M_77354_909472	"PARISH RD"	66	0
M349	349	worthington	2012	77358	908689	M_77358_908689	"RIVER RD"	0	0
M349	349	worthington	2012	77408	910260	M_77408_910260	"PARISH RD"	0	0
M349	349	worthington	2012	77420	909853	M_77420_909853	"PARISH RD"	0	0
M349	349	worthington	2012	77429	911970	M_77429_911970	"BASHAN HILL RD"	0	0
M349	349	worthington	2012	77435	909105	M_77435_909105	"OLD NORTH RD"	905	0
M349	349	worthington	2012	77476	909625	M_77476_909625	"PARISH RD"	65	0
M349	349	worthington	2012	77481	909420	M_77481_909420	"PARISH RD"	49	0
M349	349	worthington	2012	77509	910869	M_77509_910869	"BASHAN HILL RD"	0	0
M349	349	worthington	2012	77519	911936	M_77519_911936	"BASHAN HILL RD"	0	0
M349	349	worthington	2012	77536	908894	M_77536_908894	"OLD NORTH RD"	0	0
M349	349	worthington	2012	77564	911547	M_77564_911547	"BASHAN HILL RD"	216	0
M349	349	worthington	2012	77607	909369	M_77607_909369	"PARISH RD"	35	0
M349	349	worthington	2012	77615	908306	M_77615_908306	"RIVER RD"	79	0
M349	349	worthington	2012	77625	906099	M_77625_906099	"RIVER RD"	401	0
M349	349	worthington	2012	77643	909018	M_77643_909018	"RIVER RD"	1	0
M349	349	worthington	2012	77648	909781	M_77648_909781	"OLD NORTH RD"	0	0
M349	349	worthington	2012	77657	906632	M_77657_906632	"RIVER RD"	311	0
M349	349	worthington	2012	77748	909382	M_77748_909382	"OLD NORTH RD"	837	0
M349	349	worthington	2012	77752	910098	M_77752_910098	"OLD NORTH RD"	733	0
M349	349	worthington	2012	77756	911212	M_77756_911212	"BASHAN HILL RD"	110	0
M349	349	worthington	2012	77764	910464	M_77764_910464	"OLD NORTH RD"	713	0
M349	349	worthington	2012	77802	908858	M_77802_908858	"RIVER RD"	44	0
M349	349	worthington	2012	77816	909531	M_77816_909531	"OLD NORTH RD"	827	0
M349	349	worthington	2012	77819	905604	M_77819_905604	"PERU STATE FOREST"	0	0
M349	349	worthington	2012	77822	909693	M_77822_909693	"OLD NORTH RD"	795	0
M349	349	worthington	2012	77907	908301	M_77907_908301	"RIVER RD"	85	0
M349	349	worthington	2012	77909	909270	M_77909_909270	"OLD NORTH RD"	869	0
M349	349	worthington	2012	77914	907959	M_77914_907959	"RIVER RD"	159	0
M349	349	worthington	2012	77938	908540	M_77938_908540	"RIVER RD"	0	0
M349	349	worthington	2012	77962	907736	M_77962_907736	"RIVER RD"	181	0
M349	349	worthington	2012	77990	910047	M_77990_910047	"OLD NORTH RD"	749	0
M349	349	worthington	2012	77994	910964	M_77994_910964	"BASHAN HILL RD"	86	0
M349	349	worthington	2012	77995	908974	M_77995_908974	"RIVER RD"	50	0
M349	349	worthington	2012	78018	911841	M_78018_911841	"BASHAN HILL RD"	REAR	0
M349	349	worthington	2012	78025	910504	M_78025_910504	"OLD NORTH RD"	697	0
M349	349	worthington	2012	78038	909577	M_78038_909577	"LINDSEY HILL RD"	22	0
M349	349	worthington	2012	78042	908355	M_78042_908355	"RIVER RD"	66	0
M349	349	worthington	2012	78050	909352	M_78050_909352	"LINDSEY HILL RD"	15	0
M349	349	worthington	2012	78079	907564	M_78079_907564	"RIVER RD"	219	0
M349	349	worthington	2012	78096	907299	M_78096_907299	"RIVER RD"	269	0
M349	349	worthington	2012	78123	905792	M_78123_905792	"RIVER RD"	485	0
M349	349	worthington	2012	78127	910302	M_78127_910302	"OLD NORTH RD"	704	0
M349	349	worthington	2012	78128	906939	M_78128_906939	"RIVER RD"	299	0
M349	349	worthington	2012	78131	909741	M_78131_909741	"OLD NORTH RD"	786	0
M349	349	worthington	2012	78142	910710	M_78142_910710	"BASHAN HILL RD"	0	0
